motion_name,SG ASL Desist 2026-6-7
pose_name,SG ASL Desist 2026-6-7 P4
export_date,2026-6-7
current_frame,74
frame_budget,14

bone_name,w,x,y,z
bicepfk_L,0.8287,0.484,0.0167,0.2804
forearmfk_L,0.7746,-0.0356,-0.0457,0.6299
handfk_L,0.7614,-0.1525,0.5831,0.2387
bicepfk_R,0.8575,0.4822,-0.0367,-0.1754
forearmfk_R,0.6843,-0.0508,0.0434,-0.7261
handfk_R,0.7675,-0.0986,-0.6305,-0.0599
thighfk_L,0.9996,-0.0146,-0.0261,0.001
shinfk_L,0.9996,0.0272,0.0072,0.0055
footfk_L,0.0295,-0.0267,0.999,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0142,0.0224,0.0008
shinfk_R,0.9996,0.0269,-0.0091,-0.004
footfk_R,0.0291,-0.0266,-0.999,-0.0193
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9788,0.1071,0.0889,0.1503
thumbfk_02_L,0.9981,0.0422,-0.0446,0.0041
thumbfk_03_L,0.9989,0.0309,-0.028,0.019
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0003
pinkyfk_01_L,0.9943,0.0101,-0.0223,-0.1036
pinkyfk_02_L,0.9999,-0.0117,0.0,0.0001
pinkyfk_03_L,0.9997,-0.025,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9982,-0.0033,0.0051,0.0595
indexfk_02_L,0.9998,-0.0191,0.0,-0.0
indexfk_03_L,0.9999,-0.0169,0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0001
middlefk_01_L,0.9998,0.0075,-0.0189,-0.0033
middlefk_02_L,1.0,-0.0049,0.0,0.0
middlefk_03_L,0.9999,-0.0139,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9979,-0.0237,-0.0574,0.0186
ringfk_02_L,0.9998,0.0201,0.0,0.0
ringfk_03_L,0.9994,-0.0358,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9961,0.0112,-0.0291,-0.0822
thumbfk_02_R,0.9999,-0.0083,-0.0076,-0.0081
thumbfk_03_R,0.9993,-0.0257,-0.0234,0.0159
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0
pinkyfk_01_R,0.9948,0.0029,0.0182,0.0999
pinkyfk_02_R,0.9997,-0.0261,-0.0,-0.0003
pinkyfk_03_R,0.9998,-0.0206,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0006,0.0006
indexfk_01_R,0.998,0.006,-0.0064,-0.0618
indexfk_02_R,0.9994,-0.0337,-0.0,0.0
indexfk_03_R,0.9997,-0.0249,-0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9992,-0.0046,0.0121,-0.0377
middlefk_02_R,1.0,0.0032,-0.0,0.0
middlefk_03_R,0.9999,-0.0118,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9995,-0.0122,0.0257,0.0132
ringfk_02_R,1.0,0.0049,-0.0,-0.0
ringfk_03_R,0.9992,-0.0391,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9964,0.0605,0.0527,0.029
collar_L,0.9972,0.0721,-0.0122,-0.0152
neckfk,1.0,0.0088,-0.0039,-0.0009
headfk,0.9998,0.0161,-0.0077,-0.0006
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.0017,0.0005
chest_3,0.9998,-0.019,-0.0009,-0.0066
chest_2,1.0,0.0002,0.0024,0.0005
chest_1,1.0,0.0006,0.0055,0.0012
hip,1.0,-0.0034,-0.0019,-0.001
