motion_name,SG ASL Desk 2026-6-7
pose_name,SG ASL Desk 2026-6-7 P2
export_date,2026-6-7
current_frame,58
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.7614,0.3374,0.4038,0.3786
forearmfk_L,0.6157,-0.0492,-0.0404,0.7854
handfk_L,0.9825,0.0968,0.1525,0.0444
bicepfk_R,0.6121,0.4904,-0.4617,-0.4143
forearmfk_R,0.7108,-0.0437,0.0452,-0.7005
handfk_R,0.84,0.0819,-0.5356,0.0281
thighfk_L,0.9997,-0.0148,-0.0216,0.0011
shinfk_L,0.9996,0.0269,0.0092,0.0042
footfk_L,0.0289,-0.0262,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0153,0.0268,0.0009
shinfk_R,0.9996,0.0269,-0.0089,-0.0043
footfk_R,0.029,-0.0265,-0.999,-0.0194
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9805,0.051,0.0862,-0.1688
thumbfk_02_L,0.9971,0.0565,-0.0495,-0.0096
thumbfk_03_L,0.9973,-0.0495,0.0449,-0.0305
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.005
pinkyfk_01_L,0.9891,0.1424,-0.0366,-0.0117
pinkyfk_02_L,0.9995,0.0315,0.0,-0.0003
pinkyfk_03_L,0.9995,-0.0323,0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9998,-0.0,0.0127,-0.0127
indexfk_01_L,0.9896,0.1262,0.0106,-0.0688
indexfk_02_L,0.9989,0.0459,-0.0,0.0
indexfk_03_L,0.9998,0.0174,0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0015,-0.0015
middlefk_01_L,0.9721,0.1567,-0.1526,-0.0843
middlefk_02_L,1.0,-0.0025,0.0,-0.0
middlefk_03_L,0.9992,0.0392,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0066,0.0044
ringfk_01_L,0.968,0.2107,0.1353,-0.0184
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,-0.0017,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9817,0.045,-0.0841,0.1647
thumbfk_02_R,0.997,0.0573,0.0505,0.0092
thumbfk_03_R,0.997,-0.052,-0.0472,0.0321
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0048
pinkyfk_01_R,0.9898,0.1364,0.0383,0.0127
pinkyfk_02_R,0.9996,0.0266,-0.0,0.0003
pinkyfk_03_R,0.9993,-0.0363,-0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,-0.0,-0.0117,0.0117
indexfk_01_R,0.9907,0.116,-0.0107,0.0701
indexfk_02_R,0.9987,0.0511,0.0,-0.0
indexfk_03_R,0.9998,0.0197,-0.0,0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0013,0.0013
middlefk_01_R,0.9743,0.1373,0.1467,0.1018
middlefk_02_R,1.0,-0.0013,0.0,-0.0
middlefk_03_R,0.999,0.0437,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0056,-0.0037
ringfk_01_R,0.9742,0.1785,-0.1362,0.0229
ringfk_02_R,1.0,0.0,0.0,0.0
ringfk_03_R,1.0,0.0011,-0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9857,0.0336,0.1244,-0.1081
collar_L,0.988,0.08,-0.0303,0.1284
neckfk,1.0,0.0008,0.0034,-0.0027
headfk,1.0,-0.0034,0.0052,-0.006
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,-0.0022,-0.0004
chest_3,0.9998,-0.0188,-0.0062,-0.008
chest_2,1.0,0.0004,-0.003,-0.0002
chest_1,1.0,0.0012,-0.0069,-0.0005
hip,1.0,-0.0041,0.0026,-0.0011
