motion_name,SG ASL Desolate 2026-6-8
pose_name,SG ASL Desolate 2026-6-8 P4
export_date,2026-6-8
current_frame,92
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.701,0.6284,0.3012,0.1517
forearmfk_L,0.8876,-0.0253,-0.0524,0.4569
handfk_L,0.9064,0.2423,0.3408,-0.06
bicepfk_R,0.729,0.5158,-0.3305,-0.3055
forearmfk_R,0.4254,-0.0439,0.0391,-0.9031
handfk_R,0.8663,-0.3238,-0.3505,-0.1479
thighfk_L,0.9998,-0.0125,-0.0134,-0.0002
shinfk_L,0.9996,0.0271,0.0094,0.0044
footfk_L,0.029,-0.026,0.999,0.0199
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9993,-0.0148,0.0351,-0.0004
shinfk_R,0.9996,0.0271,-0.0082,-0.004
footfk_R,0.029,-0.0265,-0.9991,-0.0181
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,-0.0007,0.0,-0.0
indexfk_03_L,1.0,-0.0003,0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,-0.0003,-0.0,-0.0
ringfk_03_L,1.0,-0.0012,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8066,0.4049,-0.4012,-0.1568
thumbfk_02_R,0.9894,0.1058,0.032,0.0946
thumbfk_03_R,0.9916,0.104,0.0291,0.0713
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0198
pinkyfk_01_R,0.8411,0.5243,0.1256,-0.0432
pinkyfk_02_R,0.7122,0.7013,0.0001,0.0295
pinkyfk_03_R,0.6507,0.7501,0.0717,-0.094
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,1.0,-0.0058,-0.0051,0.001
indexfk_02_R,1.0,0.0,0.0,0.0
indexfk_03_R,1.0,-0.0015,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0069,0.0069
middlefk_01_R,0.7687,0.6367,0.0564,0.0238
middlefk_02_R,0.7501,0.661,0.0182,-0.0082
middlefk_03_R,0.7461,0.6642,0.0285,0.0367
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.018,-0.012
ringfk_01_R,0.8239,0.5632,0.063,0.0074
ringfk_02_R,0.709,0.705,0.0,0.0134
ringfk_03_R,0.7792,0.6217,0.0347,-0.0723
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9923,0.0088,0.0996,-0.0737
collar_L,0.9977,0.0134,-0.0013,0.0659
neckfk,0.9999,0.0063,-0.0105,0.0101
headfk,0.9996,0.0119,-0.0153,0.0226
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0004,0.0002
chest_3,0.9998,-0.0193,-0.002,-0.0071
chest_2,1.0,-0.0,0.0014,0.0
chest_1,1.0,-0.0,0.0033,0.0
hip,0.9999,-0.0025,0.0108,0.0004
