motion_name,SG ASL Desperate 2026-6-8
pose_name,SG ASL Desperate 2026-6-8 P2
export_date,2026-6-8
current_frame,54
frame_budget,17

bone_name,w,x,y,z
bicepfk_L,0.8771,0.2921,-0.1956,0.3273
forearmfk_L,0.3115,-0.0605,-0.0211,0.9481
handfk_L,0.9201,-0.1776,-0.349,-0.0051
bicepfk_R,0.7829,0.5055,0.0481,-0.3596
forearmfk_R,0.4049,-0.0602,0.0203,-0.9121
handfk_R,0.9009,-0.1526,0.3838,-0.1336
thighfk_L,0.9998,-0.0101,-0.0172,-0.0002
shinfk_L,0.9996,0.027,0.0079,0.0043
footfk_L,0.0287,-0.0268,0.999,0.0193
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0115,0.0314,-0.0006
shinfk_R,0.9996,0.027,-0.0091,-0.0041
footfk_R,0.0291,-0.0262,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0023,0.0009,-0.0033
thumbfk_02_L,0.9971,0.0574,-0.0485,-0.0095
thumbfk_03_L,0.9929,-0.0802,0.0728,-0.0495
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0001
pinkyfk_01_L,0.9929,0.008,-0.0548,-0.1056
pinkyfk_02_L,0.9997,-0.0245,0.0,0.0003
pinkyfk_03_L,0.9972,-0.0747,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9993,-0.0,0.0261,-0.0261
indexfk_01_L,0.966,0.2583,-0.0027,-0.0137
indexfk_02_L,1.0,0.0073,-0.0,0.0
indexfk_03_L,1.0,0.0012,0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0043,-0.0043
middlefk_01_L,0.9054,0.4179,-0.0697,-0.0287
middlefk_02_L,0.995,0.1001,-0.0,-0.0
middlefk_03_L,0.9933,0.1157,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0029,0.0019
ringfk_01_L,0.9912,0.0942,-0.0925,-0.0027
ringfk_02_L,0.9974,0.0724,-0.0,0.0
ringfk_03_L,0.9998,-0.0202,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,0.0068,-0.0027,0.0032
thumbfk_02_R,0.9972,0.0566,0.048,0.0091
thumbfk_03_R,0.9923,-0.0832,-0.0755,0.0513
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0007
pinkyfk_01_R,0.9883,0.0304,0.0728,0.1308
pinkyfk_02_R,0.9999,-0.0107,-0.0,-0.0001
pinkyfk_03_R,0.9978,-0.0663,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9989,-0.0,-0.0331,0.0331
indexfk_01_R,0.9457,0.3251,-0.0047,0.0026
indexfk_02_R,0.9998,0.0202,0.0,0.0
indexfk_03_R,1.0,0.006,0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0058,0.0058
middlefk_01_R,0.8336,0.5471,0.0755,0.0041
middlefk_02_R,0.9933,0.1159,0.0,0.0
middlefk_03_R,0.9933,0.1157,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0038,-0.0026
ringfk_01_R,0.9873,0.1283,0.0903,0.023
ringfk_02_R,0.992,0.1266,0.0,-0.0
ringfk_03_R,0.9984,0.0563,-0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9979,0.0529,0.0355,0.008
collar_L,0.9949,0.0975,0.0046,0.0238
neckfk,1.0,-0.0014,-0.0006,-0.0028
headfk,1.0,-0.0041,-0.0021,-0.0048
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0002,0.0003,0.0
chest_3,0.9998,-0.0198,-0.0027,-0.0074
chest_2,1.0,-0.0005,0.0005,-0.0
chest_1,1.0,-0.0012,0.0012,0.0
hip,1.0,0.0006,0.0071,0.0005
