motion_name,SG ASL Despise 2026-6-9
pose_name,SG ASL Despise 2026-6-9 P2
export_date,2026-6-9
current_frame,50
frame_budget,12

bone_name,w,x,y,z
bicepfk_L,0.8154,0.5501,0.0588,0.1705
forearmfk_L,0.7989,-0.04,-0.0471,0.5983
handfk_L,0.9636,-0.1358,-0.2119,-0.0907
bicepfk_R,0.7822,0.5937,-0.104,-0.1577
forearmfk_R,0.7683,-0.0384,0.0475,-0.6372
handfk_R,0.9914,-0.0471,0.0243,0.1194
thighfk_L,0.9997,-0.0191,-0.0166,-0.0023
shinfk_L,0.9996,0.027,0.0089,0.0044
footfk_L,0.0288,-0.0273,0.999,0.0211
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9993,-0.0209,0.0319,-0.0022
shinfk_R,0.9996,0.0268,-0.0087,-0.0043
footfk_R,0.0289,-0.0261,-0.9991,-0.0174
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9958,0.0178,-0.0407,-0.0802
thumbfk_02_L,0.9929,0.001,0.1093,-0.0468
thumbfk_03_L,1.0,-0.0015,0.0025,-0.0025
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0021
pinkyfk_01_L,0.9889,0.0684,-0.0946,-0.0916
pinkyfk_02_L,0.9999,0.0041,0.0079,-0.0073
pinkyfk_03_L,0.9995,-0.0211,0.0027,0.0245
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0008,0.0043,0.0002
indexfk_02_L,1.0,-0.0016,-0.0,0.0
indexfk_03_L,1.0,-0.0007,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0026,-0.0026
middlefk_01_L,0.9613,0.2545,-0.1051,-0.01
middlefk_02_L,1.0,-0.0019,0.0002,0.0002
middlefk_03_L,1.0,-0.001,-0.0,-0.0001
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0044,0.003
ringfk_01_L,0.9601,0.1654,-0.1782,-0.1384
ringfk_02_L,1.0,-0.0037,-0.0,-0.0001
ringfk_03_L,1.0,-0.0051,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9959,0.018,0.0426,0.0774
thumbfk_02_R,0.9928,0.0021,-0.1106,0.0455
thumbfk_03_R,1.0,-0.0001,-0.0012,0.0017
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0022
pinkyfk_01_R,0.989,0.0696,0.0967,0.0879
pinkyfk_02_R,0.9999,0.0051,-0.008,0.0073
pinkyfk_03_R,0.9995,-0.0185,-0.0026,-0.0245
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,1.0,-0.0081,-0.0048,0.0018
indexfk_02_R,1.0,-0.0041,-0.0,-0.0
indexfk_03_R,1.0,-0.0018,-0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0027,0.0027
middlefk_01_R,0.959,0.2635,0.1045,0.0048
middlefk_02_R,1.0,-0.002,-0.0002,-0.0002
middlefk_03_R,1.0,-0.001,0.0,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0045,-0.003
ringfk_01_R,0.9587,0.1697,0.1778,0.143
ringfk_02_R,1.0,-0.0024,-0.0,0.0001
ringfk_03_R,1.0,0.0016,-0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9983,0.0211,0.0485,-0.0245
collar_L,0.9995,0.0136,0.0002,0.0283
neckfk,1.0,0.0079,-0.0044,-0.0001
headfk,0.9999,0.0146,-0.0083,0.001
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0009,0.0034,0.001
chest_3,0.9998,-0.0206,0.0013,-0.0059
chest_2,1.0,-0.0013,0.0047,0.0009
chest_1,0.9999,-0.0028,0.0104,0.0022
hip,0.9999,-0.0095,0.0077,0.0025
