motion_name,SG ASL Dessert 2026-6-12 metarig A
pose_name,SG ASL Dessert 2026-6-12 metarig A P4
export_date,2026-6-12
current_frame,47
frame_budget,4

bone_name,w,x,y,z
spine,0.9921,-0.1258,0.0,0.0
spine.001,0.9979,0.0646,0.0003,0.0
spine.002,0.9968,0.0775,0.0175,0.0014
spine.003,0.9995,-0.0238,-0.0206,-0.0077
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.9952,0.098,-0.0,-0.0004
spine.006,0.9953,0.0971,0.0005,-0.0009
face,1.0,0.0,-0.0,-0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,0.0,0.0,0.0
nose.002,1.0,0.0,-0.0,0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,-0.0,-0.0,-0.0
lip.T.L,1.0,0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,0.0,0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,-0.0,0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,0.0,0.0,-0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,-0.0
lip.B.R,1.0,-0.0,0.0,-0.0
lip.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.L,1.0,0.0,-0.0,-0.0
brow.B.L.001,1.0,0.0,-0.0,-0.0
brow.B.L.002,1.0,0.0,-0.0,-0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
lid.T.L,1.0,0.0,-0.0,0.0
lid.T.L.001,1.0,-0.0,0.0,-0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,0.0,0.0
lid.B.L,1.0,0.0,0.0,0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,-0.0,0.0,0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,0.0,-0.0
brow.B.R.003,1.0,0.0,-0.0,-0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,0.0,0.0,0.0
lid.T.R.003,1.0,0.0,-0.0,-0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,-0.0,-0.0,0.0
lid.B.R.003,1.0,0.0,-0.0,0.0
forehead.L,1.0,0.0,-0.0,0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,-0.0,0.0
temple.L,1.0,0.0,0.0,-0.0
jaw.L,1.0,0.0,0.0,-0.0
jaw.L.001,1.0,0.0,0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,0.0,0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,-0.0
brow.T.L.002,1.0,0.0,-0.0,0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,-0.0,0.0,-0.0
forehead.R.001,1.0,0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,0.0,0.0
temple.R,1.0,-0.0,-0.0,-0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,-0.0,0.0,0.0
cheek.B.R,1.0,-0.0,0.0,-0.0
cheek.B.R.001,1.0,-0.0,0.0,-0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,0.0,0.0
brow.T.R.003,1.0,0.0,-0.0,-0.0
eye.L,1.0,0.0,-0.0,-0.0
eye.R,1.0,0.0,-0.0,-0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,0.0,0.0,0.0
nose.L,1.0,0.0,-0.0,0.0
nose.L.001,1.0,0.0,0.0,-0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,-0.0,0.0,-0.0
nose.R,1.0,-0.0,0.0,-0.0
nose.R.001,1.0,-0.0,0.0,-0.0
teeth.T,1.0,0.0,0.0,-0.0
teeth.B,1.0,0.0,0.0,-0.0
tongue,1.0,0.0,-0.0,0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.3926,0.453,0.7947,-0.0956
forearm.L,0.469,-0.1309,0.1258,0.8643
hand.L,0.8405,-0.3748,-0.385,-0.0703
palm.01.L,0.9221,-0.1053,-0.3422,0.1468
f_index.01.L,0.9911,-0.1269,-0.0351,0.0184
f_index.02.L,0.9966,-0.0782,0.0248,-0.0004
f_index.03.L,0.9922,-0.1196,0.0076,0.0329
thumb.01.L,0.8715,0.0064,0.1281,0.4732
thumb.02.L,0.9971,0.0307,-0.0024,0.0699
thumb.03.L,0.9396,0.2988,-0.1563,-0.0578
palm.02.L,0.941,-0.0324,-0.3142,0.1215
f_middle.01.L,0.8717,0.4813,-0.0185,0.09
f_middle.02.L,0.9659,0.2557,0.0402,-0.0031
f_middle.03.L,0.9571,0.2882,0.0263,0.0119
palm.03.L,0.9373,0.019,-0.3257,0.1223
f_ring.01.L,0.8917,0.4459,0.0096,0.0768
f_ring.02.L,0.7874,0.6157,0.028,-0.0114
f_ring.03.L,0.8898,0.4486,0.0608,0.058
palm.04.L,0.951,0.0561,-0.2967,0.0661
f_pinky.01.L,0.9179,0.3305,0.1704,0.1388
f_pinky.02.L,0.7932,0.6089,0.0091,-0.0058
f_pinky.03.L,0.824,0.5627,0.0252,0.0613
shoulder.R,1.0,-0.0,-0.0,0.0
upper_arm.R,0.3827,0.4743,-0.7875,0.092
forearm.R,0.4915,-0.1318,-0.1202,-0.8524
hand.R,0.8765,-0.3108,0.3574,0.086
palm.01.R,0.9199,-0.1265,0.3538,-0.1123
f_index.01.R,0.9921,-0.1193,0.0325,-0.0198
f_index.02.R,0.9969,-0.0747,-0.0248,0.0004
f_index.03.R,0.9928,-0.1147,-0.0077,-0.0329
thumb.01.R,0.8607,0.0061,-0.1324,-0.4915
thumb.02.R,0.9972,0.0314,0.0063,-0.0682
thumb.03.R,0.94,0.2979,0.1561,0.0578
palm.02.R,0.9391,-0.0512,0.3286,-0.0865
f_middle.01.R,0.8398,0.5297,0.0009,-0.1187
f_middle.02.R,0.9764,0.2124,-0.0403,0.0013
f_middle.03.R,0.959,0.2818,-0.0262,-0.0121
palm.03.R,0.9349,0.0003,0.3436,-0.0892
f_ring.01.R,0.8709,0.4869,-0.0045,-0.0664
f_ring.02.R,0.7914,0.6105,-0.028,0.0113
f_ring.03.R,0.8957,0.4363,-0.0622,-0.0589
palm.04.R,0.9443,0.0279,0.3188,-0.0768
f_pinky.01.R,0.9124,0.3696,-0.1381,-0.1087
f_pinky.02.R,0.7819,0.6233,-0.0096,0.0063
f_pinky.03.R,0.8238,0.563,-0.0247,-0.061
breast.L,1.0,0.0,0.0,-0.0
breast.R,1.0,0.0,0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0016,-0.0026,-0.9843,-0.1763
shin.L,0.9953,-0.0899,-0.0366,0.0032
foot.L,0.4572,0.8886,0.0372,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,0.0,0.0
thigh.R,0.002,-0.0027,0.9843,0.1763
shin.R,0.9953,-0.0899,0.0372,-0.0033
foot.R,0.4572,0.8886,-0.037,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
