motion_name,SG ASL Dessert 2026-6-12 metarig T
pose_name,SG ASL Dessert 2026-6-12 metarig T P1
export_date,2026-6-12
current_frame,31
frame_budget,31

bone_name,w,x,y,z
spine,0.9917,-0.1282,0.0045,-0.0011
spine.001,0.9979,0.0649,-0.0021,-0.0012
spine.002,0.9968,0.0776,0.0166,0.0009
spine.003,0.9995,-0.0236,-0.0217,-0.0083
spine.004,0.98,-0.199,-0.0007,-0.0002
spine.005,0.9954,0.0955,0.0017,0.0006
spine.006,0.9957,0.0928,0.0043,-0.0005
face,1.0,-0.0,0.0,0.0
nose,1.0,-0.0,0.0,0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,-0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,-0.0,0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,-0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,0.0,0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,-0.0,0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,0.0,0.0,-0.0
lip.B.R.001,1.0,0.0,0.0,0.0
brow.B.L,1.0,-0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,-0.0,0.0
lid.T.L,1.0,0.0,-0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,-0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,-0.0,0.0,-0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.R.002,1.0,-0.0,0.0,0.0
brow.B.R.003,1.0,0.0,-0.0,0.0
lid.T.R,1.0,0.0,-0.0,-0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,-0.0
lid.T.R.003,1.0,-0.0,-0.0,-0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,0.0,-0.0,0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,-0.0,0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,0.0,-0.0,0.0
jaw.L,1.0,0.0,0.0,-0.0
jaw.L.001,1.0,0.0,0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,-0.0,-0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,-0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,0.0
forehead.R,1.0,0.0,0.0,-0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,0.0,-0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,-0.0,-0.0,0.0
chin.R,1.0,-0.0,0.0,-0.0
cheek.B.R,1.0,0.0,0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,0.0,-0.0,0.0
brow.T.R.003,1.0,0.0,0.0,-0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,0.0,0.0,-0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,0.0,-0.0,0.0
cheek.T.R,1.0,0.0,0.0,0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,-0.0,-0.0
teeth.T,1.0,-0.0,-0.0,0.0
teeth.B,1.0,-0.0,-0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,0.0,-0.0
tongue.002,1.0,0.0,-0.0,-0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.4436,0.4704,0.7601,-0.0642
forearm.L,0.5615,-0.1406,0.0976,0.8096
hand.L,0.7547,-0.2001,-0.595,0.1906
palm.01.L,0.9745,0.0118,-0.2224,0.0255
f_index.01.L,0.9925,-0.1148,-0.0331,0.0245
f_index.02.L,0.9963,-0.0829,0.024,-0.0001
f_index.03.L,0.9922,-0.12,0.0076,0.033
thumb.01.L,0.8924,0.0363,0.0821,0.4423
thumb.02.L,0.9975,0.0157,-0.0055,0.0684
thumb.03.L,0.9288,0.3271,-0.1703,-0.0369
palm.02.L,0.9803,0.0737,-0.183,-0.0013
f_middle.01.L,0.9045,0.4157,-0.0115,0.0939
f_middle.02.L,0.9663,0.2541,0.0402,-0.003
f_middle.03.L,0.9631,0.2675,0.0259,0.0125
palm.03.L,0.9785,0.1033,-0.1784,-0.0034
f_ring.01.L,0.916,0.3949,0.0154,0.0686
f_ring.02.L,0.8298,0.5573,0.0271,-0.0082
f_ring.03.L,0.9083,0.4099,0.0615,0.056
palm.04.L,0.9817,0.1165,-0.1389,-0.0588
f_pinky.01.L,0.9286,0.2934,0.1748,0.145
f_pinky.02.L,0.8331,0.553,0.0075,-0.0032
f_pinky.03.L,0.853,0.5181,0.0268,0.0572
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.4247,0.4868,-0.76,0.0706
forearm.R,0.5543,-0.1348,-0.0966,-0.8156
hand.R,0.7992,-0.3067,0.5157,-0.0363
