motion_name,SG ASL Dessert Other 2026-6-10
pose_name,SG ASL Dessert Other 2026-6-10 P1
export_date,2026-6-10
current_frame,20
frame_budget,20

bone_name,w,x,y,z
bicepfk_L,0.7822,0.561,0.2045,0.1778
forearmfk_L,0.76,0.1052,0.0518,0.6393
handfk_L,0.9531,-0.3007,0.0079,0.0346
bicepfk_R,0.7868,0.5657,-0.2099,-0.1303
forearmfk_R,0.6954,0.0943,-0.0356,-0.7115
handfk_R,0.9679,-0.2456,-0.0502,0.0199
thighfk_L,0.9997,-0.0108,-0.0239,0.0002
shinfk_L,0.9998,0.016,-0.0146,0.0043
footfk_L,0.031,-0.0099,0.9995,0.0034
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0109,0.0246,-0.0002
shinfk_R,0.9997,0.0164,0.0155,-0.0045
footfk_R,0.031,-0.0097,-0.9995,-0.0035
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7949,0.399,0.4093,0.2037
thumbfk_02_L,0.9913,0.1126,-0.0096,-0.0673
thumbfk_03_L,0.9879,0.1296,-0.0317,-0.0786
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0212
pinkyfk_01_L,0.8202,0.5603,-0.1019,0.0544
pinkyfk_02_L,0.7253,0.6879,-0.0002,-0.0274
pinkyfk_03_L,0.6748,0.7305,-0.0555,0.0889
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0079,0.0035,0.0025
indexfk_02_L,0.9998,0.0203,0.0032,-0.0005
indexfk_03_L,1.0,0.0045,0.0001,0.0001
indexfk_04_L,0.9999,0.0167,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0069,-0.0069
middlefk_01_L,0.7713,0.6351,-0.0422,0.001
middlefk_02_L,0.8163,0.5774,-0.0139,0.0062
middlefk_03_L,0.8069,0.5896,-0.0214,-0.028
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,-0.0,-0.0193,0.0129
ringfk_01_L,0.8,0.5968,-0.0613,0.0085
ringfk_02_L,0.7222,0.6915,-0.0002,-0.0137
ringfk_03_L,0.7812,0.6198,-0.0267,0.0695
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7888,0.4024,-0.4133,-0.2121
thumbfk_02_R,0.9909,0.1157,0.0166,0.0663
thumbfk_03_R,0.9863,0.1438,0.0418,0.069
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0212
pinkyfk_01_R,0.82,0.5603,0.1027,-0.0561
pinkyfk_02_R,0.7214,0.692,0.0001,0.0274
pinkyfk_03_R,0.671,0.734,0.0562,-0.0885
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9999,-0.0102,-0.0038,-0.0051
indexfk_02_R,0.9999,0.0107,-0.0032,0.0006
indexfk_03_R,1.0,0.0022,-0.0001,-0.0001
indexfk_04_R,0.9999,0.0167,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0069,0.0069
middlefk_01_R,0.7704,0.636,0.0445,0.0013
middlefk_02_R,0.8087,0.5881,0.0139,-0.0061
middlefk_03_R,0.8046,0.5928,0.0213,0.0281
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0193,-0.0128
ringfk_01_R,0.8004,0.5961,0.0625,-0.0095
ringfk_02_R,0.7212,0.6926,0.0002,0.0137
ringfk_03_R,0.7803,0.621,0.0271,-0.0694
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9986,0.0498,0.0103,-0.0143
collar_L,0.9971,0.0729,-0.0005,0.0218
neckfk,1.0,-0.0008,-0.0001,-0.0001
headfk,1.0,-0.0017,-0.0001,-0.0001
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0032,-0.0074
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0,0.0,0.0
hip,1.0,0.0004,0.0003,-0.0
