motion_name,SG ASL Destroy 2026-6-12 metarig T
pose_name,SG ASL Destroy 2026-6-12 metarig T P4
export_date,2026-6-12
current_frame,73
frame_budget,12

bone_name,w,x,y,z
spine,0.9912,-0.132,0.0069,-0.0013
spine.001,0.998,0.0623,-0.0043,-0.008
spine.002,0.9969,0.0766,0.0156,-0.0024
spine.003,0.9994,-0.0246,-0.0225,-0.0116
spine.004,0.9798,-0.1997,-0.0019,-0.0025
spine.005,0.9943,0.1061,0.0072,0.0078
spine.006,0.9935,0.1116,0.0166,0.0117
face,1.0,-0.0,-0.0,-0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,-0.0,0.0,0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,0.0,0.0,-0.0
lip.T.L,1.0,-0.0,0.0,-0.0
lip.T.L.001,1.0,-0.0,0.0,-0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,-0.0,0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,0.0,-0.0,0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,0.0,-0.0
ear.L.004,1.0,0.0,-0.0,-0.0
ear.R,1.0,-0.0,-0.0,0.0
ear.R.001,1.0,0.0,0.0,-0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,0.0,0.0,0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,0.0,0.0
brow.B.L,1.0,-0.0,0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
lid.T.L,1.0,0.0,0.0,0.0
lid.T.L.001,1.0,-0.0,0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,-0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,-0.0,-0.0
lid.B.L.003,1.0,-0.0,0.0,-0.0
brow.B.R,1.0,0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,0.0,-0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,0.0,-0.0,-0.0
lid.T.R.001,1.0,-0.0,-0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,-0.0,0.0
lid.B.R.002,1.0,0.0,0.0,0.0
lid.B.R.003,1.0,0.0,-0.0,0.0
forehead.L,1.0,0.0,0.0,-0.0
forehead.L.001,1.0,-0.0,0.0,-0.0
forehead.L.002,1.0,0.0,-0.0,0.0
temple.L,1.0,0.0,0.0,0.0
jaw.L,1.0,-0.0,0.0,-0.0
jaw.L.001,1.0,-0.0,0.0,-0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,-0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,-0.0,0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,-0.0
temple.R,1.0,0.0,-0.0,0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,-0.0,-0.0,-0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,-0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,-0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,-0.0,0.0,0.0
brow.T.R.003,1.0,0.0,0.0,-0.0
eye.L,1.0,-0.0,-0.0,-0.0
eye.R,1.0,-0.0,-0.0,-0.0
cheek.T.L,1.0,-0.0,-0.0,0.0
cheek.T.L.001,1.0,-0.0,-0.0,0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,-0.0,-0.0,-0.0
teeth.B,1.0,-0.0,-0.0,-0.0
tongue,1.0,0.0,-0.0,0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,-0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.3042,0.5453,0.7765,-0.0843
forearm.L,0.7463,-0.1672,0.0725,0.6402
hand.L,-0.3367,0.085,-0.9301,0.1193
palm.01.L,0.8724,-0.0394,0.4616,-0.156
f_index.01.L,0.7666,0.6316,-0.0266,0.1123
f_index.02.L,0.723,0.6906,0.0108,-0.0183
f_index.03.L,0.8655,0.4965,0.0471,0.0471
thumb.01.L,0.9895,-0.1411,-0.0138,0.0267
thumb.02.L,0.9918,0.0918,-0.0878,0.0137
thumb.03.L,0.9906,0.1167,-0.038,0.0602
palm.02.L,0.8978,-0.027,0.4215,-0.125
f_middle.01.L,0.8162,0.5758,-0.0199,0.043
f_middle.02.L,0.8139,0.5804,0.023,-0.01
f_middle.03.L,0.799,0.6012,0.0124,-0.0022
palm.03.L,0.9045,-0.076,0.4057,-0.1069
f_ring.01.L,0.8512,0.524,0.0236,0.0171
f_ring.02.L,0.7523,0.6582,0.0274,-0.0119
f_ring.03.L,0.8719,0.4835,0.0391,0.0666
palm.04.L,0.8813,-0.1668,0.4001,-0.1879
f_pinky.01.L,0.865,0.4855,0.118,0.0457
f_pinky.02.L,0.6824,0.7309,0.0119,0.0084
f_pinky.03.L,0.8584,0.5075,0.0684,0.0294
shoulder.R,1.0,-0.0,-0.0,-0.0
upper_arm.R,0.1887,0.728,-0.6562,0.0622
forearm.R,0.8004,-0.1718,-0.0542,-0.5717
hand.R,0.2514,0.1279,-0.9419,-0.1826
palm.01.R,0.4144,0.0589,0.8875,0.1927
f_index.01.R,0.7356,0.6655,0.0032,-0.1263
f_index.02.R,0.7278,0.6855,-0.0108,0.0182
f_index.03.R,0.8787,0.4734,-0.0431,-0.0433
thumb.01.R,0.9912,-0.105,-0.0415,-0.069
thumb.02.R,0.9893,0.1056,0.0999,-0.0118
thumb.03.R,0.969,0.1956,0.1019,-0.1113
palm.02.R,0.3813,0.0982,0.9065,0.1528
f_middle.01.R,0.7438,0.6655,0.0004,-0.0621
f_middle.02.R,0.7982,0.6018,-0.0223,0.0112
f_middle.03.R,0.7522,0.6588,-0.013,0.0056
palm.03.R,0.368,0.1996,0.8918,0.1715
f_ring.01.R,0.821,0.5699,-0.0303,-0.0142
f_ring.02.R,0.702,0.7115,-0.0279,0.0142
f_ring.03.R,0.8221,0.5651,-0.0349,-0.06
palm.04.R,0.3922,0.3247,0.8482,0.1461
f_pinky.01.R,0.8393,0.5353,-0.0875,-0.0374
f_pinky.02.R,0.5958,0.803,-0.0128,-0.0063
f_pinky.03.R,0.8041,0.5901,-0.0664,-0.0298
breast.L,1.0,0.0,0.0,0.0
breast.R,1.0,0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,0.0088,-0.0019,-0.9834,-0.1813
shin.L,0.9952,-0.0898,-0.0378,0.0035
foot.L,0.4579,0.8882,0.0379,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,0.0
thigh.R,-0.0052,-0.0034,0.9831,0.1827
shin.R,0.9953,-0.0899,0.0367,-0.0031
foot.R,0.4572,0.8886,-0.0369,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,0.0
