motion_name,SG ASL Destroy Alt 2026-6-12
pose_name,SG ASL Destroy Alt 2026-6-12 P3
export_date,2026-6-12
current_frame,64
frame_budget,18

bone_name,w,x,y,z
bicepfk_L,0.789,0.5454,0.1916,0.2079
forearmfk_L,0.6323,-0.0466,-0.0393,0.7724
handfk_L,0.6571,-0.319,-0.683,-0.0037
bicepfk_R,0.8249,0.5292,-0.17,-0.1026
forearmfk_R,0.6996,-0.043,0.043,-0.7119
handfk_R,0.839,-0.2764,-0.4586,-0.0967
thighfk_L,0.9996,-0.0113,-0.0243,0.0002
shinfk_L,0.9996,0.0269,0.0085,0.0042
footfk_L,0.0287,-0.0265,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0113,0.0243,-0.0002
shinfk_R,0.9996,0.0269,-0.0085,-0.0042
footfk_R,0.0288,-0.0265,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8547,0.1749,0.4877,0.0333
thumbfk_02_L,0.9693,0.2281,-0.0752,-0.0526
thumbfk_03_L,0.9896,0.139,-0.0233,0.0293
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.028
pinkyfk_01_L,0.6961,0.7153,-0.0614,0.0022
pinkyfk_02_L,0.6728,0.7398,-0.0001,-0.0021
pinkyfk_03_L,0.7971,0.6008,0.0467,0.0379
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9938,-0.0,0.0788,-0.0788
indexfk_01_L,0.7054,0.7087,-0.0066,-0.0114
indexfk_02_L,0.6792,0.7339,-0.0001,-0.0103
indexfk_03_L,0.8062,0.5905,0.0212,0.0312
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0081,-0.0081
middlefk_01_L,0.6915,0.7221,-0.0153,-0.0071
middlefk_02_L,0.7251,0.6884,-0.0165,0.0059
middlefk_03_L,0.7659,0.6427,-0.0179,-0.0063
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0231,0.0154
ringfk_01_L,0.7174,0.6962,-0.0242,0.0012
ringfk_02_L,0.6905,0.7232,-0.0014,-0.0133
ringfk_03_L,0.7901,0.6084,-0.0278,0.0692
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8374,0.2018,-0.5048,-0.0559
thumbfk_02_R,0.9705,0.2237,0.0674,0.0589
thumbfk_03_R,0.9878,0.1487,0.0288,-0.0348
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0283
pinkyfk_01_R,0.6898,0.7211,0.0643,-0.0018
pinkyfk_02_R,0.6667,0.7453,-0.0,0.0022
pinkyfk_03_R,0.7992,0.598,-0.047,-0.0376
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9936,0.0,-0.08,0.08
indexfk_01_R,0.6968,0.7171,0.0096,0.0132
indexfk_02_R,0.6982,0.7158,0.0003,0.0103
indexfk_03_R,0.8138,0.58,-0.0215,-0.0309
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0082,0.0082
middlefk_01_R,0.6786,0.7342,0.0191,0.0071
middlefk_02_R,0.7245,0.6891,0.0167,-0.0056
middlefk_03_R,0.7542,0.6563,0.0178,0.0066
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0239,-0.0159
ringfk_01_R,0.699,0.7147,0.0262,-0.0034
ringfk_02_R,0.7045,0.7096,0.0014,0.0133
ringfk_03_R,0.7824,0.6183,0.0285,-0.069
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9971,0.0318,0.0469,0.0518
collar_L,0.9974,0.0629,0.0335,-0.0124
neckfk,1.0,0.0,0.0,0.0
headfk,1.0,-0.0007,0.0002,-0.0007
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0032,-0.0074
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,-0.0003,0.0001,0.0004
hip,1.0,0.0,0.0,0.0
