motion_name,SG ASL Destroy Alt 2026-6-12 metarig A
pose_name,SG ASL Destroy Alt 2026-6-12 metarig A P1
export_date,2026-6-12
current_frame,31
frame_budget,31

bone_name,w,x,y,z
spine,0.9915,-0.1297,0.0066,-0.001
spine.001,0.9979,0.0646,-0.0022,-0.0064
spine.002,0.9968,0.0777,0.0165,-0.0017
spine.003,0.9994,-0.0236,-0.0216,-0.0109
spine.004,0.98,-0.199,-0.0011,-0.0021
spine.005,0.9955,0.0951,-0.002,0.0041
spine.006,0.9958,0.0913,-0.0014,0.0081
face,1.0,0.0,0.0,-0.0
nose,1.0,-0.0,-0.0,0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,-0.0,0.0,0.0
nose.004,1.0,0.0,0.0,0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,0.0,0.0,-0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,0.0,0.0,-0.0
chin,1.0,-0.0,-0.0,0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,-0.0,0.0,-0.0
ear.L.001,1.0,0.0,0.0,0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,-0.0,-0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,0.0,-0.0,-0.0
ear.R.004,1.0,-0.0,-0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,-0.0
lip.B.R,1.0,0.0,0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,0.0,-0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,-0.0,-0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,0.0
lid.T.L.002,1.0,0.0,-0.0,0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,0.0,-0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,-0.0
brow.B.R,1.0,-0.0,-0.0,-0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,-0.0
lid.T.R,1.0,-0.0,0.0,0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,0.0,-0.0,0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,0.0,0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,-0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,-0.0
cheek.B.L.001,1.0,-0.0,0.0,-0.0
brow.T.L,1.0,0.0,0.0,0.0
brow.T.L.001,1.0,0.0,0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,-0.0
brow.T.L.003,1.0,-0.0,0.0,0.0
forehead.R,1.0,-0.0,0.0,-0.0
forehead.R.001,1.0,0.0,0.0,-0.0
forehead.R.002,1.0,0.0,-0.0,-0.0
temple.R,1.0,-0.0,-0.0,-0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,0.0,-0.0
cheek.B.R.001,1.0,-0.0,-0.0,-0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,0.0,-0.0,0.0
cheek.T.L.001,1.0,-0.0,0.0,0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,-0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,-0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,-0.0,-0.0
teeth.T,1.0,0.0,-0.0,0.0
teeth.B,1.0,0.0,-0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,-0.0,0.0,-0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.3084,0.5816,0.7505,-0.0584
forearm.L,0.6714,-0.1573,0.0791,0.7199
hand.L,-0.4011,-0.0148,-0.9151,0.0386
palm.01.L,0.8957,-0.063,0.4317,0.0858
f_index.01.L,0.9969,-0.029,-0.0613,-0.0393
f_index.02.L,0.9972,0.0705,0.0185,0.0137
f_index.03.L,0.9994,0.0086,0.0119,0.0319
thumb.01.L,0.9881,-0.0556,0.0714,0.1241
thumb.02.L,0.9954,-0.0799,-0.0097,0.0521
thumb.03.L,0.9984,0.0118,-0.0361,0.0412
palm.02.L,0.89,-0.0758,0.4461,0.0565
f_middle.01.L,0.9972,-0.0573,-0.0441,0.017
f_middle.02.L,0.998,0.0602,-0.0195,0.0057
f_middle.03.L,0.9987,0.0495,0.0148,-0.0016
palm.03.L,0.8853,-0.1303,0.4427,0.0565
f_ring.01.L,0.9927,-0.1053,0.0026,0.0592
f_ring.02.L,0.9979,0.0574,-0.026,0.0121
f_ring.03.L,0.9979,-0.0346,0.0454,0.0313
palm.04.L,0.8818,-0.2168,0.4187,0.0086
f_pinky.01.L,0.9692,-0.1844,0.0891,0.1369
f_pinky.02.L,0.9948,0.0827,-0.0581,-0.009
f_pinky.03.L,0.9994,0.0237,0.0219,0.0123
shoulder.R,1.0,-0.0,-0.0,-0.0
upper_arm.R,0.4687,0.5343,-0.703,0.0261
forearm.R,0.5875,-0.1518,-0.0963,-0.789
hand.R,0.6011,0.053,-0.7136,-0.3558
palm.01.R,0.5627,0.0547,0.8096,0.1579
f_index.01.R,0.997,-0.0249,0.0613,0.0396
f_index.02.R,0.9938,0.1093,-0.0179,-0.0132
f_index.03.R,0.9991,0.0236,-0.0124,-0.0318
thumb.01.R,0.9679,-0.1109,-0.0894,-0.207
thumb.02.R,0.9952,-0.0803,0.0044,-0.056
thumb.03.R,0.9982,0.0117,0.0394,-0.0442
palm.02.R,0.5731,0.1632,0.789,0.15
f_middle.01.R,0.9972,-0.0587,0.0444,-0.0161
f_middle.02.R,0.9966,0.0805,0.0195,-0.0041
f_middle.03.R,0.9979,0.0631,-0.0153,0.0021
palm.03.R,0.5799,0.2728,0.7479,0.1731
f_ring.01.R,0.9932,-0.0987,-0.0053,-0.0611
f_ring.02.R,0.9956,0.0901,0.0252,-0.0094
f_ring.03.R,0.9984,-0.0148,-0.0461,-0.0307
palm.04.R,0.5838,0.3798,0.6986,0.1638
f_pinky.01.R,0.9719,-0.1773,-0.0849,-0.1292
f_pinky.02.R,0.9922,0.1105,0.0569,0.011
f_pinky.03.R,0.9983,0.0528,-0.0222,-0.0117
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,0.0,0.0,-0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,0.0084,-0.0018,-0.9838,-0.1792
shin.L,0.9953,-0.0898,-0.0367,0.0033
foot.L,0.4579,0.8882,0.0368,-0.0029
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,0.0
thigh.R,-0.0048,-0.0035,0.9835,0.1805
shin.R,0.9953,-0.0898,0.037,-0.0032
foot.R,0.4572,0.8886,-0.0372,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,0.0,0.0
