motion_name,SG ASL Detach 2026-6-13 metarig A
pose_name,SG ASL Detach 2026-6-13 metarig A P3
export_date,2026-6-13
current_frame,59
frame_budget,36

bone_name,w,x,y,z
spine,0.9917,-0.1282,-0.0035,-0.0017
spine.001,0.9976,0.0671,-0.0176,-0.0039
spine.002,0.9969,0.0783,0.0096,-0.0004
spine.003,0.9993,-0.0229,-0.0286,-0.0098
spine.004,0.9801,-0.1985,-0.006,-0.0002
spine.005,0.9953,0.0961,0.0093,0.0035
spine.006,0.9954,0.0936,0.0187,0.004
face,1.0,0.0,-0.0,-0.0
nose,1.0,-0.0,0.0,-0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,-0.0,-0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,-0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,0.0,-0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,0.0,0.0,0.0
ear.L.002,1.0,-0.0,0.0,0.0
ear.L.003,1.0,0.0,0.0,0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,-0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,0.0,0.0
lip.T.R.001,1.0,-0.0,0.0,0.0
lip.B.R,1.0,-0.0,0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,0.0
lid.T.L,1.0,-0.0,-0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,-0.0,-0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,0.0,-0.0
brow.B.R,1.0,-0.0,-0.0,-0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,-0.0,0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,0.0,-0.0,-0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,-0.0
forehead.L,1.0,0.0,0.0,0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,-0.0,0.0
temple.L,1.0,0.0,0.0,0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,0.0,-0.0,0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,-0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,0.0,-0.0,-0.0
forehead.R.002,1.0,0.0,0.0,-0.0
temple.R,1.0,0.0,0.0,0.0
jaw.R,1.0,-0.0,-0.0,-0.0
jaw.R.001,1.0,-0.0,-0.0,0.0
chin.R,1.0,-0.0,0.0,0.0
cheek.B.R,1.0,-0.0,-0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,-0.0,0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,0.0
brow.T.R.002,1.0,0.0,0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,0.0
eye.L,1.0,0.0,0.0,-0.0
eye.R,1.0,0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,0.0,-0.0,0.0
nose.L,1.0,-0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,0.0,-0.0
teeth.T,1.0,0.0,0.0,-0.0
teeth.B,1.0,0.0,0.0,-0.0
tongue,1.0,0.0,0.0,0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,-0.0,0.0,0.0
upper_arm.L,0.5134,0.5777,0.6337,0.0335
forearm.L,0.7166,-0.1667,0.0704,0.6736
hand.L,0.1541,0.6301,-0.7562,0.0863
palm.01.L,0.8266,-0.2204,0.025,-0.5172
f_index.01.L,0.9821,-0.1259,-0.0645,0.1243
f_index.02.L,0.9953,-0.0946,0.0184,-0.0046
f_index.03.L,0.9968,-0.0695,0.037,0.0152
thumb.01.L,0.8996,-0.0978,-0.4198,0.0702
thumb.02.L,0.9965,-0.0664,-0.0069,0.0499
thumb.03.L,0.9956,0.0798,-0.0238,0.0427
palm.02.L,0.8195,-0.1837,0.0133,-0.5427
f_middle.01.L,0.9811,-0.1862,-0.0036,0.0523
f_middle.02.L,0.9919,-0.1201,0.0385,0.0122
f_middle.03.L,0.9979,-0.0584,0.02,0.0202
palm.03.L,0.8127,-0.1863,0.0112,-0.5521
f_ring.01.L,0.9527,-0.2843,-0.0034,0.1078
f_ring.02.L,0.9985,-0.0475,0.0227,0.0169
f_ring.03.L,0.987,-0.1508,0.0414,0.0368
palm.04.L,0.7925,-0.1814,-0.0292,-0.5815
f_pinky.01.L,0.9288,-0.3172,0.1095,0.1571
f_pinky.02.L,0.9999,-0.0046,0.0,0.0163
f_pinky.03.L,0.9974,-0.0682,0.0199,0.0148
shoulder.R,1.0,0.0,-0.0,-0.0
upper_arm.R,0.5403,0.3739,-0.7481,0.0929
forearm.R,0.2615,-0.1033,-0.1452,-0.9486
hand.R,0.5535,-0.2434,-0.7799,0.1615
palm.01.R,0.5201,-0.1569,0.8356,-0.0817
f_index.01.R,0.9821,-0.1259,0.0645,-0.1243
f_index.02.R,0.9953,-0.0946,-0.0184,0.0046
f_index.03.R,0.9968,-0.0695,-0.037,-0.0152
thumb.01.R,0.8996,-0.0978,0.4198,-0.0702
thumb.02.R,0.9965,-0.0664,0.0069,-0.0499
thumb.03.R,0.9956,0.0798,0.0238,-0.0427
palm.02.R,0.5499,-0.043,0.8298,-0.085
f_middle.01.R,0.9811,-0.1862,0.0037,-0.0523
f_middle.02.R,0.9919,-0.1201,-0.0385,-0.0122
f_middle.03.R,0.9979,-0.0584,-0.02,-0.0202
palm.03.R,0.5667,0.0822,0.8174,-0.0629
f_ring.01.R,0.966,-0.2441,0.0502,-0.0694
f_ring.02.R,0.9985,-0.0475,-0.0227,-0.0169
f_ring.03.R,0.987,-0.1508,-0.0414,-0.0368
palm.04.R,0.5707,0.1962,0.7946,-0.0664
f_pinky.01.R,0.9288,-0.3172,-0.1095,-0.1571
f_pinky.02.R,0.9999,-0.0046,-0.0,-0.0163
f_pinky.03.R,0.9974,-0.0682,-0.0199,-0.0148
breast.L,1.0,-0.0,0.0,-0.0
breast.R,1.0,-0.0,0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,-0.0011,-0.005,-0.9839,-0.1789
shin.L,0.9953,-0.0898,-0.0371,0.0033
foot.L,0.4559,0.8893,0.0368,-0.0029
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,0.0,-0.0
thigh.R,0.0047,-0.0002,0.984,0.1782
shin.R,0.9953,-0.0899,0.0365,-0.003
foot.R,0.4585,0.8879,-0.0369,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,0.0,-0.0
