motion_name,SG ASL Detach Alt 2026-6-13
pose_name,SG ASL Detach Alt 2026-6-13 P3
export_date,2026-6-13
current_frame,80
frame_budget,30

bone_name,w,x,y,z
bicepfk_L,0.8509,0.498,0.1204,0.1159
forearmfk_L,0.638,-0.0441,-0.0464,0.7674
handfk_L,0.9013,0.1854,-0.3912,-0.0153
bicepfk_R,0.7793,0.5674,-0.189,-0.1872
forearmfk_R,0.5595,-0.0462,0.0455,-0.8263
handfk_R,0.8387,-0.049,-0.5353,-0.0874
thighfk_L,0.9997,-0.0117,-0.0231,-0.0002
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0263,0.9991,0.019
toefk_L,1.0,0.0006,0.0002,0.0
thighfk_R,0.9996,-0.012,0.0254,-0.0006
shinfk_R,0.9996,0.0271,-0.0088,-0.0042
footfk_R,0.0288,-0.0266,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6111,0.2456,0.6938,0.2912
thumbfk_02_L,0.9957,-0.0585,0.0691,0.0218
thumbfk_03_L,0.9945,0.0871,0.0367,-0.0459
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0028
pinkyfk_01_L,0.9936,-0.0775,-0.0195,-0.08
pinkyfk_02_L,0.9999,0.0137,0.0,-0.0002
pinkyfk_03_L,0.9999,0.0164,-0.0005,0.0004
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.991,-0.0766,-0.0377,0.1027
indexfk_02_L,0.9995,0.0321,0.005,-0.0064
indexfk_03_L,0.9977,0.0585,0.0296,-0.0148
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9989,-0.0446,-0.0114,-0.0071
middlefk_02_L,0.9998,-0.018,-0.0001,0.0001
middlefk_03_L,1.0,-0.0063,-0.0003,-0.0007
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0002,0.0001
ringfk_01_L,0.9961,0.0102,-0.0779,-0.0413
ringfk_02_L,0.9995,0.0325,0.0016,-0.003
ringfk_03_L,0.9999,0.0144,-0.0001,0.0003
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9907,0.1159,-0.0626,-0.0351
thumbfk_02_R,0.9978,0.0659,-0.0006,-0.0001
thumbfk_03_R,0.9971,0.0758,-0.0033,-0.0038
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0028
pinkyfk_01_R,0.9937,-0.0777,0.0271,0.0765
pinkyfk_02_R,0.9996,0.0274,-0.0,0.0003
pinkyfk_03_R,0.9997,0.0234,0.0005,-0.0004
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9907,-0.0472,0.0336,-0.1227
indexfk_02_R,0.9999,-0.0085,-0.0044,0.0069
indexfk_03_R,0.9984,0.0457,-0.0295,0.0143
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0,0.0
middlefk_01_R,0.9996,0.0047,-0.0135,-0.0262
middlefk_02_R,0.9988,-0.0496,0.0001,-0.0001
middlefk_03_R,0.9993,-0.0363,0.0004,0.0007
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,-0.0
ringfk_01_R,0.9971,0.0031,0.0708,0.0282
ringfk_02_R,0.9996,0.0269,-0.0014,0.0031
ringfk_03_R,1.0,0.0059,0.0002,-0.0003
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9985,0.0521,0.0181,0.004
collar_L,0.9963,0.0834,0.0124,0.0151
neckfk,1.0,-0.0015,-0.0003,0.0007
headfk,1.0,-0.003,-0.0002,0.0015
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0001,-0.001,-0.0007
chest_3,0.9998,-0.0194,-0.0047,-0.0084
chest_2,1.0,-0.0004,-0.0015,-0.0008
chest_1,1.0,-0.0003,-0.0036,-0.0017
hip,1.0,-0.0006,0.0011,0.0004
