motion_name,SG ASL Detain 2026-6-15
pose_name,SG ASL Detain 2026-6-15 P1
export_date,2026-6-15
current_frame,24
frame_budget,24

bone_name,w,x,y,z
bicepfk_L,0.7216,0.3965,0.0671,0.5636
forearmfk_L,0.8668,-0.0299,-0.0547,0.4948
handfk_L,0.8835,0.036,0.4669,0.0103
bicepfk_R,0.7586,0.5454,0.0299,-0.3553
forearmfk_R,0.7606,-0.0502,0.0513,-0.6452
handfk_R,0.7032,0.0723,-0.7073,0.001
thighfk_L,0.9997,-0.0109,-0.02,-0.0004
shinfk_L,0.9996,0.027,0.0091,0.0042
footfk_L,0.0289,-0.0262,0.999,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0119,0.0285,-0.0008
shinfk_R,0.9996,0.0269,-0.0086,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8422,0.3447,0.3627,0.2009
thumbfk_02_L,0.9459,0.3237,0.0072,-0.0201
thumbfk_03_L,0.9512,0.3085,-0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.0284
pinkyfk_01_L,0.6881,0.7239,-0.0475,0.0164
pinkyfk_02_L,0.672,0.7406,-0.0002,-0.0008
pinkyfk_03_L,0.7597,0.6464,0.053,0.0472
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9925,-0.0,0.0862,-0.0862
indexfk_01_L,0.6505,0.7593,-0.0087,0.0135
indexfk_02_L,0.7581,0.6493,-0.0595,-0.0106
indexfk_03_L,0.7541,0.6552,0.0225,0.0391
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0082,-0.0082
middlefk_01_L,0.6851,0.7282,-0.004,0.0168
middlefk_02_L,0.6887,0.724,-0.0386,0.01
middlefk_03_L,0.7906,0.6099,-0.0106,0.0529
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0226,0.015
ringfk_01_L,0.7299,0.6831,-0.0174,0.0205
ringfk_02_L,0.6918,0.722,0.0003,-0.0135
ringfk_03_L,0.6997,0.709,-0.0422,0.0773
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8422,0.3447,-0.3627,-0.2009
thumbfk_02_R,0.9459,0.3237,-0.0072,0.0201
thumbfk_03_R,0.9512,0.3085,0.0,-0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,-0.0,-0.0,-0.0284
pinkyfk_01_R,0.6881,0.7239,0.0475,-0.0164
pinkyfk_02_R,0.672,0.7406,0.0002,0.0008
pinkyfk_03_R,0.7597,0.6464,-0.053,-0.0472
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9925,-0.0,-0.0862,0.0862
indexfk_01_R,0.6505,0.7593,0.0087,-0.0135
indexfk_02_R,0.7581,0.6493,0.0595,0.0106
indexfk_03_R,0.7541,0.6552,-0.0225,-0.0391
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0082,0.0082
middlefk_01_R,0.6851,0.7282,0.004,-0.0168
middlefk_02_R,0.6887,0.724,0.0386,-0.01
middlefk_03_R,0.7906,0.6099,0.0106,-0.0529
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0226,-0.015
ringfk_01_R,0.7299,0.6831,0.0174,-0.0205
ringfk_02_R,0.6918,0.722,-0.0003,0.0135
ringfk_03_R,0.6997,0.709,0.0422,-0.0773
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9963,0.0637,0.0409,-0.0409
collar_L,0.9945,0.0944,0.0035,0.0451
neckfk,1.0,0.0041,-0.0012,0.0006
headfk,1.0,0.0076,-0.0022,0.0011
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0195,-0.0031,-0.0075
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,-0.0003,0.0003,-0.0003
hip,1.0,-0.0001,0.0043,0.0007
