motion_name,SG ASL Detain 2026-6-15 metarig T
pose_name,SG ASL Detain 2026-6-15 metarig T P1
export_date,2026-6-15
current_frame,24
frame_budget,24

bone_name,w,x,y,z
spine,0.992,-0.1259,0.0044,0.0001
spine.001,0.9979,0.0641,0.0004,-0.0003
spine.002,0.9968,0.0775,0.0175,0.0014
spine.003,0.9995,-0.024,-0.0206,-0.0079
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.9948,0.1018,-0.0013,0.0005
spine.006,0.9946,0.1038,-0.0016,0.0009
face,1.0,0.0,0.0,0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,0.0,0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,0.0,0.0,-0.0
lip.T.L,1.0,0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,-0.0,0.0,0.0
jaw,1.0,-0.0,-0.0,-0.0
chin,1.0,-0.0,-0.0,0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,-0.0,-0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,0.0,0.0,-0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,0.0
lip.B.R,1.0,-0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,0.0
brow.B.L.002,1.0,0.0,-0.0,0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,-0.0,0.0,0.0
lid.T.L.001,1.0,-0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,-0.0
lid.B.L,1.0,0.0,0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,0.0
brow.B.R,1.0,0.0,0.0,-0.0
brow.B.R.001,1.0,-0.0,0.0,0.0
brow.B.R.002,1.0,-0.0,-0.0,-0.0
brow.B.R.003,1.0,0.0,0.0,0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,0.0,0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,-0.0,-0.0,0.0
lid.B.R.001,1.0,-0.0,-0.0,-0.0
lid.B.R.002,1.0,0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,0.0
forehead.L,1.0,-0.0,0.0,0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,-0.0,0.0,-0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,0.0,0.0,0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,-0.0,-0.0,-0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,-0.0,-0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,0.0,-0.0
forehead.R.002,1.0,0.0,0.0,0.0
temple.R,1.0,-0.0,-0.0,-0.0
jaw.R,1.0,0.0,0.0,-0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,-0.0,0.0
brow.T.R.002,1.0,0.0,-0.0,0.0
brow.T.R.003,1.0,0.0,-0.0,-0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,-0.0,-0.0,-0.0
cheek.T.L.001,1.0,0.0,0.0,-0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,-0.0,0.0,0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,0.0,-0.0,0.0
teeth.B,1.0,0.0,-0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,0.0,-0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.3434,0.6552,0.6096,0.2849
forearm.L,0.8345,-0.1765,0.0378,0.5207
hand.L,0.8656,0.114,0.4665,0.1423
palm.01.L,0.7318,-0.0013,-0.6459,-0.2176
f_index.01.L,0.7129,0.6835,0.0035,0.1571
f_index.02.L,0.8119,0.5817,-0.0474,-0.0131
f_index.03.L,0.822,0.5642,0.0543,0.0562
thumb.01.L,0.9627,-0.0744,-0.0684,0.251
thumb.02.L,0.9802,0.1956,0.0103,0.0292
thumb.03.L,0.9488,0.3123,-0.0171,0.0442
palm.02.L,0.7101,0.0392,-0.6842,-0.1614
f_middle.01.L,0.8093,0.5838,0.0084,0.0643
f_middle.02.L,0.7715,0.6363,-0.0018,-0.0049
f_middle.03.L,0.8237,0.5637,0.0206,0.0571
palm.03.L,0.7032,0.1199,-0.6796,-0.1709
f_ring.01.L,0.8759,0.4775,0.0584,0.0379
f_ring.02.L,0.7435,0.668,0.0288,-0.0142
f_ring.03.L,0.7999,0.5943,0.0253,0.0792
palm.04.L,0.7077,0.2465,-0.6307,-0.2018
f_pinky.01.L,0.8653,0.4642,0.1759,0.0694
f_pinky.02.L,0.6953,0.7186,0.0118,0.0108
f_pinky.03.L,0.8136,0.5741,0.0819,0.0404
shoulder.R,1.0,-0.0,0.0,-0.0
upper_arm.R,0.4957,0.6338,-0.5866,-0.0921
forearm.R,0.7223,-0.1769,-0.0663,-0.6653
hand.R,0.4512,0.179,-0.8683,-0.1025
palm.01.R,0.5046,-0.0071,0.8362,0.2146
f_index.01.R,0.7129,0.6835,-0.0035,-0.1571
f_index.02.R,0.8119,0.5817,0.0474,0.0131
f_index.03.R,0.822,0.5642,-0.0543,-0.0562
thumb.01.R,0.9627,-0.0744,0.0684,-0.251
thumb.02.R,0.9802,0.1956,-0.0103,-0.0292
thumb.03.R,0.9488,0.3123,0.0171,-0.0442
palm.02.R,0.4747,0.0294,0.864,0.1655
f_middle.01.R,0.8093,0.5838,-0.0084,-0.0643
f_middle.02.R,0.7715,0.6363,0.0018,0.0049
f_middle.03.R,0.8237,0.5637,-0.0206,-0.0571
palm.03.R,0.4657,0.1299,0.8566,0.1801
f_ring.01.R,0.8759,0.4775,-0.0584,-0.0379
f_ring.02.R,0.7435,0.668,-0.0288,0.0142
f_ring.03.R,0.7999,0.5943,-0.0253,-0.0792
palm.04.R,0.4848,0.2498,0.8224,0.1617
f_pinky.01.R,0.8766,0.4623,-0.1243,-0.0487
f_pinky.02.R,0.6953,0.7186,-0.0118,-0.0108
f_pinky.03.R,0.8136,0.5741,-0.0819,-0.0404
breast.L,1.0,-0.0,0.0,0.0
breast.R,1.0,-0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,0.0,0.0,-0.0
thigh.L,0.0059,-0.0013,-0.9844,-0.176
shin.L,0.9953,-0.0899,-0.0366,0.0032
foot.L,0.4579,0.8882,0.0367,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,0.0,-0.0
thigh.R,-0.0023,-0.0039,0.9842,0.1769
shin.R,0.9953,-0.09,0.037,-0.0033
foot.R,0.4565,0.889,-0.0369,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
