motion_name,SG ASL Detention Alt 2026-6-16
pose_name,SG ASL Detention Alt 2026-6-16 P1
export_date,2026-6-16
current_frame,45
frame_budget,45

bone_name,w,x,y,z
bicepfk_L,0.8446,0.5248,-0.0518,0.0928
forearmfk_L,0.5947,-0.0505,-0.0383,0.8015
handfk_L,0.7917,0.4024,0.3533,0.2941
bicepfk_R,0.6904,0.516,-0.3081,-0.4027
forearmfk_R,0.4697,-0.0469,0.0244,-0.8812
handfk_R,0.5377,-0.0388,-0.4506,0.7116
thighfk_L,0.9995,-0.015,-0.0288,0.0003
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.029,-0.0262,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.014,0.0197,0.0001
shinfk_R,0.9996,0.027,-0.0089,-0.0042
footfk_R,0.0289,-0.0263,-0.999,-0.0192
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8052,0.4089,0.4027,0.1493
thumbfk_02_L,0.9895,0.1045,-0.0301,-0.0952
thumbfk_03_L,0.9914,0.1063,-0.0301,-0.0706
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.02
pinkyfk_01_L,0.8389,0.5285,-0.1197,0.0509
pinkyfk_02_L,0.7072,0.7063,0.0,-0.0297
pinkyfk_03_L,0.6464,0.7537,-0.0723,0.0942
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,-0.0,0.0057,-0.0057
indexfk_01_L,0.9937,0.0584,0.0087,0.0955
indexfk_02_L,0.9881,0.1536,-0.0,0.0
indexfk_03_L,0.9936,0.1129,-0.0,-0.0003
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0069,-0.0069
middlefk_01_L,0.7727,0.6318,-0.0561,-0.0245
middlefk_02_L,0.7474,0.6641,-0.0183,0.0082
middlefk_03_L,0.7439,0.6667,-0.0285,-0.0369
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0181,0.012
ringfk_01_L,0.8236,0.5638,-0.0611,-0.0054
ringfk_02_L,0.7077,0.7063,0.0,-0.0135
ringfk_03_L,0.7775,0.6237,-0.0349,0.0726
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.756,0.4244,-0.4449,-0.2246
thumbfk_02_R,0.9895,0.1043,0.0299,0.0953
thumbfk_03_R,0.9799,0.1663,0.0147,0.1095
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0233
pinkyfk_01_R,0.7848,0.6079,0.1081,-0.0527
pinkyfk_02_R,0.7926,0.6091,-0.0024,0.0275
pinkyfk_03_R,0.6892,0.716,0.0676,-0.0879
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,1.0,-0.0023,-0.0048,-0.0037
indexfk_02_R,0.8262,0.5634,-0.0001,0.0001
indexfk_03_R,0.8282,0.5605,-0.0002,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0068,0.0068
middlefk_01_R,0.7774,0.6261,0.0576,0.0191
middlefk_02_R,0.7782,0.6278,0.017,-0.0076
middlefk_03_R,0.7796,0.6247,0.0266,0.0345
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0198,-0.0132
ringfk_01_R,0.7902,0.6095,0.0644,0.0029
ringfk_02_R,0.7385,0.6742,-0.0,0.0125
ringfk_03_R,0.8031,0.5911,0.0324,-0.0674
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9872,-0.0687,0.125,-0.0718
collar_L,0.9938,0.0026,-0.0299,0.1072
neckfk,1.0,0.001,0.0012,0.0083
headfk,0.9999,0.0018,0.0056,0.0147
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0033,0.0005,-0.0026
chest_3,0.9998,-0.0149,-0.0025,-0.0109
chest_2,1.0,0.0045,0.0003,-0.0034
chest_1,0.9999,0.01,0.0006,-0.0079
hip,1.0,-0.0034,-0.0046,-0.0003
