motion_name,SG ASL Detergent 2026-6-16
pose_name,SG ASL Detergent 2026-6-16 P3
export_date,2026-6-16
current_frame,54
frame_budget,12

bone_name,w,x,y,z
bicepfk_L,0.745,0.4641,0.4441,0.1799
forearmfk_L,0.7305,-0.0407,-0.0471,0.68
handfk_L,0.6905,0.1828,-0.6785,0.1719
bicepfk_R,0.9084,0.2533,-0.1419,-0.3008
forearmfk_R,0.3879,-0.0539,0.0234,-0.9198
handfk_R,0.8902,0.448,-0.0425,-0.0716
thighfk_L,0.9994,-0.0128,-0.031,0.001
shinfk_L,0.9996,0.027,0.0091,0.004
footfk_L,0.0291,-0.0261,0.9991,0.0177
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0113,0.0175,0.0006
shinfk_R,0.9996,0.027,-0.0088,-0.0043
footfk_R,0.0288,-0.0265,-0.999,-0.0196
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9695,-0.0551,0.162,0.1754
thumbfk_02_L,0.9988,0.0368,-0.0318,-0.006
thumbfk_03_L,0.9984,-0.0381,0.0346,-0.0235
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0029
pinkyfk_01_L,0.9955,0.0832,-0.0447,-0.0084
pinkyfk_02_L,0.9935,0.1057,-0.0379,-0.0194
pinkyfk_03_L,0.995,0.1001,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,-0.0,0.005,-0.005
indexfk_01_L,0.9983,0.0497,-0.0074,-0.0309
indexfk_02_L,0.9889,0.148,0.0012,0.0091
indexfk_03_L,0.9945,0.1051,0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0009,-0.0009
middlefk_01_L,0.9951,0.0924,-0.0268,-0.0212
middlefk_02_L,0.9879,0.1503,-0.0387,-0.0049
middlefk_03_L,0.9963,0.0851,-0.0042,-0.0131
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0028,0.0019
ringfk_01_L,0.9946,0.0943,-0.0425,0.0046
ringfk_02_L,0.993,0.1136,-0.0317,-0.0073
ringfk_03_L,0.996,0.0898,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7811,0.2209,-0.5259,-0.254
thumbfk_02_R,0.9989,0.0447,-0.0137,-0.0013
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0059
pinkyfk_01_R,0.9852,0.1669,0.0388,0.0025
pinkyfk_02_R,0.9833,0.1664,0.066,0.0328
pinkyfk_03_R,0.9978,0.0669,-0.0,-0.0001
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,0.0,-0.0097,0.0097
indexfk_01_R,0.9934,0.0982,0.0147,0.0581
indexfk_02_R,0.9743,0.2246,-0.0022,-0.0157
indexfk_03_R,0.9852,0.1713,-0.0,0.0
indexfk_04_R,1.0,0.0054,0.0,-0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0016,0.0016
middlefk_01_R,0.9865,0.1598,0.0208,0.0285
middlefk_02_R,0.9716,0.2269,0.0672,0.0078
middlefk_03_R,0.9893,0.1441,0.0077,0.0229
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0055,-0.0037
ringfk_01_R,0.9826,0.1828,0.0294,0.0148
ringfk_02_R,0.9804,0.1888,0.0551,0.0122
ringfk_03_R,0.9854,0.17,0.0,-0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9972,0.0407,0.0622,-0.0089
collar_L,0.9962,0.0756,-0.0003,0.0423
neckfk,1.0,-0.0039,0.004,-0.0014
headfk,0.9999,-0.0075,0.0071,-0.0048
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0011,-0.0007,0.0002
chest_3,0.9998,-0.0176,-0.0038,-0.0071
chest_2,1.0,0.0016,-0.0006,0.0004
chest_1,1.0,0.0045,-0.0003,0.001
hip,1.0,-0.0008,-0.0068,-0.001
