motion_name,SG ASL Determine 2026-6-17
pose_name,SG ASL Determine 2026-6-17 P1
export_date,2026-6-17
current_frame,45
frame_budget,45

bone_name,w,x,y,z
bicepfk_L,0.7728,0.5305,0.3207,0.1361
forearmfk_L,0.8495,-0.0339,-0.0541,0.5238
handfk_L,0.9828,0.1791,0.0253,-0.0359
bicepfk_R,0.7444,0.5359,0.0584,-0.394
forearmfk_R,0.3024,-0.0591,0.019,-0.9512
handfk_R,0.9821,-0.1106,-0.1467,0.041
thighfk_L,0.9997,-0.0149,-0.021,0.0022
shinfk_L,0.9996,0.0271,0.0085,0.0043
footfk_L,0.0288,-0.0263,0.9991,0.0179
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0154,0.0275,0.0021
shinfk_R,0.9996,0.027,-0.0093,-0.0042
footfk_R,0.0291,-0.0263,-0.999,-0.0196
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9943,0.0245,0.102,0.0194
thumbfk_02_L,0.9988,0.0425,-0.0204,-0.0123
thumbfk_03_L,0.9997,0.0122,-0.0032,-0.0202
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0003
pinkyfk_01_L,0.9985,-0.0082,-0.0298,-0.0456
pinkyfk_02_L,0.9999,0.0128,0.0,-0.0001
pinkyfk_03_L,0.9999,0.0135,-0.0001,0.0002
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
indexfk_01_L,1.0,0.0028,0.0021,0.0039
indexfk_02_L,1.0,0.0077,-0.0022,-0.0013
indexfk_03_L,1.0,0.0032,0.0008,0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
middlefk_01_L,0.9996,0.0281,0.0023,0.0057
middlefk_02_L,1.0,0.0077,-0.0001,0.0
middlefk_03_L,1.0,0.0084,-0.0001,-0.0002
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0002,0.0001
ringfk_01_L,0.9999,0.006,-0.0112,-0.0076
ringfk_02_L,0.9997,0.0237,0.0006,-0.0019
ringfk_03_L,1.0,0.0093,-0.0,0.0002
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7934,0.363,-0.4354,-0.2219
thumbfk_02_R,0.9852,0.1397,0.0449,0.0891
thumbfk_03_R,0.9879,0.1347,0.0469,0.0604
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0152
pinkyfk_01_R,0.9015,0.4078,0.1442,-0.013
pinkyfk_02_R,0.7975,0.6028,-0.0,0.0246
pinkyfk_03_R,0.7544,0.6489,0.0605,-0.0789
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9997,0.0,-0.0182,0.0182
indexfk_01_R,0.9813,0.1792,-0.0697,0.0019
indexfk_02_R,0.9946,0.1033,0.0019,0.0035
indexfk_03_R,0.9984,0.0557,-0.0011,-0.0018
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0058,0.0058
middlefk_01_R,0.8338,0.5502,0.0391,0.0256
middlefk_02_R,0.8244,0.5657,0.0152,-0.0068
middlefk_03_R,0.8239,0.5655,0.0235,0.0306
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0146,-0.0097
ringfk_01_R,0.8831,0.4642,0.0674,0.0143
ringfk_02_R,0.7929,0.6092,-0.001,0.0145
ringfk_03_R,0.846,0.529,0.0286,-0.0596
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9976,0.0282,0.0556,0.0304
collar_L,0.9977,0.0566,0.0341,-0.0179
neckfk,0.9991,0.0074,0.0001,0.042
headfk,0.9969,0.0129,0.0162,0.0759
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0,-0.0016,-0.0031
chest_3,0.9997,-0.0193,-0.0052,-0.0116
chest_2,1.0,-0.0006,-0.0025,-0.0039
chest_1,0.9999,0.0,-0.0056,-0.0089
hip,1.0,-0.0042,0.0032,-0.0023
