motion_name,SG ASL Detour 2026-6-18
pose_name,SG ASL Detour 2026-6-18 P1
export_date,2026-6-18
current_frame,33
frame_budget,33

bone_name,w,x,y,z
bicepfk_L,0.7434,0.5825,0.2696,0.1879
forearmfk_L,0.6566,-0.041,-0.0454,0.7518
handfk_L,0.9672,-0.2202,0.0891,0.0904
bicepfk_R,0.7097,0.6061,-0.315,-0.1724
forearmfk_R,0.6416,-0.0466,0.0417,-0.7645
handfk_R,0.9455,-0.3049,-0.0821,-0.0799
thighfk_L,0.9996,-0.0112,-0.0244,0.0002
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0262,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0112,0.0241,-0.0002
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0287,-0.0266,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.973,0.059,0.1013,-0.1986
thumbfk_02_L,0.998,0.0344,0.0334,-0.0404
thumbfk_03_L,0.998,0.0317,0.0321,-0.0435
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,0.9996,0.0238,0.0114,-0.002
indexfk_03_L,1.0,0.0052,-0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,0.9994,0.0285,-0.018,0.0056
middlefk_03_L,1.0,0.0032,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0012,0.0008
ringfk_01_L,0.999,0.0388,0.0177,0.0167
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.973,0.059,-0.1013,0.1986
thumbfk_02_R,0.998,0.0344,-0.0334,0.0404
thumbfk_03_R,0.998,0.0317,-0.0321,0.0435
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0
pinkyfk_01_R,1.0,0.0,0.0,0.0
pinkyfk_02_R,1.0,0.0,0.0,0.0
pinkyfk_03_R,1.0,0.0,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0,0.0
indexfk_01_R,1.0,0.0,0.0,0.0
indexfk_02_R,0.9996,0.0238,-0.0114,0.002
indexfk_03_R,1.0,0.0052,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,1.0,0.0,0.0,0.0
middlefk_02_R,0.9994,0.0285,0.018,-0.0056
middlefk_03_R,1.0,0.0032,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0012,-0.0008
ringfk_01_R,0.999,0.0388,-0.0177,-0.0167
ringfk_02_R,1.0,0.0,0.0,0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9974,0.0546,0.0457,-0.0101
collar_L,0.9943,0.1001,-0.0182,0.0303
neckfk,1.0,-0.0014,0.0012,-0.0007
headfk,1.0,-0.0027,0.0019,-0.0018
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,-0.0007,0.0002
chest_3,0.9998,-0.0189,-0.0042,-0.0072
chest_2,1.0,0.0004,-0.001,0.0003
chest_1,1.0,0.001,-0.0021,0.0009
hip,1.0,0.0,0.0,0.0
