motion_name,SG ASL Detroit 2026-6-19
pose_name,SG ASL Detroit 2026-6-19 P2
export_date,2026-6-19
current_frame,48
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.7472,0.5392,0.3496,0.1696
forearmfk_L,0.8528,-0.032,-0.0532,0.5185
handfk_L,0.9025,0.2731,0.3148,-0.1085
bicepfk_R,0.7856,0.5441,-0.0227,-0.2936
forearmfk_R,0.6818,-0.0571,0.0266,-0.7288
handfk_R,0.8363,-0.1735,-0.5144,-0.0766
thighfk_L,0.9998,-0.0095,-0.0192,-0.0001
shinfk_L,0.9996,0.0271,0.0096,0.0042
footfk_L,0.0291,-0.0261,0.9991,0.0191
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0106,0.0293,-0.0006
shinfk_R,0.9996,0.027,-0.0081,-0.0042
footfk_R,0.0288,-0.027,-0.9991,-0.0176
toefk_R,1.0,-0.0003,0.0004,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7018,0.367,-0.4544,-0.4078
thumbfk_02_R,0.9822,0.1838,-0.0077,-0.0384
thumbfk_03_R,0.8904,0.4094,0.1297,0.1508
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0229
pinkyfk_01_R,0.7885,0.6018,0.0841,-0.0953
pinkyfk_02_R,0.9241,0.3815,-0.0058,0.0204
pinkyfk_03_R,0.9703,0.2305,0.0415,-0.0608
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9991,-0.0302,0.0011,-0.0281
indexfk_02_R,0.9998,0.0174,-0.0122,0.0021
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,0.9977,0.0683,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0064,0.0064
middlefk_01_R,0.7967,0.6011,0.0152,-0.0605
middlefk_02_R,0.9336,0.3577,-0.0096,-0.0208
middlefk_03_R,0.9401,0.3406,-0.0116,-0.0058
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0182,-0.0122
ringfk_01_R,0.8197,0.5691,0.062,0.0196
ringfk_02_R,0.9238,0.3819,-0.0164,-0.0214
ringfk_03_R,0.9316,0.3581,0.0199,-0.0587
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9976,0.0538,0.0395,0.0158
collar_L,0.9965,0.0835,0.008,0.0066
neckfk,0.9999,0.0002,-0.0066,0.0082
headfk,0.9998,0.0006,-0.0084,0.0176
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0012,0.0031,-0.0009
chest_3,0.9997,-0.021,0.001,-0.0085
chest_2,1.0,-0.0016,0.004,-0.0017
chest_1,0.9999,-0.0039,0.0088,-0.0037
hip,1.0,0.0014,0.005,0.0004
