motion_name,SG ASL Develop Var 2026-6-21
pose_name,SG ASL Develop Var 2026-6-21 P4
export_date,2026-6-21
current_frame,93
frame_budget,27

bone_name,w,x,y,z
bicepfk_L,0.7338,0.6445,0.1487,0.155
forearmfk_L,0.5696,-0.0503,-0.0357,0.8196
handfk_L,0.9634,-0.219,0.122,0.0953
bicepfk_R,0.8312,0.4821,0.1201,-0.2495
forearmfk_R,0.7664,-0.0469,0.0425,-0.6393
handfk_R,0.8253,-0.0938,-0.5566,0.0153
thighfk_L,0.9995,-0.0214,-0.0231,-0.0015
shinfk_L,0.9996,0.0269,0.0096,0.0042
footfk_L,0.0292,-0.0258,0.999,0.0205
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0217,0.0253,-0.0013
shinfk_R,0.9996,0.0268,-0.007,-0.0041
footfk_R,0.0285,-0.027,-0.9991,-0.0186
toefk_R,1.0,-0.0008,-0.0006,-0.0
thumbfk_01_L,0.9828,0.1419,0.0895,-0.0778
thumbfk_02_L,0.9995,0.0236,-0.0202,-0.0042
thumbfk_03_L,0.9982,-0.0404,0.0367,-0.0249
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0006
pinkyfk_01_L,0.999,0.0175,0.0096,-0.0398
pinkyfk_02_L,1.0,-0.0038,0.0,0.0
pinkyfk_03_L,0.9999,0.0137,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9999,-0.0086,-0.0043,0.0056
indexfk_02_L,0.9994,-0.0344,0.0,-0.0
indexfk_03_L,0.9999,-0.0112,0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9996,-0.0206,0.0002,0.0193
middlefk_02_L,1.0,-0.0034,0.0,0.0
middlefk_03_L,1.0,-0.0018,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0003,0.0002
ringfk_01_L,0.9999,0.011,0.008,-0.0046
ringfk_02_L,0.9998,-0.0219,-0.0,-0.0
ringfk_03_L,0.9998,0.0197,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9937,0.0805,-0.0627,0.0458
thumbfk_02_R,0.9999,0.0082,0.0053,0.0052
thumbfk_03_R,0.998,-0.0421,-0.0382,0.0259
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0
pinkyfk_01_R,1.0,0.0,-0.0006,-0.0013
pinkyfk_02_R,1.0,-0.0014,0.0,-0.0
pinkyfk_03_R,1.0,-0.0013,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,1.0,-0.0031,0.0036,0.0079
indexfk_02_R,1.0,-0.0008,0.0,-0.0
indexfk_03_R,1.0,-0.0005,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,1.0,-0.0003,-0.0006,0.0001
middlefk_02_R,1.0,-0.0008,0.0,-0.0
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,-0.0
ringfk_01_R,1.0,0.0003,-0.0022,-0.0038
ringfk_02_R,1.0,-0.0019,0.0,0.0
ringfk_03_R,1.0,-0.0013,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9878,0.0248,0.0996,-0.1173
collar_L,0.9927,0.0381,-0.0069,0.1145
neckfk,0.9999,0.0089,-0.0011,0.0086
headfk,0.9997,0.017,0.0011,0.0151
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0021,-0.002,-0.0006
chest_3,0.9997,-0.0221,-0.006,-0.0083
chest_2,1.0,-0.0028,-0.0028,-0.0007
chest_1,1.0,-0.0066,-0.0064,-0.0015
hip,0.9999,-0.0112,0.0011,0.0016
