motion_name,SG ASL Devotion 2026-6-23
pose_name,SG ASL Devotion 2026-6-23 P1
export_date,2026-6-23
current_frame,39
frame_budget,39

bone_name,w,x,y,z
bicepfk_L,0.7159,0.3196,0.3163,0.5341
forearmfk_L,0.4764,-0.0526,-0.0313,0.8771
handfk_L,0.9559,-0.1261,-0.2644,-0.0214
bicepfk_R,0.6903,0.3831,-0.2391,-0.5653
forearmfk_R,0.6078,-0.0479,0.0402,-0.7916
handfk_R,0.9479,-0.0309,0.3146,-0.04
thighfk_L,0.9996,-0.0118,-0.0264,0.0005
shinfk_L,0.9996,0.0268,0.0092,0.0044
footfk_L,0.0291,-0.0263,0.9991,0.0181
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0113,0.0221,0.0002
shinfk_R,0.9996,0.0268,-0.0089,-0.004
footfk_R,0.0288,-0.0265,-0.9991,-0.0189
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8428,0.3042,0.379,0.231
thumbfk_02_L,0.9518,0.3026,-0.0471,-0.0155
thumbfk_03_L,0.9591,0.28,-0.035,0.0238
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.0271
pinkyfk_01_L,0.7158,0.6951,-0.0667,0.0051
pinkyfk_02_L,0.6608,0.7506,-0.0002,-0.0024
pinkyfk_03_L,0.7694,0.6364,0.0414,0.0369
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9938,-0.0,0.0784,-0.0784
indexfk_01_L,0.7079,0.7062,-0.0153,-0.0026
indexfk_02_L,0.7098,0.7028,-0.0467,-0.0084
indexfk_03_L,0.7642,0.644,0.0175,0.0305
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0078,-0.0078
middlefk_01_L,0.7132,0.7006,-0.0222,0.0043
middlefk_02_L,0.6733,0.7388,-0.0301,0.0078
middlefk_03_L,0.7798,0.6247,-0.0083,0.0413
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,-0.0,-0.0216,0.0144
ringfk_01_L,0.7513,0.659,-0.0351,0.0063
ringfk_02_L,0.6754,0.7374,0.0003,-0.0105
ringfk_03_L,0.7314,0.6785,-0.033,0.0604
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8428,0.3042,-0.379,-0.231
thumbfk_02_R,0.9518,0.3026,0.0471,0.0155
thumbfk_03_R,0.9591,0.28,0.035,-0.0238
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,-0.0,-0.0,-0.0271
pinkyfk_01_R,0.7158,0.6951,0.0667,-0.0051
pinkyfk_02_R,0.6608,0.7506,0.0002,0.0024
pinkyfk_03_R,0.7694,0.6364,-0.0414,-0.0369
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9938,-0.0,-0.0784,0.0784
indexfk_01_R,0.7079,0.7062,0.0153,0.0026
indexfk_02_R,0.7098,0.7028,0.0467,0.0084
indexfk_03_R,0.7642,0.644,-0.0175,-0.0305
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0078,0.0078
middlefk_01_R,0.7132,0.7006,0.0222,-0.0043
middlefk_02_R,0.6733,0.7388,0.0301,-0.0078
middlefk_03_R,0.7798,0.6247,0.0083,-0.0413
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0216,-0.0144
ringfk_01_R,0.7513,0.659,0.0351,-0.0063
ringfk_02_R,0.6754,0.7374,-0.0003,0.0105
ringfk_03_R,0.7314,0.6785,0.033,-0.0604
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9903,0.0687,0.0551,-0.1076
collar_L,0.9883,0.1295,-0.0425,0.0683
neckfk,0.9999,-0.0064,0.0099,-0.0024
headfk,0.9998,-0.0116,0.017,-0.0082
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0029,-0.0059,-0.0
chest_3,0.9998,-0.0153,-0.0111,-0.0077
chest_2,1.0,0.0039,-0.0079,0.0009
chest_1,0.9998,0.0087,-0.0175,0.002
hip,1.0,-0.0003,-0.0021,-0.0004
