motion_name,SG ASL Devour 2H 2026-6-28 metarig A
pose_name,SG ASL Devour 2H 2026-6-28 metarig A P1
export_date,2026-6-28
current_frame,35
frame_budget,35

bone_name,w,x,y,z
spine,0.9918,-0.1279,-0.0006,0.0001
spine.001,0.9978,0.0665,-0.0018,-0.0003
spine.002,0.9968,0.0782,0.0167,0.0012
spine.003,0.9995,-0.0229,-0.0216,-0.008
spine.004,0.9801,-0.1985,-0.0006,-0.0
spine.005,0.9954,0.0959,0.0023,0.0004
spine.006,0.9957,0.092,0.005,0.0
face,1.0,0.0,-0.0,-0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,0.0,0.0,-0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,0.0,0.0,0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,-0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,0.0,-0.0,-0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,0.0,-0.0,-0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,-0.0,0.0,-0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,-0.0,-0.0,0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,-0.0,-0.0,0.0
lip.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,0.0,-0.0,0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,0.0,-0.0
lid.T.L.002,1.0,0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,-0.0,-0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,-0.0,-0.0
brow.B.R,1.0,0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,-0.0
lid.T.R.003,1.0,0.0,-0.0,0.0
lid.B.R,1.0,0.0,0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,0.0,0.0,-0.0
lid.B.R.003,1.0,-0.0,0.0,-0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,0.0,0.0
forehead.L.002,1.0,0.0,-0.0,-0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,0.0,0.0,-0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,-0.0,-0.0,-0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,0.0,0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,-0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,-0.0,0.0,-0.0
forehead.R.001,1.0,0.0,-0.0,-0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,-0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,-0.0,0.0,-0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,-0.0
cheek.B.R.001,1.0,-0.0,0.0,-0.0
brow.T.R,1.0,0.0,0.0,0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,-0.0,0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,-0.0
eye.L,1.0,-0.0,-0.0,-0.0
eye.R,1.0,-0.0,-0.0,-0.0
cheek.T.L,1.0,0.0,-0.0,0.0
cheek.T.L.001,1.0,0.0,0.0,-0.0
nose.L,1.0,0.0,0.0,-0.0
nose.L.001,1.0,0.0,0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,-0.0,-0.0,0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,0.0,0.0,0.0
teeth.B,1.0,0.0,0.0,0.0
tongue,1.0,0.0,-0.0,-0.0
tongue.001,1.0,0.0,-0.0,0.0
tongue.002,1.0,0.0,-0.0,0.0
shoulder.L,1.0,-0.0,0.0,0.0
upper_arm.L,0.5981,0.5653,0.5335,0.1951
forearm.L,0.4152,-0.132,0.1361,0.8897
hand.L,-0.2815,-0.0404,-0.9494,0.1334
palm.01.L,0.9215,0.0476,0.3853,0.0103
f_index.01.L,0.9757,0.2091,-0.0399,0.0526
f_index.02.L,0.998,0.0622,0.0148,0.0003
f_index.03.L,0.9971,-0.0675,0.0093,0.0324
thumb.01.L,0.8556,-0.188,-0.4822,-0.0052
thumb.02.L,0.9892,0.0153,-0.1374,0.0479
thumb.03.L,0.9995,-0.0226,-0.0067,0.0197
palm.02.L,0.9191,0.0521,0.3906,0.0024
f_middle.01.L,0.9913,0.1228,-0.0469,-0.0005
f_middle.02.L,0.999,0.0328,0.0285,-0.0062
f_middle.03.L,0.9983,-0.0518,0.0202,0.02
palm.03.L,0.9157,0.0052,0.4017,0.0026
f_ring.01.L,0.9983,0.0189,0.0475,0.0295
f_ring.02.L,0.9947,0.0989,0.0242,0.0168
f_ring.03.L,0.989,-0.1369,0.042,0.0358
palm.04.L,0.911,-0.0772,0.4026,-0.045
f_pinky.01.L,0.9771,-0.1321,0.056,0.1573
f_pinky.02.L,0.9935,0.1124,0.0019,0.015
f_pinky.03.L,0.9971,-0.0714,0.0204,0.0143
shoulder.R,1.0,-0.0,0.0,-0.0
upper_arm.R,0.5462,0.6087,-0.5584,-0.1392
forearm.R,0.4336,-0.1343,-0.1314,-0.8813
hand.R,-0.3026,0.0252,0.9372,-0.1713
palm.01.R,0.9118,0.0757,-0.3959,0.0779
f_index.01.R,0.9765,0.2043,0.0386,-0.0571
f_index.02.R,0.9987,0.0495,-0.0148,-0.0005
f_index.03.R,0.997,-0.0703,-0.0092,-0.0324
thumb.01.R,0.8699,-0.155,0.4677,-0.0239
thumb.02.R,0.9887,0.0175,0.1402,-0.0498
thumb.03.R,0.9981,0.0156,0.0395,-0.0438
palm.02.R,0.9082,0.0775,-0.4019,0.087
f_middle.01.R,0.9893,0.1387,0.0185,-0.0424
f_middle.02.R,0.9995,0.0118,-0.028,0.005
f_middle.03.R,0.9968,-0.0753,-0.0197,-0.0205
palm.03.R,0.9048,0.0268,-0.4162,0.0862
f_ring.01.R,0.9955,0.0643,-0.0424,-0.0543
f_ring.02.R,0.9947,0.0989,-0.0242,-0.0168
f_ring.03.R,0.989,-0.1369,-0.042,-0.0358
palm.04.R,0.8977,-0.0491,-0.4209,0.1207
f_pinky.01.R,0.9861,-0.0915,-0.0544,-0.1274
f_pinky.02.R,0.9933,0.1143,-0.0019,-0.015
f_pinky.03.R,0.9947,-0.0995,-0.02,-0.0149
breast.L,1.0,0.0,-0.0,-0.0
breast.R,1.0,0.0,-0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,0.0012,-0.0027,-0.984,-0.1784
shin.L,0.9952,-0.0903,-0.037,0.0033
foot.L,0.4574,0.8885,0.0365,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,0.0
thigh.R,0.0024,-0.0025,0.984,0.1782
shin.R,0.9953,-0.09,0.0363,-0.0032
foot.R,0.4576,0.8884,-0.037,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
