motion_name,SG ASL Devout 2026-6-28 metarig A
pose_name,SG ASL Devout 2026-6-28 metarig A P2
export_date,2026-6-28
current_frame,61
frame_budget,19

bone_name,w,x,y,z
spine,0.9916,-0.1294,-0.0039,0.0011
spine.001,0.9977,0.068,-0.0022,-0.0059
spine.002,0.9967,0.0791,0.0165,-0.0013
spine.003,0.9995,-0.0222,-0.0217,-0.0104
spine.004,0.9802,-0.198,-0.0011,-0.0018
spine.005,0.9924,0.1224,-0.005,0.0129
spine.006,0.9895,0.1423,-0.0036,0.0248
face,1.0,-0.0,-0.0,-0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,0.0,0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,-0.0,0.0,-0.0
lip.T.L,1.0,0.0,-0.0,-0.0
lip.T.L.001,1.0,-0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,-0.0,0.0,-0.0
jaw,1.0,-0.0,-0.0,0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,0.0,0.0,-0.0
ear.L.001,1.0,0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,0.0,0.0,0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,-0.0,0.0,0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,0.0,0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,-0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,0.0,0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,0.0
lid.T.L.003,1.0,-0.0,-0.0,-0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,-0.0,-0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,-0.0,0.0,0.0
brow.B.R,1.0,-0.0,-0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,0.0
brow.B.R.002,1.0,-0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,0.0,-0.0
forehead.L.002,1.0,0.0,-0.0,-0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,0.0,0.0,0.0
chin.L,1.0,0.0,-0.0,-0.0
cheek.B.L,1.0,-0.0,-0.0,-0.0
cheek.B.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,0.0,0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,-0.0,0.0,-0.0
forehead.R.002,1.0,0.0,-0.0,-0.0
temple.R,1.0,0.0,0.0,-0.0
jaw.R,1.0,0.0,-0.0,-0.0
jaw.R.001,1.0,-0.0,-0.0,-0.0
chin.R,1.0,0.0,-0.0,-0.0
cheek.B.R,1.0,-0.0,0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,-0.0,0.0
brow.T.R.002,1.0,-0.0,0.0,0.0
brow.T.R.003,1.0,0.0,-0.0,0.0
eye.L,1.0,0.0,-0.0,-0.0
eye.R,1.0,0.0,-0.0,-0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,0.0,0.0,-0.0
nose.L.001,1.0,-0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,0.0,-0.0,0.0
nose.R.001,1.0,0.0,-0.0,0.0
teeth.T,1.0,0.0,0.0,-0.0
teeth.B,1.0,0.0,0.0,-0.0
tongue,1.0,0.0,-0.0,0.0
tongue.001,1.0,-0.0,0.0,0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.5784,0.4998,0.6434,0.0411
forearm.L,0.6801,-0.1622,0.0797,0.7105
hand.L,0.1927,0.6538,-0.717,0.1464
palm.01.L,0.819,-0.1768,-0.0132,-0.5457
f_index.01.L,0.9914,-0.0647,-0.0849,-0.0762
f_index.02.L,0.9688,0.247,0.0187,0.0119
f_index.03.L,0.993,0.1128,0.015,0.0306
thumb.01.L,0.9312,-0.1666,0.1051,0.3066
thumb.02.L,0.9959,-0.0571,-0.0377,0.0596
thumb.03.L,0.9943,0.0494,-0.0686,0.0652
palm.02.L,0.8117,-0.1368,-0.0219,-0.5674
f_middle.01.L,0.9972,-0.0473,-0.0525,-0.025
f_middle.02.L,0.9889,0.1465,-0.0226,0.0103
f_middle.03.L,0.9951,0.0976,0.0128,-0.0035
palm.03.L,0.8076,-0.1392,-0.0218,-0.5727
f_ring.01.L,0.9975,-0.0643,0.0107,0.0271
f_ring.02.L,0.9826,0.1836,-0.0274,0.0096
f_ring.03.L,0.9966,0.0606,0.0482,0.0269
palm.04.L,0.7818,-0.126,-0.0511,-0.6085
f_pinky.01.L,0.9665,-0.1388,0.1123,0.1843
f_pinky.02.L,0.9781,0.1989,-0.0605,-0.0121
f_pinky.03.L,0.9906,0.1343,0.0229,0.0099
shoulder.R,1.0,-0.0,-0.0,-0.0
upper_arm.R,0.3477,0.5438,-0.7607,0.0688
forearm.R,0.5416,-0.1509,-0.1025,-0.8206
hand.R,-0.4217,-0.0496,0.9053,-0.0129
palm.01.R,0.8851,-0.0796,-0.4397,-0.1301
f_index.01.R,0.9972,0.0529,0.0483,-0.0217
f_index.02.R,0.8944,0.4384,-0.0682,-0.0577
f_index.03.R,0.938,0.3372,-0.0631,-0.0495
thumb.01.R,0.9682,0.1328,0.0209,-0.2111
thumb.02.R,0.9969,0.056,0.0482,0.0258
thumb.03.R,0.9785,0.1976,0.0563,0.0179
palm.02.R,0.8831,-0.0888,-0.4478,-0.108
f_middle.01.R,0.9992,0.0342,0.0203,-0.0039
f_middle.02.R,0.9487,0.3036,-0.0872,-0.0122
f_middle.03.R,0.9369,0.3484,-0.0264,-0.0102
palm.03.R,0.8842,-0.1365,-0.4306,-0.1188
f_ring.01.R,0.9438,0.3265,-0.0106,-0.0498
f_ring.02.R,0.7578,0.6517,-0.0284,0.0136
f_ring.03.R,0.8631,0.4976,-0.0318,-0.0799
palm.04.R,0.8758,-0.2185,-0.422,-0.0845
f_pinky.01.R,0.9404,0.2995,-0.0701,-0.1447
f_pinky.02.R,0.73,0.6831,-0.0105,0.0175
f_pinky.03.R,0.7125,0.6942,0.0393,-0.0948
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,-0.0,0.0,0.0
pelvis.R,1.0,-0.0,-0.0,-0.0
thigh.L,-0.0023,-0.0027,-0.9837,-0.18
shin.L,0.9953,-0.09,-0.0368,0.0032
foot.L,0.4575,0.8884,0.0368,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,0.0,0.0
thigh.R,0.0059,-0.0025,0.9838,0.1792
shin.R,0.9953,-0.09,0.0365,-0.0033
foot.R,0.4576,0.8884,-0.0369,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,0.0,-0.0
