motion_name,SG ASL Diagnosis 2026-6-30
pose_name,SG ASL Diagnosis 2026-6-30 P1
export_date,2026-6-30
current_frame,30
frame_budget,30

bone_name,w,x,y,z
bicepfk_L,0.8732,0.4841,-0.0135,0.0544
forearmfk_L,0.3831,-0.0593,-0.0249,0.9215
handfk_L,0.7136,-0.2044,0.6666,0.0681
bicepfk_R,0.6867,0.677,-0.1525,-0.2164
forearmfk_R,0.4344,-0.0591,0.0342,-0.8981
handfk_R,0.8913,0.2865,0.1164,0.3315
thighfk_L,0.9996,-0.0119,-0.0257,0.0001
shinfk_L,0.9996,0.027,0.009,0.0042
footfk_L,0.0288,-0.0264,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0117,0.0228,-0.0002
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0189
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9936,-0.0051,0.0526,-0.0997
thumbfk_02_L,0.9927,0.0891,-0.0805,-0.0147
thumbfk_03_L,0.9975,-0.0475,0.0431,-0.0293
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0018
pinkyfk_01_L,0.9914,-0.0448,-0.1026,-0.0673
pinkyfk_02_L,1.0,0.0065,0.0,-0.0001
pinkyfk_03_L,1.0,-0.0031,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9966,-0.0236,-0.0053,0.0791
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0001,-0.0001
middlefk_01_L,0.9984,0.0103,-0.0551,0.0094
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0002,0.0001
ringfk_01_L,0.9909,0.0117,-0.1249,-0.0483
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,0.0,0.0,0.0
thumbfk_02_R,1.0,0.0,0.0,0.0
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0165
pinkyfk_01_R,0.8898,0.4482,0.0851,-0.0108
pinkyfk_02_R,0.7111,0.703,-0.0,0.0072
pinkyfk_03_R,0.8236,0.5671,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0035,0.0035
indexfk_01_R,0.9987,0.0354,-0.0184,-0.032
indexfk_02_R,0.9996,-0.027,0.0,-0.0
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0,0.0
middlefk_01_R,1.0,0.0,0.0,0.0
middlefk_02_R,1.0,0.0,0.0,0.0
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0166,-0.0111
ringfk_01_R,0.8478,0.5218,0.0877,0.0354
ringfk_02_R,0.6167,0.7872,-0.0,-0.0001
ringfk_03_R,0.851,0.5251,0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.99,0.0337,0.1175,-0.0704
collar_L,0.9967,0.0402,-0.0283,0.0648
neckfk,1.0,-0.0,-0.0003,0.0002
headfk,1.0,-0.0001,-0.0005,0.0008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0191,-0.0029,-0.0076
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0003,0.0005,-0.0004
hip,1.0,-0.0005,-0.0014,0.0
