motion_name,SG ASL Diagnosis Other 2026-6-29
pose_name,SG ASL Diagnosis Other 2026-6-29 P3
export_date,2026-6-29
current_frame,80
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.7755,0.554,-0.0599,0.2968
forearmfk_L,0.6382,-0.0462,-0.0432,0.7673
handfk_L,0.7096,-0.0206,0.6985,0.09
bicepfk_R,0.8236,0.5511,-0.0335,-0.1301
forearmfk_R,0.5621,-0.0491,0.0387,-0.8247
handfk_R,0.8153,-0.0347,-0.5764,0.0426
thighfk_L,0.9997,-0.0128,-0.0198,0.0004
shinfk_L,0.9996,0.0271,0.0088,0.0042
footfk_L,0.0289,-0.0262,0.9991,0.0189
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0137,0.0287,0.0001
shinfk_R,0.9996,0.0271,-0.0092,-0.0042
footfk_R,0.0288,-0.0268,-0.9991,-0.0185
toefk_R,1.0,-0.0005,-0.0014,-0.0
thumbfk_01_L,0.8102,0.4073,0.4082,0.1055
thumbfk_02_L,0.9792,0.1824,-0.0345,-0.0818
thumbfk_03_L,0.9801,0.1863,-0.032,-0.0604
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0219
pinkyfk_01_L,0.8072,0.5755,-0.117,0.0598
pinkyfk_02_L,0.7071,0.7065,-0.0,-0.0297
pinkyfk_03_L,0.646,0.7541,-0.0724,0.0943
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0012,-0.0012
indexfk_01_L,0.9962,0.0126,0.0052,0.0865
indexfk_02_L,0.983,0.1836,-0.0,-0.0
indexfk_03_L,0.9926,0.1212,-0.0001,-0.0004
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0004,-0.0004
middlefk_01_L,0.9971,0.0363,-0.0674,0.0047
middlefk_02_L,0.9709,0.2372,-0.0273,-0.0177
middlefk_03_L,0.999,0.0453,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0176,0.0118
ringfk_01_L,0.8318,0.5521,-0.0574,0.0042
ringfk_02_L,0.7071,0.707,0.0,-0.0135
ringfk_03_L,0.7773,0.624,-0.035,0.0727
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8102,0.4073,-0.4082,-0.1055
thumbfk_02_R,0.9792,0.1824,0.0345,0.0818
thumbfk_03_R,0.9801,0.1863,0.032,0.0604
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0219
pinkyfk_01_R,0.8072,0.5755,0.117,-0.0598
pinkyfk_02_R,0.7071,0.7065,0.0,0.0297
pinkyfk_03_R,0.646,0.7541,0.0724,-0.0943
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0012,0.0012
indexfk_01_R,0.9962,0.0126,-0.0052,-0.0865
indexfk_02_R,0.983,0.1836,0.0,0.0
indexfk_03_R,0.9926,0.1212,0.0001,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0004,0.0004
middlefk_01_R,0.9971,0.0363,0.0674,-0.0047
middlefk_02_R,0.9709,0.2372,0.0273,0.0177
middlefk_03_R,0.999,0.0453,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0176,-0.0118
ringfk_01_R,0.8318,0.5521,0.0574,-0.0042
ringfk_02_R,0.7071,0.707,-0.0,0.0135
ringfk_03_R,0.7773,0.624,0.035,-0.0727
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9947,0.011,0.0999,-0.0208
collar_L,0.9991,-0.0039,-0.0023,0.042
neckfk,1.0,-0.0017,-0.0015,0.0017
headfk,1.0,-0.0031,-0.0022,0.0036
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0008,0.0012,-0.0008
chest_3,0.9998,-0.0187,-0.0013,-0.0083
chest_2,1.0,0.0006,0.0018,-0.0011
chest_1,1.0,0.0029,0.0044,-0.0025
hip,1.0,-0.0021,0.0045,-0.0002
