motion_name,SG ASL Diagnosis Other 2026-6-29 metarig T
pose_name,SG ASL Diagnosis Other 2026-6-29 metarig T P2
export_date,2026-6-29
current_frame,61
frame_budget,19

bone_name,w,x,y,z
spine,0.9921,-0.1256,-0.0004,-0.0001
spine.001,0.9978,0.0665,0.0046,0.0
spine.002,0.9968,0.0777,0.0195,0.0013
spine.003,0.9995,-0.0236,-0.0188,-0.0077
spine.004,0.9801,-0.1987,0.0011,-0.0004
spine.005,0.9957,0.0925,-0.0003,0.0005
spine.006,0.9963,0.0864,0.0004,0.0012
face,1.0,-0.0,0.0,-0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,-0.0,-0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,-0.0,0.0,-0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,-0.0,-0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,-0.0,-0.0
ear.L,1.0,-0.0,0.0,-0.0
ear.L.001,1.0,0.0,-0.0,0.0
ear.L.002,1.0,-0.0,-0.0,-0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,-0.0,-0.0,-0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,0.0,-0.0,0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,0.0,-0.0,-0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,0.0,-0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,-0.0,0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,0.0,0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,-0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,0.0
lid.B.L.002,1.0,0.0,-0.0,0.0
lid.B.L.003,1.0,0.0,-0.0,-0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,-0.0
lid.T.R,1.0,0.0,-0.0,-0.0
lid.T.R.001,1.0,-0.0,-0.0,0.0
lid.T.R.002,1.0,0.0,-0.0,-0.0
lid.T.R.003,1.0,0.0,0.0,0.0
lid.B.R,1.0,0.0,0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,0.0,-0.0,-0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,-0.0,-0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,-0.0,0.0,0.0
brow.T.L.002,1.0,0.0,0.0,-0.0
brow.T.L.003,1.0,0.0,0.0,0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,0.0,-0.0,0.0
forehead.R.002,1.0,0.0,-0.0,0.0
temple.R,1.0,0.0,-0.0,-0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,-0.0,0.0,0.0
cheek.B.R,1.0,-0.0,0.0,0.0
cheek.B.R.001,1.0,-0.0,0.0,0.0
brow.T.R,1.0,0.0,-0.0,0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,0.0,-0.0,0.0
brow.T.R.003,1.0,0.0,0.0,-0.0
eye.L,1.0,-0.0,0.0,-0.0
eye.R,1.0,-0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,-0.0,-0.0,0.0
nose.L,1.0,-0.0,-0.0,-0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,-0.0,0.0,0.0
teeth.B,1.0,-0.0,0.0,0.0
tongue,1.0,0.0,-0.0,-0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,0.0,-0.0,0.0
shoulder.L,1.0,-0.0,0.0,0.0
upper_arm.L,0.617,0.5215,0.5789,0.1105
forearm.L,0.66,-0.1588,0.0855,0.7293
hand.L,0.5483,-0.2577,0.7727,0.1893
palm.01.L,0.5585,0.0431,-0.8283,0.0141
f_index.01.L,0.9795,0.1685,0.0143,0.1093
f_index.02.L,0.9737,0.2258,-0.0144,0.0258
f_index.03.L,0.967,0.2539,0.0031,-0.023
thumb.01.L,0.9721,0.112,-0.0336,0.2032
thumb.02.L,0.9969,0.0554,-0.0482,-0.0277
thumb.03.L,0.9782,0.1988,-0.0576,-0.0149
palm.02.L,0.559,0.138,-0.817,0.0323
f_middle.01.L,0.9895,0.1331,0.0334,0.0443
f_middle.02.L,0.9422,0.3332,0.0002,0.0342
f_middle.03.L,0.9039,0.4267,0.0272,0.0081
palm.03.L,0.5559,0.2472,-0.7935,0.0118
f_ring.01.L,0.9381,0.3438,0.0046,0.043
f_ring.02.L,0.745,0.6662,0.0287,-0.0142
f_ring.03.L,0.8423,0.5327,0.0292,0.077
palm.04.L,0.576,0.3812,-0.7231,0.0034
f_pinky.01.L,0.9187,0.3473,0.1029,0.1572
f_pinky.02.L,0.6454,0.7634,0.0142,-0.0199
f_pinky.03.L,0.6347,0.7664,-0.0505,0.0851
shoulder.R,1.0,-0.0,-0.0,0.0
upper_arm.R,0.6892,0.4022,-0.6024,-0.0187
forearm.R,0.5417,-0.1443,-0.1065,-0.8212
hand.R,0.7613,-0.2427,-0.6005,0.0306
palm.01.R,0.6626,-0.0758,0.7446,-0.0269
f_index.01.R,0.9752,0.207,0.01,-0.0776
f_index.02.R,0.9292,0.3686,0.0187,-0.019
f_index.03.R,0.9255,0.3775,-0.0131,0.0274
thumb.01.R,0.9729,0.1067,0.0341,-0.2024
thumb.02.R,0.9969,0.0554,0.0483,0.0276
thumb.03.R,0.9783,0.1986,0.0575,0.0151
palm.02.R,0.6652,0.0143,0.7451,-0.0468
f_middle.01.R,0.9802,0.1913,-0.0227,-0.0454
f_middle.02.R,0.8976,0.44,0.0052,-0.0248
f_middle.03.R,0.8458,0.5328,-0.028,-0.0047
palm.03.R,0.6627,0.1162,0.7391,-0.0323
f_ring.01.R,0.938,0.344,-0.0045,-0.0429
f_ring.02.R,0.7454,0.6658,-0.0287,0.0142
f_ring.03.R,0.8426,0.5322,-0.0293,-0.077
palm.04.R,0.679,0.2067,0.7032,-0.0416
f_pinky.01.R,0.9283,0.3407,-0.0631,-0.1351
f_pinky.02.R,0.6455,0.7634,-0.0142,0.0199
f_pinky.03.R,0.635,0.7662,0.0505,-0.0851
breast.L,1.0,-0.0,0.0,-0.0
breast.R,1.0,-0.0,0.0,-0.0
pelvis.L,1.0,0.0,0.0,-0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0013,-0.0029,-0.9843,-0.1762
shin.L,0.9953,-0.0899,-0.0364,0.0032
foot.L,0.4571,0.8887,0.0372,-0.0032
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,0.0022,-0.0023,0.9844,0.1761
shin.R,0.9953,-0.0899,0.0368,-0.0032
foot.R,0.4573,0.8886,-0.0366,0.0028
toe.R,0.9989,-0.0352,0.0311,-0.0047
heel.02.R,1.0,-0.0,0.0,0.0
