motion_name,SG ASL Diagnosis Self 2026-6-29
pose_name,SG ASL Diagnosis Self 2026-6-29 P6
export_date,2026-6-29
current_frame,95
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.8538,0.448,0.2079,-0.1646
forearmfk_L,0.6166,-0.0492,-0.0394,0.7848
handfk_L,0.855,0.3742,-0.2932,0.2074
bicepfk_R,0.8409,0.4577,-0.2383,0.163
forearmfk_R,0.544,-0.0529,0.0344,-0.8367
handfk_R,0.911,0.321,0.22,-0.1369
thighfk_L,0.9997,-0.0085,-0.0222,-0.0002
shinfk_L,0.9996,0.027,0.0085,0.0042
footfk_L,0.0288,-0.0267,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0089,0.0263,-0.0007
shinfk_R,0.9996,0.027,-0.0093,-0.0043
footfk_R,0.029,-0.0263,-0.9991,-0.0177
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8125,0.4045,0.4062,0.106
thumbfk_02_L,0.9788,0.1835,-0.0368,-0.0831
thumbfk_03_L,0.9789,0.193,-0.0372,-0.0551
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0235
pinkyfk_01_L,0.7805,0.6103,-0.1241,0.0545
pinkyfk_02_L,0.6203,0.7837,0.0025,-0.0303
pinkyfk_03_L,0.5615,0.8189,-0.0819,0.0856
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9992,0.0,0.0276,-0.0276
indexfk_01_L,0.9573,0.2751,0.055,0.0693
indexfk_02_L,0.9498,0.3103,-0.0311,0.0252
indexfk_03_L,0.9304,0.3626,-0.0102,-0.0522
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0032,-0.0032
middlefk_01_L,0.9471,0.3178,0.0437,0.0117
middlefk_02_L,0.8932,0.4462,-0.044,0.035
middlefk_03_L,0.8776,0.4795,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0182,0.0121
ringfk_01_L,0.8205,0.568,-0.0643,-0.0024
ringfk_02_L,0.6932,0.7207,0.0003,-0.0134
ringfk_03_L,0.748,0.6587,-0.0378,0.0711
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8116,0.4058,-0.4065,-0.1068
thumbfk_02_R,0.9787,0.1838,0.037,0.0832
thumbfk_03_R,0.9789,0.1932,0.0373,0.055
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0235
pinkyfk_01_R,0.7807,0.6099,0.1249,-0.0539
pinkyfk_02_R,0.6189,0.7849,-0.0025,0.0303
pinkyfk_03_R,0.5616,0.8189,0.0819,-0.0855
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.999,-0.0,-0.0316,0.0316
indexfk_01_R,0.9494,0.311,-0.0338,-0.0276
indexfk_02_R,0.8902,0.4539,0.0346,-0.0201
indexfk_03_R,0.8712,0.488,0.0033,0.0531
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0039,0.0039
middlefk_01_R,0.9263,0.3755,-0.0305,-0.0101
middlefk_02_R,0.8311,0.5532,0.0479,-0.0294
middlefk_03_R,0.8096,0.587,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0181,-0.0121
ringfk_01_R,0.8219,0.566,0.0642,0.0029
ringfk_02_R,0.6927,0.7211,-0.0003,0.0134
ringfk_03_R,0.7499,0.6566,0.0375,-0.0712
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9982,0.0541,-0.003,0.0262
collar_L,0.9981,0.0557,0.0099,-0.0226
neckfk,1.0,-0.0031,-0.0029,0.001
headfk,1.0,-0.0061,-0.0049,0.0029
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0001,0.0009,0.0005
chest_3,0.9998,-0.0194,-0.0021,-0.0067
chest_2,1.0,-0.0001,0.0012,0.0005
chest_1,1.0,-0.0002,0.0027,0.0012
hip,1.0,0.0028,0.0021,0.0005
