motion_name,SG ASL Diagonal 2026-6-30
pose_name,SG ASL Diagonal 2026-6-30 P1
export_date,2026-6-30
current_frame,26
frame_budget,26

bone_name,w,x,y,z
bicepfk_L,0.7414,0.5707,0.3222,0.1441
forearmfk_L,0.8586,-0.0309,-0.0531,0.509
handfk_L,0.9068,0.2554,0.326,-0.0786
bicepfk_R,0.7975,0.543,-0.2304,-0.1266
forearmfk_R,0.7033,-0.042,0.049,-0.708
handfk_R,0.9659,-0.1308,-0.2127,-0.0691
thighfk_L,0.9997,-0.0109,-0.0236,-0.0002
shinfk_L,0.9996,0.027,0.0091,0.0041
footfk_L,0.029,-0.0263,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0111,0.0249,-0.0006
shinfk_R,0.9996,0.0271,-0.0083,-0.0042
footfk_R,0.0288,-0.0266,-0.9991,-0.0181
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7921,0.2651,-0.542,-0.0925
thumbfk_02_R,0.9785,0.1413,0.1261,0.0822
thumbfk_03_R,0.8824,0.3993,0.0935,0.2305
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0023
pinkyfk_01_R,0.9969,0.066,0.0197,0.0393
pinkyfk_02_R,0.9996,0.0231,-0.0111,0.0104
pinkyfk_03_R,0.9993,0.0133,-0.0029,-0.0347
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0032,0.0032
indexfk_01_R,0.9478,0.0146,-0.3163,0.0382
indexfk_02_R,0.9994,0.0337,-0.0123,0.0022
indexfk_03_R,1.0,0.0041,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9954,-0.0042,0.0707,0.0644
middlefk_02_R,0.9995,0.0231,0.0193,-0.0059
middlefk_03_R,1.0,-0.001,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.002,-0.0013
ringfk_01_R,0.9977,0.0664,-0.0006,0.0164
ringfk_02_R,0.9992,0.0363,-0.0056,0.0144
ringfk_03_R,1.0,0.0027,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9965,0.0791,0.0274,-0.0061
collar_L,0.9974,0.0644,0.0151,0.0291
neckfk,1.0,-0.0009,0.0,0.0004
headfk,1.0,-0.001,0.0002,0.0008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0191,-0.0029,-0.0073
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,-0.0004,0.0004,-0.0004
hip,1.0,0.0003,0.0007,0.0005
