motion_name,SG ASL Diagonal Alt Var 2026-6-30
pose_name,SG ASL Diagonal Alt Var 2026-6-30 P1
export_date,2026-6-30
current_frame,34
frame_budget,34

bone_name,w,x,y,z
bicepfk_L,0.8512,0.5194,0.0688,0.0316
forearmfk_L,0.5251,-0.0565,-0.0361,0.8484
handfk_L,0.66,-0.4071,0.6075,0.1717
bicepfk_R,0.7596,0.5444,0.0059,-0.3557
forearmfk_R,0.3815,-0.0502,0.0386,-0.9222
handfk_R,0.8178,-0.2909,0.2147,0.4478
thighfk_L,0.9996,-0.0133,-0.0253,0.0005
shinfk_L,0.9996,0.0271,0.0085,0.0043
footfk_L,0.0288,-0.0267,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.013,0.0232,0.0003
shinfk_R,0.9996,0.027,-0.0092,-0.0042
footfk_R,0.029,-0.0263,-0.9991,-0.019
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9648,0.05,0.1761,0.189
thumbfk_02_L,0.9983,0.0131,-0.0258,0.0506
thumbfk_03_L,0.9994,-0.0241,0.0219,-0.0149
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0203
pinkyfk_01_L,0.8337,0.5459,-0.0767,-0.0332
pinkyfk_02_L,0.7188,0.6952,0.0001,-0.0026
pinkyfk_03_L,0.8039,0.5931,0.034,0.0278
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9953,-0.0288,-0.0407,0.0834
indexfk_02_L,1.0,0.0018,0.0075,-0.0015
indexfk_03_L,0.9993,-0.0372,0.0065,0.0054
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.007,-0.007
middlefk_01_L,0.7649,0.6404,-0.0539,-0.0437
middlefk_02_L,0.6774,0.7355,-0.0114,0.0051
middlefk_03_L,0.7593,0.6505,-0.0131,-0.0045
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0189,0.0126
ringfk_01_L,0.8079,0.5877,-0.033,-0.0275
ringfk_02_L,0.6707,0.7416,-0.0,-0.0083
ringfk_03_L,0.8161,0.5754,-0.0203,0.0506
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9798,0.0396,-0.1917,-0.041
thumbfk_02_R,0.9916,0.0951,0.0858,0.0156
thumbfk_03_R,0.9969,-0.0533,-0.0484,0.0329
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0018
pinkyfk_01_R,0.9883,-0.0404,0.1107,0.097
pinkyfk_02_R,1.0,0.0,0.0,0.0
pinkyfk_03_R,0.9999,-0.0152,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9988,-0.0347,-0.0098,-0.0333
indexfk_02_R,1.0,0.0064,0.0,0.0
indexfk_03_R,0.9999,0.0116,0.0,0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0003,0.0003
middlefk_01_R,0.9977,0.0251,0.0617,-0.0139
middlefk_02_R,1.0,0.0019,-0.0,0.0
middlefk_03_R,0.9999,-0.0117,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,-0.0
ringfk_01_R,0.9913,0.0037,0.13,0.0219
ringfk_02_R,0.9999,0.013,0.0,-0.0
ringfk_03_R,0.9994,-0.0357,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9947,0.0437,0.0917,0.0131
collar_L,0.9941,0.0588,0.0049,0.0907
neckfk,1.0,-0.0,0.0014,-0.0005
headfk,1.0,-0.0,0.0024,-0.0015
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0192,-0.0033,-0.0078
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0005,-0.0002,-0.0006
hip,1.0,-0.002,-0.0011,-0.0004
