motion_name,SG ASL Diagonal Alt Var 2026-6-30 metarig A
pose_name,SG ASL Diagonal Alt Var 2026-6-30 metarig A P2
export_date,2026-6-30
current_frame,51
frame_budget,17

bone_name,w,x,y,z
spine,0.9916,-0.129,-0.0034,-0.0005
spine.001,0.9979,0.0645,-0.0003,0.0006
spine.002,0.9968,0.0775,0.0175,0.0014
spine.003,0.9995,-0.0239,-0.0211,-0.0076
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.9952,0.0976,0.001,-0.0008
spine.006,0.9954,0.096,0.0022,-0.0021
face,1.0,0.0,0.0,0.0
nose,1.0,-0.0,0.0,-0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,-0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,0.0,0.0,-0.0
lip.T.L,1.0,-0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,-0.0,0.0,-0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,-0.0,0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,0.0,0.0,-0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,-0.0,0.0,-0.0
ear.L.003,1.0,0.0,0.0,-0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,0.0,-0.0,0.0
lip.T.R,1.0,-0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,-0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,0.0,-0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,-0.0
lid.B.L,1.0,0.0,-0.0,-0.0
lid.B.L.001,1.0,0.0,-0.0,0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,-0.0
brow.B.R,1.0,0.0,0.0,-0.0
brow.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.R.002,1.0,-0.0,0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,0.0,-0.0,-0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,-0.0,-0.0
forehead.L,1.0,0.0,0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,0.0,0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,-0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,0.0,0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,0.0,-0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,-0.0,0.0,-0.0
brow.T.R.001,1.0,0.0,-0.0,-0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,-0.0,-0.0,0.0
eye.R,1.0,-0.0,-0.0,0.0
cheek.T.L,1.0,-0.0,-0.0,0.0
cheek.T.L.001,1.0,-0.0,0.0,0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,-0.0,-0.0,0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,-0.0,-0.0,-0.0
nose.R,1.0,0.0,-0.0,-0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,0.0,-0.0,0.0
teeth.B,1.0,0.0,-0.0,0.0
tongue,1.0,0.0,-0.0,-0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,-0.0,0.0,0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.5268,0.3727,0.7567,-0.1053
forearm.L,0.4793,-0.1372,0.1159,0.8591
hand.L,0.2778,-0.6649,0.577,0.3845
palm.01.L,0.509,0.2198,-0.7987,0.2337
f_index.01.L,0.9841,-0.14,-0.0991,0.045
f_index.02.L,0.9958,-0.088,0.026,-0.0007
f_index.03.L,0.9797,-0.1956,0.0161,0.041
thumb.01.L,0.9085,-0.1472,-0.3832,0.0782
thumb.02.L,0.9794,-0.1621,0.0052,0.1206
thumb.03.L,0.9993,-0.0047,-0.0221,0.031
palm.02.L,0.535,0.3284,-0.7407,0.2394
f_middle.01.L,0.8051,0.5915,0.0031,0.0426
f_middle.02.L,0.8146,0.5797,0.0202,-0.007
f_middle.03.L,0.8058,0.5922,0.0076,-0.003
palm.03.L,0.5213,0.43,-0.7053,0.2143
f_ring.01.L,0.8603,0.5046,0.0721,-0.0021
f_ring.02.L,0.754,0.6562,0.0285,-0.0132
f_ring.03.L,0.8709,0.4826,0.0362,0.086
palm.04.L,0.5616,0.5375,-0.5924,0.2114
f_pinky.01.L,0.8736,0.4546,0.1615,0.0642
f_pinky.02.L,0.7037,0.7103,0.012,0.0111
f_pinky.03.L,0.8388,0.537,0.0813,0.0375
shoulder.R,1.0,-0.0,0.0,-0.0
upper_arm.R,0.1792,0.6542,-0.731,0.0747
forearm.R,0.4679,-0.1349,-0.1176,-0.8655
hand.R,0.7807,-0.3302,0.485,0.2151
palm.01.R,0.9258,-0.1881,0.2813,-0.1682
f_index.01.R,0.9919,-0.1243,0.0204,-0.0173
f_index.02.R,0.9964,-0.0832,-0.0146,-0.0025
f_index.03.R,0.9935,-0.1085,-0.008,-0.033
thumb.01.R,0.8818,-0.1096,0.448,0.0992
thumb.02.R,0.9943,-0.039,0.0874,-0.046
thumb.03.R,0.9989,-0.0458,-0.0133,-0.0049
palm.02.R,0.944,-0.123,0.2687,-0.147
f_middle.01.R,0.9802,-0.1765,0.0746,-0.0495
f_middle.02.R,0.9919,-0.1201,-0.0385,-0.0122
f_middle.03.R,0.9978,-0.0598,-0.02,-0.0202
palm.03.R,0.9519,-0.0745,0.2674,-0.1302
f_ring.01.R,0.963,-0.2285,0.1075,-0.0945
f_ring.02.R,0.9969,-0.0727,-0.021,-0.0207
f_ring.03.R,0.9855,-0.1604,-0.0411,-0.0368
palm.04.R,0.9546,-0.0512,0.2748,-0.1033
f_pinky.01.R,0.9262,-0.3416,0.0171,-0.1589
f_pinky.02.R,0.9995,-0.0263,0.0004,-0.0166
f_pinky.03.R,0.9951,-0.096,-0.02,-0.0148
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,0.0,-0.0,0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,-0.0013,-0.004,-0.9837,-0.1796
shin.L,0.9953,-0.0898,-0.0366,0.0032
foot.L,0.4568,0.8888,0.0375,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,0.0
thigh.R,0.0049,-0.0012,0.9838,0.1789
shin.R,0.9953,-0.0899,0.0368,-0.0032
foot.R,0.4581,0.8881,-0.037,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,-0.0,0.0
