motion_name,SG ASL Diagonal Var 2026-6-30
pose_name,SG ASL Diagonal Var 2026-6-30 P2
export_date,2026-6-30
current_frame,72
frame_budget,32

bone_name,w,x,y,z
bicepfk_L,0.726,0.5915,0.3214,0.1409
forearmfk_L,0.8627,-0.0248,-0.0542,0.5021
handfk_L,0.9106,0.2328,0.3306,-0.0852
bicepfk_R,0.799,0.5412,-0.1903,-0.1804
forearmfk_R,0.7446,-0.0332,0.0481,-0.6649
handfk_R,0.9956,0.023,-0.0907,-0.0041
thighfk_L,0.9996,-0.0121,-0.0264,0.0002
shinfk_L,0.9996,0.027,0.0077,0.0042
footfk_L,0.0286,-0.0268,0.9991,0.0182
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0117,0.0221,-0.0002
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.029,-0.0261,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0,-0.0038,-0.0039
thumbfk_02_L,1.0,-0.001,0.0009,0.0002
thumbfk_03_L,1.0,0.0007,-0.0007,0.0005
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0006,0.0013,0.0004
pinkyfk_02_L,1.0,-0.0003,-0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0001
indexfk_01_L,1.0,0.0006,-0.0,-0.0001
indexfk_02_L,1.0,-0.0008,-0.0,-0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0004,0.0009,0.001
middlefk_02_L,1.0,-0.0007,-0.0,-0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0003,0.0016,-0.0005
ringfk_02_L,1.0,-0.0003,-0.0,-0.0
ringfk_03_L,1.0,0.0005,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8425,0.2447,-0.4785,-0.0364
thumbfk_02_R,0.9829,0.123,0.1098,0.0819
thumbfk_03_R,0.8832,0.4045,0.0947,0.2178
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0022
pinkyfk_01_R,0.9975,0.0623,0.0063,0.0335
pinkyfk_02_R,0.9997,0.0183,-0.0111,0.0104
pinkyfk_03_R,0.9992,0.0174,-0.0027,-0.0347
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.004,0.004
indexfk_01_R,0.9482,0.0201,-0.3144,0.0408
indexfk_02_R,0.9998,0.0173,-0.0122,0.0021
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9968,-0.0017,0.0631,0.049
middlefk_02_R,0.9996,0.0202,0.0193,-0.0059
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0019,-0.0013
ringfk_01_R,0.9978,0.0635,-0.015,0.0084
ringfk_02_R,0.9993,0.0333,-0.0055,0.0143
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9976,0.0265,0.0016,0.0646
collar_L,0.9986,0.0462,0.0062,0.026
neckfk,1.0,-0.0016,0.0046,0.0019
headfk,1.0,-0.0028,0.0092,0.0016
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0006,-0.0013,0.0002
chest_3,0.9998,-0.0183,-0.005,-0.0072
chest_2,1.0,0.0009,-0.0016,0.0005
chest_1,1.0,0.0021,-0.0035,0.0009
hip,1.0,-0.0007,-0.0021,-0.0
