motion_name,SG ASL Dial Phone 2026-7-1 metarig A
pose_name,SG ASL Dial Phone 2026-7-1 metarig A P4
export_date,2026-7-1
current_frame,78
frame_budget,19

bone_name,w,x,y,z
spine,0.9919,-0.1265,-0.0077,-0.0004
spine.001,0.998,0.063,-0.003,0.0011
spine.002,0.9969,0.0768,0.0162,0.0018
spine.003,0.9994,-0.0245,-0.0221,-0.0073
spine.004,0.9799,-0.1996,-0.0009,0.0005
spine.005,0.9948,0.102,-0.0014,-0.0005
spine.006,0.9946,0.1041,-0.0023,-0.0006
face,1.0,0.0,0.0,0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,0.0,-0.0,-0.0
nose.002,1.0,0.0,-0.0,-0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,-0.0
lip.T.L.001,1.0,-0.0,0.0,0.0
lip.B.L,1.0,-0.0,-0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,-0.0,-0.0,-0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,0.0,0.0,0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,-0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,-0.0,0.0,0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,-0.0
brow.B.L.001,1.0,0.0,-0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,0.0,0.0,0.0
lid.T.L.001,1.0,-0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,-0.0,0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,-0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,-0.0,-0.0
lid.B.L.003,1.0,0.0,-0.0,0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,-0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,0.0,0.0,-0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,0.0,0.0,-0.0
lid.B.R.003,1.0,-0.0,0.0,0.0
forehead.L,1.0,0.0,-0.0,-0.0
forehead.L.001,1.0,-0.0,0.0,-0.0
forehead.L.002,1.0,0.0,-0.0,-0.0
temple.L,1.0,-0.0,0.0,0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,0.0,-0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,0.0
brow.T.L,1.0,-0.0,0.0,-0.0
brow.T.L.001,1.0,0.0,0.0,-0.0
brow.T.L.002,1.0,-0.0,0.0,-0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,-0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,-0.0,-0.0,0.0
cheek.B.R,1.0,-0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,0.0,-0.0
brow.T.R.003,1.0,0.0,-0.0,-0.0
eye.L,1.0,0.0,-0.0,0.0
eye.R,1.0,0.0,-0.0,0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,0.0,0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,-0.0,0.0,-0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,-0.0,0.0,-0.0
teeth.T,1.0,-0.0,-0.0,0.0
teeth.B,1.0,-0.0,-0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,0.0,-0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,-0.0,0.0,0.0
upper_arm.L,0.2902,0.4308,0.8431,-0.139
forearm.L,0.86,-0.1765,0.0293,0.478
hand.L,0.8483,0.488,0.2055,0.0058
palm.01.L,0.7185,-0.2144,-0.5845,-0.3101
f_index.01.L,0.9936,-0.106,-0.0385,-0.0027
f_index.02.L,0.9962,-0.0855,0.0146,0.0025
f_index.03.L,0.9929,-0.114,0.0078,0.0331
thumb.01.L,0.8563,-0.1816,-0.4834,-0.0046
thumb.02.L,0.99,-0.1319,-0.0108,0.0493
thumb.03.L,0.9989,0.0044,-0.0299,0.0367
palm.02.L,0.733,-0.1156,-0.5898,-0.3186
f_middle.01.L,0.9811,-0.1899,-0.022,0.029
f_middle.02.L,0.9919,-0.1201,0.0385,0.0122
f_middle.03.L,0.9979,-0.0584,0.02,0.0202
palm.03.L,0.74,-0.029,-0.5807,-0.3381
f_ring.01.L,0.964,-0.2527,0.025,0.0791
f_ring.02.L,0.9968,-0.0742,0.0209,0.0207
f_ring.03.L,0.9861,-0.1566,0.0412,0.0367
palm.04.L,0.7298,0.0596,-0.5856,-0.3479
f_pinky.01.L,0.9288,-0.3172,0.1095,0.1571
f_pinky.02.L,0.9993,-0.032,-0.0005,0.0166
f_pinky.03.L,0.9955,-0.0915,0.0201,0.0147
shoulder.R,1.0,-0.0,0.0,-0.0
upper_arm.R,0.4914,0.3801,-0.7755,0.1122
forearm.R,0.5708,-0.1415,-0.1081,-0.8016
hand.R,0.4426,-0.6343,0.6336,-0.0172
palm.01.R,0.9175,0.0174,0.1879,-0.3502
f_index.01.R,0.992,-0.1224,0.0306,0.0001
f_index.02.R,0.8925,0.4507,-0.016,0.0065
f_index.03.R,0.9099,0.4135,-0.0237,-0.0222
thumb.01.R,0.9458,0.1178,-0.0522,-0.2982
thumb.02.R,0.9977,-0.03,0.0443,0.0406
thumb.03.R,0.9813,0.1764,0.0395,0.0659
palm.02.R,0.9332,0.0662,0.1419,-0.3235
f_middle.01.R,0.8629,0.5022,0.0299,-0.0486
f_middle.02.R,0.8146,0.5797,-0.0194,0.0068
f_middle.03.R,0.7764,0.6293,0.0018,0.034
palm.03.R,0.9292,0.1042,0.1455,-0.3235
