motion_name,SG ASL Diameter 2026-7-6
pose_name,SG ASL Diameter 2026-7-6 P4
export_date,2026-7-6
current_frame,126
frame_budget,18

bone_name,w,x,y,z
bicepfk_L,0.7681,0.5383,-0.045,0.3437
forearmfk_L,0.6478,-0.0435,-0.0364,0.7597
handfk_L,0.8239,0.2617,0.4942,-0.0923
bicepfk_R,0.8137,0.5276,0.0206,-0.2431
forearmfk_R,0.6576,-0.0487,0.0452,-0.7504
handfk_R,0.8411,-0.1104,-0.5285,0.0332
thighfk_L,0.9997,-0.0127,-0.0213,0.0002
shinfk_L,0.9996,0.0271,0.0089,0.0042
footfk_L,0.0288,-0.0266,0.9991,0.0191
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0134,0.0272,-0.0001
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0289,-0.0265,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8042,0.4069,0.4058,0.152
thumbfk_02_L,0.9895,0.1045,-0.0301,-0.0953
thumbfk_03_L,0.9914,0.1055,-0.0295,-0.0712
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.0199
pinkyfk_01_L,0.8391,0.5282,-0.1198,0.0508
pinkyfk_02_L,0.7073,0.7063,0.0,-0.0297
pinkyfk_03_L,0.646,0.754,-0.0724,0.0942
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0043,0.005,0.0015
indexfk_02_L,1.0,0.0003,0.0002,-0.0
indexfk_03_L,1.0,-0.0014,0.0002,0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0069,-0.0069
middlefk_01_L,0.7727,0.6318,-0.056,-0.0247
middlefk_02_L,0.7457,0.666,-0.0183,0.0082
middlefk_03_L,0.7435,0.6671,-0.0286,-0.037
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0181,0.012
ringfk_01_L,0.8236,0.5637,-0.0623,-0.0069
ringfk_02_L,0.7071,0.707,0.0,-0.0135
ringfk_03_L,0.7773,0.624,-0.0349,0.0727
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7408,0.4157,-0.4407,-0.29
thumbfk_02_R,0.9899,0.1019,0.028,0.094
thumbfk_03_R,0.9809,0.1589,0.0119,0.1113
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0251
pinkyfk_01_R,0.7501,0.6461,0.1171,-0.0783
pinkyfk_02_R,0.7644,0.644,-0.003,0.0293
pinkyfk_03_R,0.6511,0.7498,0.0719,-0.0939
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0009,0.0009
indexfk_01_R,0.9999,0.0086,-0.008,-0.004
indexfk_02_R,0.8671,0.4959,0.0465,0.0069
indexfk_03_R,0.9373,0.3483,-0.0065,0.0087
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0072,0.0072
middlefk_01_R,0.7486,0.66,0.0577,0.0272
middlefk_02_R,0.7413,0.6709,0.0187,-0.0076
middlefk_03_R,0.7433,0.6673,0.0284,0.0371
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0217,-0.0145
ringfk_01_R,0.7484,0.6604,0.0625,0.0008
ringfk_02_R,0.7061,0.708,-0.0005,0.0139
ringfk_03_R,0.7717,0.6308,0.0356,-0.0724
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9934,0.0319,0.1016,-0.042
collar_L,0.9979,0.0426,-0.038,0.031
neckfk,1.0,0.0037,0.0002,-0.0013
headfk,1.0,0.0069,-0.0003,-0.0026
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0008,-0.0013,0.0004
chest_3,0.9998,-0.0186,-0.0051,-0.0068
chest_2,1.0,0.0007,-0.0018,0.0008
chest_1,1.0,0.0016,-0.0042,0.002
hip,1.0,-0.0019,0.003,-0.0
