motion_name,SG ASL Diamond Other 2026-7-6
pose_name,SG ASL Diamond Other 2026-7-6 P4
export_date,2026-7-6
current_frame,99
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.8479,0.5165,0.1191,0.0027
forearmfk_L,0.5906,-0.0505,-0.038,0.8045
handfk_L,0.8491,0.309,0.401,0.151
bicepfk_R,0.9229,0.2764,0.2669,-0.0256
forearmfk_R,0.4016,-0.0566,0.0305,-0.9136
handfk_R,0.9564,-0.1647,-0.2352,0.0535
thighfk_L,0.9996,-0.0114,-0.0259,0.0001
shinfk_L,0.9996,0.027,0.0091,0.0042
footfk_L,0.0288,-0.0264,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.011,0.0226,-0.0003
shinfk_R,0.9996,0.027,-0.0086,-0.0043
footfk_R,0.0289,-0.0266,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0029,-0.0037,0.0017
thumbfk_02_L,0.9686,0.175,-0.1754,-0.0208
thumbfk_03_L,0.9989,0.0311,-0.0283,0.0192
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0035
pinkyfk_01_L,0.9914,0.1023,-0.0408,-0.0701
pinkyfk_02_L,0.9983,0.0581,0.0,-0.0006
pinkyfk_03_L,0.9998,0.0194,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,-0.0,0.0075,-0.0075
indexfk_01_L,0.9971,0.0746,0.0031,-0.0108
indexfk_02_L,0.9962,0.0874,0.0,-0.0
indexfk_03_L,0.9999,0.0167,-0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0006,-0.0006
middlefk_01_L,0.9984,0.0555,0.0054,0.0103
middlefk_02_L,0.9958,0.0913,-0.0,-0.0
middlefk_03_L,0.9997,0.0258,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0052,0.0035
ringfk_01_L,0.9825,0.1743,-0.0517,-0.0405
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0034,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.65,0.4171,-0.4372,-0.4609
thumbfk_02_R,0.9778,0.1976,0.0571,-0.0403
thumbfk_03_R,0.9165,0.3598,0.1553,0.0805
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0203
pinkyfk_01_R,0.8333,0.5414,0.0885,-0.0681
pinkyfk_02_R,0.8754,0.4831,-0.0038,0.017
pinkyfk_03_R,0.9407,0.3344,0.0319,-0.0469
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9984,-0.0144,-0.0033,-0.0537
indexfk_02_R,0.9999,0.0085,-0.0093,0.0016
indexfk_03_R,1.0,-0.0035,0.0,0.0001
indexfk_04_R,0.9987,0.0518,0.0,-0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0056,0.0056
middlefk_01_R,0.8474,0.529,0.0376,-0.0235
middlefk_02_R,0.8749,0.484,-0.0077,-0.0163
middlefk_03_R,0.9205,0.3906,-0.0089,-0.0044
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.017,-0.0113
ringfk_01_R,0.8426,0.5335,0.0693,0.0266
ringfk_02_R,0.8698,0.4929,-0.0129,-0.0166
ringfk_03_R,0.9166,0.397,0.0147,-0.0441
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9937,0.0178,0.0859,0.0696
collar_L,0.9992,0.0298,0.0258,-0.0002
neckfk,1.0,0.0029,0.0013,-0.0002
headfk,1.0,0.0054,0.0021,-0.0008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0003,-0.0011,-0.0001
chest_3,0.9998,-0.0198,-0.0048,-0.0076
chest_2,1.0,-0.0005,-0.0016,-0.0
chest_1,1.0,-0.0012,-0.0037,-0.0
hip,1.0,0.0001,-0.0016,0.0001
