motion_name,SG ASL Diamond Shape 2026-7-7
pose_name,SG ASL Diamond Shape 2026-7-7 P2
export_date,2026-7-7
current_frame,51
frame_budget,14

bone_name,w,x,y,z
bicepfk_L,0.774,0.4821,-0.1374,0.3868
forearmfk_L,0.7843,-0.04,-0.0494,0.6171
handfk_L,0.7732,-0.1145,0.5407,-0.311
bicepfk_R,0.7514,0.5504,0.0312,-0.3626
forearmfk_R,0.7807,-0.0418,0.0469,-0.6218
handfk_R,0.8167,-0.1437,-0.5411,0.1398
thighfk_L,0.9996,-0.0074,-0.0279,0.0004
shinfk_L,0.9996,0.0272,0.009,0.0042
footfk_L,0.0291,-0.0263,0.9991,0.0178
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0067,0.0206,-0.0002
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0184
toefk_R,1.0,-0.0007,-0.0003,-0.0
thumbfk_01_L,0.7987,0.4167,0.4014,0.1651
thumbfk_02_L,0.9909,0.0995,-0.0279,-0.086
thumbfk_03_L,0.9931,0.074,-0.0071,-0.0909
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.021
pinkyfk_01_L,0.822,0.5545,-0.118,0.0535
pinkyfk_02_L,0.6941,0.7193,0.0003,-0.0299
pinkyfk_03_L,0.6414,0.7579,-0.073,0.0938
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0031,-0.0031
indexfk_01_L,0.9992,0.0307,0.007,0.0253
indexfk_02_L,0.9999,0.0102,0.0002,-0.0
indexfk_03_L,1.0,0.0062,0.0002,0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0073,-0.0073
middlefk_01_L,0.7443,0.666,-0.0478,-0.0094
middlefk_02_L,0.7701,0.6376,-0.0181,0.0087
middlefk_03_L,0.7435,0.6671,-0.0286,-0.037
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0193,0.0129
ringfk_01_L,0.7987,0.5978,-0.0687,-0.0044
ringfk_02_L,0.7099,0.7042,-0.0,-0.0135
ringfk_03_L,0.7652,0.6387,-0.0352,0.0726
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8036,0.4069,-0.4062,-0.1539
thumbfk_02_R,0.9898,0.0991,0.0245,0.0998
thumbfk_03_R,0.9902,0.1189,0.039,0.0627
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0208
pinkyfk_01_R,0.8253,0.5475,0.1313,-0.0438
pinkyfk_02_R,0.6919,0.7214,-0.0003,0.0301
pinkyfk_03_R,0.6338,0.7643,0.0739,-0.0928
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0038,0.0038
indexfk_01_R,0.999,0.0378,0.0002,-0.024
indexfk_02_R,0.9999,0.0147,-0.0002,0.0
indexfk_03_R,1.0,0.0054,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.007,0.007
middlefk_01_R,0.7612,0.646,0.0539,0.0203
middlefk_02_R,0.7471,0.6644,0.0184,-0.0082
middlefk_03_R,0.7435,0.6671,0.0285,0.037
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0192,-0.0128
ringfk_01_R,0.8018,0.5941,0.0647,0.0009
ringfk_02_R,0.7124,0.7016,0.0001,0.0135
ringfk_03_R,0.7621,0.6423,0.0357,-0.0728
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9944,0.012,0.1021,0.0245
collar_L,0.9997,0.0232,-0.0079,0.0042
neckfk,0.9999,0.0005,0.008,0.006
headfk,0.9998,0.0014,0.017,0.0077
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0016,-0.0033,-0.0011
chest_3,0.9997,-0.0215,-0.0076,-0.009
chest_2,1.0,-0.0022,-0.0045,-0.0011
chest_1,0.9999,-0.0056,-0.01,-0.0025
hip,1.0,0.0046,-0.0036,-0.0002
