motion_name,SG ASL Diaper 2026-7-9
pose_name,SG ASL Diaper 2026-7-9 P1
export_date,2026-7-9
current_frame,20
frame_budget,20

bone_name,w,x,y,z
bicepfk_L,0.7317,0.5473,0.3979,0.0819
forearmfk_L,0.8861,0.1752,0.1204,0.412
handfk_L,0.9757,-0.1289,0.1268,-0.1235
bicepfk_R,0.7358,0.5432,-0.3968,-0.0784
forearmfk_R,0.8181,0.2118,-0.1517,-0.5127
handfk_R,0.9742,0.1155,-0.1762,0.0804
thighfk_L,0.9995,-0.0131,-0.0277,0.0007
shinfk_L,0.9997,0.0147,-0.0187,0.0047
footfk_L,0.0323,-0.0082,0.9994,0.004
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0124,0.0208,0.0004
shinfk_R,0.9998,0.0147,0.0125,-0.0049
footfk_R,0.0306,-0.011,-0.9995,-0.0054
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9998,-0.0151,-0.0138,-0.0032
thumbfk_02_L,0.9989,-0.0251,0.0356,-0.0146
thumbfk_03_L,0.9999,-0.0073,0.0066,-0.0045
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.025
pinkyfk_01_L,0.7544,0.641,-0.1405,-0.0153
pinkyfk_02_L,0.8055,0.5926,-0.0,-0.0061
pinkyfk_03_L,0.8885,0.459,0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9993,-0.0071,0.0082,0.0368
indexfk_02_L,0.9999,-0.01,-0.0,0.0
indexfk_03_L,1.0,0.0024,-0.0,-0.0005
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0006,-0.0006
middlefk_01_L,0.9955,0.0583,-0.0671,0.0332
middlefk_02_L,0.9987,-0.0508,-0.0,0.0
middlefk_03_L,0.9983,-0.0583,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0153,0.0102
ringfk_01_L,0.8663,0.483,-0.1154,-0.0547
ringfk_02_L,0.6448,0.7644,-0.0021,-0.0027
ringfk_03_L,0.8529,0.522,0.0,-0.0001
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,-0.0015,0.0001,0.0016
thumbfk_02_R,1.0,0.0001,0.0005,-0.0006
thumbfk_03_R,1.0,0.0026,0.0024,-0.0016
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0248
pinkyfk_01_R,0.7581,0.6377,0.1361,0.0125
pinkyfk_02_R,0.805,0.5932,0.0,0.0061
pinkyfk_03_R,0.888,0.4598,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9992,-0.0135,-0.007,-0.038
indexfk_02_R,1.0,-0.0015,-0.0,0.0
indexfk_03_R,0.9999,0.0115,-0.0,0.0007
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0006,0.0006
middlefk_01_R,0.9952,0.0584,0.0676,-0.0393
middlefk_02_R,0.9987,-0.0501,0.0,-0.0
middlefk_03_R,0.9983,-0.0581,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0156,-0.0104
ringfk_01_R,0.8619,0.4907,0.1155,0.0539
ringfk_02_R,0.6438,0.7652,0.0021,0.0027
ringfk_03_R,0.8553,0.5181,0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.998,0.0558,0.0295,0.0083
collar_L,0.998,0.0599,0.0003,0.0182
neckfk,1.0,0.0027,-0.0001,-0.0004
headfk,1.0,0.0049,-0.0004,-0.0008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.0004,-0.0003
chest_3,0.9998,-0.0192,-0.0028,-0.0078
chest_2,1.0,0.0001,0.0003,-0.0005
chest_1,1.0,0.0002,0.0008,-0.001
hip,1.0,-0.0015,-0.0034,-0.0007
