motion_name,SG ASL Diarrhea 2026-7-9
pose_name,SG ASL Diarrhea 2026-7-9 P5
export_date,2026-7-9
current_frame,118
frame_budget,14

bone_name,w,x,y,z
bicepfk_L,0.7725,0.5187,-0.0211,0.3657
forearmfk_L,0.7149,-0.0427,-0.047,0.6963
handfk_L,0.9709,0.035,-0.1741,-0.1608
bicepfk_R,0.8016,0.5377,-0.0738,-0.2505
forearmfk_R,0.8084,-0.0357,0.0523,-0.5853
handfk_R,0.9503,0.2374,0.1959,-0.047
thighfk_L,0.9994,-0.0127,-0.0324,0.0002
shinfk_L,0.9996,0.027,0.0085,0.0042
footfk_L,0.0287,-0.027,0.9991,0.0178
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.011,0.0161,-0.0001
shinfk_R,0.9996,0.0269,-0.0092,-0.0042
footfk_R,0.029,-0.0259,-0.9991,-0.0192
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9489,0.2387,-0.2057,-0.0173
thumbfk_02_L,0.999,0.0152,-0.0248,-0.0339
thumbfk_03_L,0.9993,0.0017,0.0021,0.037
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,-0.0,0.0,-0.0109
pinkyfk_01_L,0.9505,0.3036,-0.0652,0.0144
pinkyfk_02_L,0.9436,0.3312,0.0008,-0.0003
pinkyfk_03_L,0.9903,0.1338,0.0198,0.0325
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9982,0.0,0.0427,-0.0427
indexfk_01_L,0.9102,0.4134,0.0175,-0.0185
indexfk_02_L,0.9503,0.3114,0.0039,-0.0058
indexfk_03_L,0.9694,0.2443,0.0046,0.0258
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0041,-0.0041
middlefk_01_L,0.9183,0.3953,-0.0194,0.0077
middlefk_02_L,0.9497,0.3129,-0.0117,0.0021
middlefk_03_L,0.9778,0.2093,-0.0082,-0.0086
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0127,0.0085
ringfk_01_L,0.911,0.4119,-0.0094,-0.0205
ringfk_02_L,0.9846,0.1744,0.0014,-0.007
ringfk_03_L,0.9739,0.2227,-0.033,0.0298
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9979,-0.0051,-0.0623,-0.0183
thumbfk_02_R,0.9926,-0.0876,-0.0548,-0.0639
thumbfk_03_R,0.9966,-0.0564,-0.0553,-0.0221
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0003
pinkyfk_01_R,0.9658,0.003,0.0424,0.2559
pinkyfk_02_R,1.0,-0.001,-0.0,-0.0
pinkyfk_03_R,1.0,-0.0052,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0036,0.0036
indexfk_01_R,0.9994,0.0355,0.0035,0.0041
indexfk_02_R,0.9978,0.0665,-0.0,-0.0
indexfk_03_R,0.9998,-0.02,-0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0006,0.0006
middlefk_01_R,0.9948,0.0646,0.0358,0.0708
middlefk_02_R,0.999,-0.0438,-0.0,0.0
middlefk_03_R,0.9997,0.0252,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0004,-0.0002
ringfk_01_R,0.9897,0.0164,0.03,0.139
ringfk_02_R,1.0,0.0088,-0.0,-0.0
ringfk_03_R,0.9992,0.0393,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9969,0.0677,0.0371,-0.0134
collar_L,0.9946,0.0924,0.001,0.0479
neckfk,1.0,0.0025,0.0037,0.0003
headfk,1.0,0.0047,0.0067,-0.001
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.0001,0.0005
chest_3,0.9998,-0.0193,-0.0029,-0.0067
chest_2,1.0,0.0,0.0002,0.0006
chest_1,1.0,0.0001,0.0001,0.0013
hip,1.0,-0.0006,-0.0082,-0.0002
