motion_name,SG ASL Diarrhea 2026-7-9 metarig T
pose_name,SG ASL Diarrhea 2026-7-9 metarig T P5
export_date,2026-7-9
current_frame,118
frame_budget,14

bone_name,w,x,y,z
spine,0.992,-0.1264,-0.0081,0.0009
spine.001,0.9979,0.0646,0.0,0.0013
spine.002,0.9968,0.0775,0.0176,0.0019
spine.003,0.9995,-0.0238,-0.0205,-0.0071
spine.004,0.98,-0.199,0.0002,0.0004
spine.005,0.995,0.1002,0.0036,0.0006
spine.006,0.9949,0.1008,0.0074,-0.0003
face,1.0,0.0,-0.0,-0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,-0.0,-0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,-0.0
lip.B.L,1.0,-0.0,0.0,-0.0
lip.B.L.001,1.0,-0.0,0.0,0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,-0.0,-0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,-0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,0.0,-0.0,-0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,0.0,0.0,-0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,0.0,-0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,0.0,-0.0,-0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,-0.0,0.0,0.0
