motion_name,SG ASL Dictate Alt 2026-7-11
pose_name,SG ASL Dictate Alt 2026-7-11 P6
export_date,2026-7-11
current_frame,100
frame_budget,22

bone_name,w,x,y,z
bicepfk_L,0.7496,0.6222,0.1375,0.1789
forearmfk_L,0.7969,-0.0355,-0.0462,0.6013
handfk_L,0.8577,0.0199,0.4884,-0.1594
bicepfk_R,0.8477,0.5132,-0.0425,-0.1273
forearmfk_R,0.4023,-0.0568,0.0249,-0.9134
handfk_R,0.8424,-0.3247,-0.422,0.0821
thighfk_L,0.9995,-0.0093,-0.0297,-0.0002
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0262,0.9991,0.0179
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0082,0.0188,-0.0007
shinfk_R,0.9996,0.0275,-0.0078,-0.0041
footfk_R,0.0286,-0.0265,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7206,0.4906,0.4293,0.236
thumbfk_02_L,0.9934,0.0858,0.0073,-0.0763
thumbfk_03_L,0.9925,0.0346,0.0207,-0.1152
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0234
pinkyfk_01_L,0.7813,0.6102,-0.1099,0.072
pinkyfk_02_L,0.6678,0.7438,0.001,-0.0301
pinkyfk_03_L,0.64,0.7591,-0.0734,0.0938
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0016,-0.0016
indexfk_01_L,0.9958,0.0157,0.0061,-0.0901
indexfk_02_L,0.9998,0.0198,0.0002,-0.0
indexfk_03_L,0.9998,-0.0211,0.0002,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0082,-0.0082
middlefk_01_L,0.6825,0.7296,-0.0408,0.0136
middlefk_02_L,0.8012,0.5981,-0.0178,0.0095
middlefk_03_L,0.7435,0.6671,-0.0285,-0.037
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0228,0.0152
ringfk_01_L,0.7237,0.6855,-0.0802,-0.0019
ringfk_02_L,0.714,0.7,-0.0002,-0.0136
ringfk_03_L,0.7511,0.6552,-0.0361,0.0721
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7979,0.4167,-0.4218,-0.1088
thumbfk_02_R,0.9836,0.1331,0.0522,0.1101
thumbfk_03_R,0.9868,0.1441,0.0571,0.0464
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0197
pinkyfk_01_R,0.8431,0.5228,0.1144,-0.052
pinkyfk_02_R,0.7002,0.7133,-0.0001,0.0297
pinkyfk_03_R,0.6403,0.7589,0.0732,-0.0937
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9963,-0.0605,-0.0053,-0.0616
indexfk_02_R,1.0,-0.0064,-0.0002,0.0
indexfk_03_R,0.9997,0.0237,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0061,0.0061
middlefk_01_R,0.8195,0.5681,0.0614,0.0443
middlefk_02_R,0.7236,0.69,0.0186,-0.0076
middlefk_03_R,0.7683,0.6384,0.0299,0.0359
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0164,-0.0109
ringfk_01_R,0.8534,0.5181,0.0569,0.0105
ringfk_02_R,0.7066,0.7075,-0.0,0.0134
ringfk_03_R,0.8202,0.5663,0.0286,-0.0754
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9941,0.0176,0.1036,-0.0254
collar_L,0.9987,0.016,-0.0102,0.0474
neckfk,0.9998,0.0003,0.0071,-0.0159
headfk,0.9995,-0.0001,0.0066,-0.0317
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0005,-0.0004,0.0026
chest_3,0.9998,-0.0186,-0.0039,-0.0039
chest_2,1.0,0.0005,-0.0002,0.0036
chest_1,1.0,0.0016,-0.0007,0.008
hip,1.0,0.0028,-0.0054,0.0004
