motion_name,SG ASL Dictate Alt 2026-7-11 metarig T
pose_name,SG ASL Dictate Alt 2026-7-11 metarig T P7
export_date,2026-7-11
current_frame,123
frame_budget,23

bone_name,w,x,y,z
spine,0.9922,-0.1247,0.0041,-0.0005
spine.001,0.9979,0.0653,0.0019,0.0043
spine.002,0.9968,0.0778,0.0183,0.0033
spine.003,0.9995,-0.0235,-0.0199,-0.0058
spine.004,0.98,-0.1989,0.0009,0.0013
spine.005,0.9952,0.0978,0.0003,-0.005
spine.006,0.9953,0.0961,-0.0009,-0.0093
face,1.0,-0.0,0.0,0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,-0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,-0.0,0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,-0.0,-0.0,-0.0
ear.L.002,1.0,-0.0,0.0,0.0
ear.L.003,1.0,0.0,0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,-0.0,-0.0,-0.0
ear.R.003,1.0,0.0,0.0,0.0
ear.R.004,1.0,0.0,-0.0,0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,-0.0
lip.B.R,1.0,0.0,0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,0.0,0.0,0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,-0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,-0.0,-0.0
lid.B.L.003,1.0,0.0,-0.0,-0.0
brow.B.R,1.0,0.0,-0.0,-0.0
brow.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,0.0,-0.0
brow.B.R.003,1.0,0.0,0.0,-0.0
lid.T.R,1.0,0.0,0.0,0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,-0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,-0.0
lid.B.R,1.0,-0.0,-0.0,-0.0
lid.B.R.001,1.0,0.0,-0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,0.0,0.0,0.0
forehead.L,1.0,-0.0,0.0,-0.0
forehead.L.001,1.0,-0.0,0.0,0.0
forehead.L.002,1.0,0.0,-0.0,-0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,-0.0,0.0,-0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,0.0,-0.0,0.0
cheek.B.L,1.0,0.0,-0.0,-0.0
cheek.B.L.001,1.0,0.0,-0.0,0.0
brow.T.L,1.0,0.0,0.0,-0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,-0.0,-0.0,0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,-0.0,0.0,0.0
forehead.R.001,1.0,0.0,-0.0,0.0
