motion_name,SG ASL Dictionary 2026-7-11
pose_name,SG ASL Dictionary 2026-7-11 P4
export_date,2026-7-11
current_frame,62
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.7605,0.5951,0.2278,0.1253
forearmfk_L,0.733,-0.0387,-0.0497,0.6773
handfk_L,0.6726,0.1272,-0.7265,-0.06
bicepfk_R,0.762,0.6024,-0.1641,-0.1717
forearmfk_R,0.5075,-0.0387,0.0498,-0.8593
handfk_R,0.8269,-0.0231,-0.5606,0.0384
thighfk_L,0.9992,-0.0176,-0.0365,0.002
shinfk_L,0.9996,0.027,0.0088,0.0044
footfk_L,0.0288,-0.0266,0.9991,0.0169
toefk_L,0.9998,0.0021,-0.0186,-0.0005
thighfk_R,0.9998,-0.0149,0.012,0.0019
shinfk_R,0.9996,0.027,-0.0091,-0.0041
footfk_R,0.0288,-0.0268,-0.999,-0.0209
toefk_R,1.0,-0.003,-0.0038,-0.0001
thumbfk_01_L,0.9932,0.0132,0.077,0.0868
thumbfk_02_L,1.0,0.0071,-0.0068,-0.0013
thumbfk_03_L,0.9998,-0.012,0.0109,-0.0074
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0017
pinkyfk_01_L,0.9941,-0.0465,-0.095,-0.0222
pinkyfk_02_L,0.9988,0.0499,0.0,-0.0005
pinkyfk_03_L,0.9999,-0.0156,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0035,-0.0035
indexfk_01_L,0.9993,0.0352,0.0117,0.0014
indexfk_02_L,0.9951,0.0984,0.0,-0.0
indexfk_03_L,0.9998,0.0189,0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
middlefk_01_L,0.9926,0.036,-0.067,-0.0948
middlefk_02_L,0.9949,0.1005,-0.0,-0.0
middlefk_03_L,1.0,0.0098,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0002,0.0001
ringfk_01_L,0.9935,0.0079,-0.1117,-0.0186
ringfk_02_L,0.9981,0.0608,-0.0,0.0
ringfk_03_L,1.0,0.0072,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6417,0.4271,-0.4399,-0.4607
thumbfk_02_R,0.9869,0.1583,0.0116,-0.0281
thumbfk_03_R,0.9687,0.2285,0.0953,0.0168
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0248
pinkyfk_01_R,0.7581,0.6472,0.0645,-0.0477
pinkyfk_02_R,0.7492,0.6621,-0.0002,0.0181
pinkyfk_03_R,0.7539,0.6545,0.007,-0.0564
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9973,-0.0429,0.0011,-0.0592
indexfk_02_R,0.9999,-0.017,0.0,0.0
indexfk_03_R,1.0,-0.0072,0.0,0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0063,0.0063
middlefk_01_R,0.8099,0.5838,0.0403,-0.0408
middlefk_02_R,0.9131,0.4077,0.0,0.0002
middlefk_03_R,0.9331,0.3597,-0.0005,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0206,-0.0137
ringfk_01_R,0.7728,0.6288,0.0778,-0.0373
ringfk_02_R,0.7474,0.6643,0.0004,0.0115
ringfk_03_R,0.7857,0.6167,0.0028,-0.0478
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9946,0.0385,0.0948,-0.0175
collar_L,0.9984,0.0316,-0.0015,0.0464
neckfk,1.0,0.0018,-0.0042,-0.0009
headfk,0.9999,0.0032,-0.0097,0.0002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0023,0.0012,-0.0017
chest_3,0.9998,-0.0162,-0.0015,-0.0097
chest_2,1.0,0.0032,0.0014,-0.0023
chest_1,1.0,0.0069,0.0033,-0.0055
hip,0.9999,-0.0054,-0.0123,-0.0023
