motion_name,SG ASL Did Not 2026-7-12
pose_name,SG ASL Did Not 2026-7-12 P2
export_date,2026-7-12
current_frame,65
frame_budget,28

bone_name,w,x,y,z
bicepfk_L,0.7135,0.6149,0.3058,0.1389
forearmfk_L,0.8779,-0.0276,-0.0567,0.4746
handfk_L,0.9091,0.2416,0.3356,-0.0509
bicepfk_R,0.6048,0.6954,-0.1732,-0.3474
forearmfk_R,0.5942,-0.0428,0.0372,-0.8023
handfk_R,0.9685,-0.184,-0.1508,-0.0739
thighfk_L,0.9994,-0.0116,-0.0325,0.0004
shinfk_L,0.9996,0.0271,0.0084,0.0043
footfk_L,0.0289,-0.0264,0.9991,0.0178
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0099,0.016,0.0
shinfk_R,0.9996,0.027,-0.0091,-0.0041
footfk_R,0.0291,-0.0259,-0.9991,-0.0194
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7918,0.2443,-0.5597,-0.0112
thumbfk_02_R,0.9983,0.0369,0.0452,-0.0001
thumbfk_03_R,0.9994,-0.023,-0.0209,0.0142
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0298
pinkyfk_01_R,0.6579,0.7499,0.0654,-0.0214
pinkyfk_02_R,0.6587,0.7524,-0.0,0.0006
pinkyfk_03_R,0.77,0.6343,-0.0527,-0.0449
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9929,-0.0,-0.084,0.084
indexfk_01_R,0.6675,0.7446,0.0086,0.0007
indexfk_02_R,0.6792,0.7339,-0.0005,0.012
indexfk_03_R,0.7909,0.6105,-0.0233,-0.0368
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0084,0.0084
middlefk_01_R,0.668,0.7441,0.0093,0.0049
middlefk_02_R,0.7031,0.7108,0.018,-0.0075
middlefk_03_R,0.7382,0.6742,0.0203,0.0082
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0246,-0.0164
ringfk_01_R,0.6827,0.7305,0.0119,-0.013
ringfk_02_R,0.6961,0.7178,-0.0,0.0131
ringfk_03_R,0.7729,0.6287,0.031,-0.08
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9985,0.0232,0.0357,-0.0346
collar_L,0.9985,0.0298,0.0017,0.0462
neckfk,0.9913,-0.0138,0.1293,-0.0195
headfk,0.9702,-0.0252,0.2269,-0.0812
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0006,0.0006,0.0024
chest_3,0.9998,-0.0184,-0.0025,-0.0042
chest_2,1.0,0.0008,0.0012,0.0031
chest_1,1.0,0.0026,0.0025,0.007
hip,1.0,0.0006,-0.0082,-0.0003
