motion_name,SG ASL Did Not Alt 2026-7-12
pose_name,SG ASL Did Not Alt 2026-7-12 P3
export_date,2026-7-12
current_frame,51
frame_budget,14

bone_name,w,x,y,z
bicepfk_L,0.8444,0.4897,0.2048,0.0722
forearmfk_L,0.7084,-0.041,-0.0435,0.7033
handfk_L,0.8759,-0.1465,0.4596,-0.0036
bicepfk_R,0.8118,0.5072,-0.277,-0.0832
forearmfk_R,0.6518,-0.0381,0.0448,-0.7561
handfk_R,0.7847,-0.1255,-0.5911,0.1382
thighfk_L,0.9998,-0.008,-0.0174,-0.0003
shinfk_L,0.9996,0.027,0.01,0.0039
footfk_L,0.0292,-0.0249,0.9991,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0094,0.0312,-0.0009
shinfk_R,0.9996,0.027,-0.0073,-0.0044
footfk_R,0.0289,-0.0264,-0.9991,-0.017
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8429,0.2432,0.4764,0.058
thumbfk_02_L,0.9826,0.1254,-0.113,-0.0773
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0035
pinkyfk_01_L,0.9944,0.0995,0.023,0.0254
pinkyfk_02_L,0.9997,0.0179,0.0105,-0.0098
pinkyfk_03_L,0.9993,0.0158,0.0025,0.0329
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0044,-0.0044
indexfk_01_L,0.9421,0.0482,0.3301,0.0345
indexfk_02_L,0.9996,0.0267,0.0116,-0.002
indexfk_03_L,1.0,0.0042,-0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0005,-0.0005
middlefk_01_L,0.9982,0.0483,-0.0313,0.0137
middlefk_02_L,0.9996,0.0227,-0.0182,0.0056
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0017,0.0011
ringfk_01_L,0.995,0.0594,0.0605,0.0531
ringfk_02_L,0.9993,0.0351,0.0052,-0.0136
ringfk_03_L,1.0,-0.0011,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8429,0.2432,-0.4764,-0.058
thumbfk_02_R,0.9826,0.1254,0.113,0.0773
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0035
pinkyfk_01_R,0.9944,0.0995,-0.023,-0.0254
pinkyfk_02_R,0.9997,0.0179,-0.0105,0.0098
pinkyfk_03_R,0.9993,0.0158,-0.0025,-0.0329
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0044,0.0044
indexfk_01_R,0.9421,0.0482,-0.3301,-0.0345
indexfk_02_R,0.9996,0.0267,-0.0116,0.002
indexfk_03_R,1.0,0.0042,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0005,0.0005
middlefk_01_R,0.9982,0.0483,0.0313,-0.0137
middlefk_02_R,0.9996,0.0227,0.0182,-0.0056
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0017,-0.0011
ringfk_01_R,0.995,0.0594,-0.0605,-0.0531
ringfk_02_R,0.9993,0.035,-0.0052,0.0136
ringfk_03_R,1.0,-0.0011,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9958,0.0336,0.0304,0.08
collar_L,0.9969,0.0385,0.0348,-0.059
neckfk,1.0,0.0008,-0.0007,0.0009
headfk,1.0,0.0016,-0.001,0.002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0006,-0.0003,-0.0002
chest_3,0.9998,-0.02,-0.0034,-0.0076
chest_2,1.0,-0.0008,-0.0004,-0.0002
chest_1,1.0,-0.0015,-0.0005,-0.0004
hip,1.0,0.0028,0.0069,0.0007
