motion_name,SG ASL Did Not Care 2026-7-12
pose_name,SG ASL Did Not Care 2026-7-12 P1
export_date,2026-7-12
current_frame,32
frame_budget,32

bone_name,w,x,y,z
bicepfk_L,0.7387,0.5758,0.3077,0.1679
forearmfk_L,0.8619,-0.0294,-0.0517,0.5036
handfk_L,0.9038,0.2537,0.3299,-0.0999
bicepfk_R,0.631,0.6366,0.0416,-0.4415
forearmfk_R,0.372,-0.0611,0.0296,-0.9257
handfk_R,0.8765,0.0212,0.4509,0.1675
thighfk_L,0.9996,-0.0137,-0.0247,0.0011
shinfk_L,0.9996,0.0269,0.0097,0.0041
footfk_L,0.0289,-0.0261,0.9991,0.018
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0135,0.0238,0.0009
shinfk_R,0.9996,0.0272,-0.0078,-0.0043
footfk_R,0.0288,-0.0265,-0.999,-0.0195
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.001,0.0008,-0.0001
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0006,0.0,-0.0001
indexfk_02_L,1.0,-0.0008,-0.0,-0.0
indexfk_03_L,1.0,-0.0005,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0006,-0.0,0.0015
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,-0.0001,0.0,0.0003
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6907,0.3679,-0.5615,-0.2689
thumbfk_02_R,0.9994,0.0296,-0.0187,0.0079
thumbfk_03_R,0.9997,0.0154,0.014,-0.0095
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0109
pinkyfk_01_R,0.9499,0.3059,0.0637,0.002
pinkyfk_02_R,0.9327,0.3467,0.091,0.04
pinkyfk_03_R,0.9411,0.3381,-0.0,-0.0001
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9996,-0.0,-0.0199,0.0199
indexfk_01_R,0.9761,0.1996,0.0248,0.0822
indexfk_02_R,0.9137,0.4058,-0.004,-0.0208
indexfk_03_R,0.9515,0.3078,-0.0,0.0
indexfk_04_R,0.9986,0.0533,0.0,-0.0
middleinte_metacarpal_R,1.0,0.0,-0.003,0.003
middlefk_01_R,0.9537,0.2956,0.0382,0.0408
middlefk_02_R,0.8984,0.4298,0.0903,0.0057
middlefk_03_R,0.9544,0.2969,0.0118,0.03
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,0.0,0.0098,-0.0066
ringfk_01_R,0.9452,0.3217,0.0504,0.0235
ringfk_02_R,0.9199,0.3849,0.0749,0.0124
ringfk_03_R,0.9466,0.3223,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9937,0.0494,0.0889,-0.0471
collar_L,0.9978,0.0531,0.0273,0.0279
neckfk,0.9996,0.0208,-0.0058,0.0168
headfk,0.9987,0.039,-0.0038,0.0324
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0005,0.0007,-0.0018
chest_3,0.9998,-0.0186,-0.0022,-0.0099
chest_2,1.0,0.0008,0.0007,-0.0025
chest_1,1.0,0.0012,0.0016,-0.0051
hip,1.0,-0.0025,-0.0005,-0.0011
