motion_name,SG ASL Diet Alt 2026-7-14
pose_name,SG ASL Diet Alt 2026-7-14 P8
export_date,2026-7-14
current_frame,136
frame_budget,16

bone_name,w,x,y,z
bicepfk_L,0.7064,0.6466,0.0749,0.2779
forearmfk_L,0.7697,-0.0382,-0.0513,0.6352
handfk_L,0.6844,-0.0638,-0.7256,0.0327
bicepfk_R,0.8023,0.576,0.0418,-0.1509
forearmfk_R,0.6613,-0.0387,0.0393,-0.7481
handfk_R,0.8606,0.0496,-0.4987,0.091
thighfk_L,0.9997,-0.0026,-0.024,0.005
shinfk_L,0.9999,0.0019,0.0085,0.0053
footfk_L,0.0285,-0.0252,0.9993,0.0036
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.014,0.0244,0.0041
shinfk_R,0.9996,0.0271,-0.0088,-0.0042
footfk_R,0.029,-0.0273,-0.999,-0.0212
toefk_R,1.0,0.0026,-0.0,0.0
thumbfk_01_L,0.9992,0.0003,-0.006,0.0385
thumbfk_02_L,0.9992,-0.0284,0.0274,0.0045
thumbfk_03_L,0.9999,0.0078,-0.0071,0.0048
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0034
pinkyfk_01_L,0.9942,0.098,0.024,0.0374
pinkyfk_02_L,0.9997,0.0174,0.0105,-0.0098
pinkyfk_03_L,0.9993,0.0156,0.0026,0.0329
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0068,-0.0068
indexfk_01_L,0.9417,0.0638,0.3297,0.0217
indexfk_02_L,0.9988,0.0468,0.0118,-0.0018
indexfk_03_L,1.0,0.0086,0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0005,-0.0005
middlefk_01_L,0.9982,0.0502,-0.0319,-0.0002
middlefk_02_L,0.9993,0.0321,-0.0183,0.0055
middlefk_03_L,1.0,0.0047,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0017,0.0012
ringfk_01_L,0.9948,0.0611,0.0608,0.0542
ringfk_02_L,0.9991,0.0394,0.0053,-0.0136
ringfk_03_L,1.0,0.0015,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9992,0.0003,0.006,-0.0385
thumbfk_02_R,0.9992,-0.0284,-0.0274,-0.0045
thumbfk_03_R,0.9999,0.0078,0.0071,-0.0048
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0034
pinkyfk_01_R,0.9942,0.098,-0.024,-0.0374
pinkyfk_02_R,0.9997,0.0174,-0.0105,0.0098
pinkyfk_03_R,0.9993,0.0156,-0.0026,-0.0329
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0068,0.0068
indexfk_01_R,0.9417,0.0638,-0.3297,-0.0217
indexfk_02_R,0.9988,0.0468,-0.0118,0.0018
indexfk_03_R,1.0,0.0086,-0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0005,0.0005
middlefk_01_R,0.9982,0.0502,0.0319,0.0002
middlefk_02_R,0.9993,0.0321,0.0183,-0.0055
middlefk_03_R,1.0,0.0046,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0017,-0.0012
ringfk_01_R,0.9948,0.0611,-0.0608,-0.0542
ringfk_02_R,0.9991,0.0394,-0.0053,0.0136
ringfk_03_R,1.0,0.0014,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9897,-0.0186,0.1307,-0.0562
collar_L,0.9953,0.0208,-0.0102,0.0937
neckfk,0.9996,0.0053,0.019,0.019
headfk,0.9987,0.0104,0.0419,0.027
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0024,-0.0011,-0.007
chest_3,0.9997,-0.0161,-0.0045,-0.0168
chest_2,1.0,0.0033,-0.0025,-0.0091
chest_1,0.9997,0.0072,-0.0056,-0.0207
hip,1.0,-0.0031,0.0001,-0.0045
