motion_name,SG ASL Diet Alt 2026-7-14 metarig A
pose_name,SG ASL Diet Alt 2026-7-14 metarig A P5
export_date,2026-7-14
current_frame,97
frame_budget,24

bone_name,w,x,y,z
spine,0.9919,-0.1269,-0.0039,-0.002
spine.001,0.9974,0.0676,0.0228,-0.0108
spine.002,0.9965,0.0783,0.0277,-0.0034
spine.003,0.9996,-0.0224,-0.0101,-0.0121
spine.004,0.9801,-0.1981,0.007,-0.0049
spine.005,0.9946,0.1025,-0.0157,0.01
spine.006,0.9939,0.1049,-0.0239,0.0243
face,1.0,-0.0,-0.0,-0.0
nose,1.0,0.0,-0.0,0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,-0.0,-0.0,-0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,0.0,-0.0
lip.B.L,1.0,-0.0,0.0,0.0
lip.B.L.001,1.0,0.0,-0.0,-0.0
jaw,1.0,-0.0,-0.0,0.0
chin,1.0,-0.0,0.0,-0.0
chin.001,1.0,-0.0,-0.0,-0.0
ear.L,1.0,-0.0,0.0,-0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,-0.0,-0.0
ear.R.003,1.0,-0.0,-0.0,-0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,-0.0,-0.0,0.0
lip.T.R.001,1.0,0.0,-0.0,0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.L,1.0,-0.0,0.0,0.0
brow.B.L.001,1.0,0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,-0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,-0.0,0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,0.0
lid.T.L.003,1.0,0.0,-0.0,-0.0
lid.B.L,1.0,-0.0,0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.R.002,1.0,-0.0,0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,0.0
lid.T.R,1.0,0.0,0.0,0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,0.0,0.0,-0.0
lid.T.R.003,1.0,-0.0,-0.0,-0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,-0.0,-0.0,-0.0
lid.B.R.002,1.0,0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,-0.0,0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,-0.0,0.0,0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,0.0,-0.0,-0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,-0.0,0.0,-0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,0.0,-0.0,-0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,0.0,-0.0,0.0
chin.R,1.0,0.0,-0.0,0.0
cheek.B.R,1.0,0.0,-0.0,0.0
cheek.B.R.001,1.0,-0.0,0.0,0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,0.0,-0.0,0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,-0.0,-0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,0.0
nose.L,1.0,-0.0,-0.0,0.0
nose.L.001,1.0,-0.0,0.0,0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,-0.0,-0.0,0.0
teeth.T,1.0,-0.0,0.0,-0.0
teeth.B,1.0,-0.0,0.0,-0.0
tongue,1.0,-0.0,-0.0,0.0
tongue.001,1.0,-0.0,-0.0,0.0
tongue.002,1.0,0.0,-0.0,-0.0
shoulder.L,1.0,0.0,0.0,0.0
upper_arm.L,0.3734,0.4284,0.8191,-0.0789
forearm.L,0.6138,-0.1505,0.089,0.7698
hand.L,-0.4984,-0.0337,-0.8521,0.1561
palm.01.L,0.8819,0.1352,0.4444,0.081
f_index.01.L,0.9951,-0.0601,0.0781,-0.0035
f_index.02.L,0.9971,-0.0735,0.0185,0.0014
f_index.03.L,0.9933,-0.1103,0.0079,0.033
thumb.01.L,0.8489,-0.2056,-0.4861,0.029
thumb.02.L,0.9866,-0.1549,0.0096,0.0502
thumb.03.L,0.9983,0.0138,-0.038,0.0427
palm.02.L,0.8672,0.118,0.481,0.0516
f_middle.01.L,0.9887,-0.1458,-0.0328,0.013
f_middle.02.L,0.9915,-0.125,0.0328,0.0151
f_middle.03.L,0.9969,-0.0732,0.0197,0.0204
palm.03.L,0.8589,0.0549,0.507,0.0472
f_ring.01.L,0.9761,-0.1842,0.0769,0.086
f_ring.02.L,0.9942,-0.1039,0.0218,0.0167
f_ring.03.L,0.989,-0.1372,0.042,0.0359
palm.04.L,0.859,-0.0417,0.5103,0.0074
f_pinky.01.L,0.9446,-0.2364,0.1559,0.1661
f_pinky.02.L,0.9997,-0.0209,0.003,0.0132
f_pinky.03.L,0.9935,-0.1088,0.0219,0.0257
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.3257,0.6111,-0.7163,0.0857
forearm.R,0.4627,-0.1365,-0.1124,-0.8687
hand.R,0.3938,0.7537,-0.4776,0.2207
palm.01.R,0.4804,-0.3153,0.6756,0.462
f_index.01.R,0.9102,0.3866,0.0377,-0.1436
f_index.02.R,0.9974,0.0678,-0.0243,0.001
f_index.03.R,0.9993,-0.0173,-0.0109,-0.0323
thumb.01.R,0.8628,-0.2068,0.4421,-0.1316
thumb.02.R,0.9835,-0.171,-0.0252,-0.0529
thumb.03.R,0.9995,-0.0213,0.0078,-0.0205
palm.02.R,0.491,-0.2612,0.7131,0.4268
f_middle.01.R,0.8743,0.4386,0.0532,-0.2008
f_middle.02.R,0.9991,-0.0297,-0.0259,-0.0131
f_middle.03.R,0.9949,-0.0963,-0.0193,-0.0209
palm.03.R,0.4899,-0.1834,0.7368,0.4284
f_ring.01.R,0.9026,0.3883,-0.0933,-0.1605
f_ring.02.R,0.9966,-0.0777,-0.0242,-0.0097
f_ring.03.R,0.982,-0.1808,-0.0403,-0.0377
palm.04.R,0.4922,-0.0608,0.7539,0.4309
f_pinky.01.R,0.9218,0.2748,-0.1633,-0.2194
f_pinky.02.R,0.9999,0.0058,-0.0084,-0.0084
f_pinky.03.R,0.9914,-0.1219,-0.0246,-0.041
breast.L,1.0,0.0,-0.0,-0.0
breast.R,1.0,0.0,-0.0,-0.0
pelvis.L,1.0,0.0,0.0,-0.0
pelvis.R,1.0,0.0,0.0,0.0
thigh.L,-0.0013,-0.0055,-0.9841,-0.1777
shin.L,0.9953,-0.0899,-0.0366,0.0033
foot.L,0.4559,0.8893,0.0365,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,0.0,-0.0
thigh.R,0.0049,0.0002,0.9842,0.1769
shin.R,0.9953,-0.0899,0.0369,-0.0032
foot.R,0.4586,0.8879,-0.0371,0.0032
toe.R,0.9989,-0.0339,0.0314,-0.0047
heel.02.R,1.0,-0.0,0.0,0.0
