motion_name,SG ASL Dietatian 2026-7-16
pose_name,SG ASL Dietatian 2026-7-16 P1
export_date,2026-7-16
current_frame,23
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.7234,0.5862,0.3171,0.18
forearmfk_L,0.8727,-0.0296,-0.0556,0.4842
handfk_L,0.9073,0.2526,0.3262,-0.0815
bicepfk_R,0.8761,0.4264,0.0884,-0.2069
forearmfk_R,0.5305,-0.0544,0.0277,-0.8455
handfk_R,0.9091,-0.4065,0.0812,0.0416
thighfk_L,0.9996,-0.0122,-0.025,0.0005
shinfk_L,0.9996,0.0271,0.0086,0.0043
footfk_L,0.0288,-0.0266,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0121,0.0235,0.0002
shinfk_R,0.9996,0.0269,-0.0091,-0.0041
footfk_R,0.0289,-0.0264,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0003,-0.0,-0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0001,-0.0,0.0003
indexfk_02_L,1.0,0.001,0.0,0.0
indexfk_03_L,1.0,0.0009,-0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0001,-0.0001,0.001
middlefk_02_L,1.0,0.0011,0.0,0.0
middlefk_03_L,1.0,0.0007,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7039,0.3661,-0.4545,-0.4049
thumbfk_02_R,0.9823,0.1831,-0.0077,-0.0388
thumbfk_03_R,0.8908,0.4089,0.1302,0.1492
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0228
pinkyfk_01_R,0.7891,0.6012,0.0823,-0.0951
pinkyfk_02_R,0.9241,0.3815,-0.0058,0.0203
pinkyfk_03_R,0.9699,0.2321,0.0413,-0.0606
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9991,-0.0309,0.0012,-0.0281
indexfk_02_R,0.9998,0.0155,-0.0122,0.0021
indexfk_03_R,1.0,-0.0012,-0.0,0.0
indexfk_04_R,0.9977,0.0679,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0064,0.0064
middlefk_01_R,0.7986,0.5986,0.015,-0.0604
middlefk_02_R,0.9333,0.3583,-0.0096,-0.0207
middlefk_03_R,0.9396,0.342,-0.0116,-0.0058
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0182,-0.0121
ringfk_01_R,0.8211,0.5674,0.0603,0.0178
ringfk_02_R,0.9234,0.383,-0.0163,-0.0213
ringfk_03_R,0.9315,0.3586,0.02,-0.0583
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9976,0.0471,0.0453,0.0224
collar_L,0.9991,0.04,0.0168,-0.0006
neckfk,1.0,0.0023,0.0054,0.0023
headfk,0.9999,0.0049,0.0108,0.002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,-0.0012,-0.0005
chest_3,0.9998,-0.019,-0.0049,-0.0081
chest_2,1.0,0.0003,-0.0017,-0.0004
chest_1,1.0,0.0004,-0.0045,-0.0013
hip,1.0,-0.0009,-0.0007,-0.0004
