motion_name,SG ASL Differ 2 2026-7-20 metarig A
pose_name,SG ASL Differ 2 2026-7-20 metarig A P1
export_date,2026-7-20
current_frame,39
frame_budget,39

bone_name,w,x,y,z
spine,0.9918,-0.1282,-0.0003,0.0007
spine.001,0.9979,0.0649,0.0002,-0.0002
spine.002,0.9968,0.0775,0.0175,0.0014
spine.003,0.9995,-0.0236,-0.0207,-0.0078
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.9955,0.095,-0.002,0.0006
spine.006,0.9958,0.0911,-0.0027,0.0019
face,1.0,0.0,0.0,0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,0.0,0.0,0.0
nose.002,1.0,-0.0,-0.0,0.0
nose.003,1.0,-0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,-0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,-0.0,0.0
jaw,1.0,0.0,-0.0,0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,-0.0,-0.0,-0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,-0.0,-0.0,-0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,-0.0,-0.0,0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,-0.0,0.0,0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,0.0,0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,-0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,0.0
lid.B.L,1.0,-0.0,-0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,-0.0,0.0
lid.B.L.003,1.0,-0.0,0.0,0.0
brow.B.R,1.0,0.0,0.0,0.0
brow.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,0.0,0.0,0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,0.0,-0.0,0.0
lid.T.R.002,1.0,0.0,0.0,0.0
lid.T.R.003,1.0,0.0,0.0,0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,-0.0,0.0,-0.0
lid.B.R.003,1.0,-0.0,-0.0,-0.0
forehead.L,1.0,0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,-0.0,-0.0
temple.L,1.0,-0.0,0.0,0.0
jaw.L,1.0,0.0,0.0,0.0
jaw.L.001,1.0,0.0,-0.0,0.0
