motion_name,SG ASL Differ 2 2026-7-20 metarig T
pose_name,SG ASL Differ 2 2026-7-20 metarig T P3
export_date,2026-7-20
current_frame,68
frame_budget,14

bone_name,w,x,y,z
spine,0.9921,-0.1255,0.0001,0.0001
spine.001,0.9979,0.0651,0.0009,0.0001
spine.002,0.9968,0.0777,0.0179,0.0014
spine.003,0.9995,-0.0236,-0.0204,-0.0077
spine.004,0.98,-0.1989,0.0003,0.0
spine.005,0.9954,0.0957,-0.0006,-0.0002
spine.006,0.9957,0.0926,-0.0005,-0.0001
face,1.0,0.0,0.0,0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,-0.0,-0.0,-0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,-0.0,0.0,0.0
chin,1.0,-0.0,0.0,-0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,-0.0,-0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,-0.0,0.0,0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,-0.0,0.0,0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,0.0,0.0
brow.B.L,1.0,0.0,-0.0,-0.0
brow.B.L.001,1.0,0.0,-0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,0.0,0.0
lid.T.L,1.0,-0.0,0.0,0.0
lid.T.L.001,1.0,-0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,-0.0,-0.0,0.0
brow.B.R,1.0,0.0,-0.0,-0.0
brow.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,0.0,-0.0,0.0
lid.T.R,1.0,0.0,0.0,0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,-0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,-0.0,0.0
lid.B.R.002,1.0,0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,0.0
forehead.L,1.0,-0.0,-0.0,0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,0.0,-0.0,0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,-0.0,0.0,0.0
cheek.B.L,1.0,-0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,0.0,0.0
brow.T.L.002,1.0,-0.0,-0.0,-0.0
brow.T.L.003,1.0,0.0,0.0,-0.0
forehead.R,1.0,0.0,-0.0,0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,-0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,0.0,0.0,0.0
cheek.B.R,1.0,0.0,-0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,0.0,0.0,0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,0.0,0.0,-0.0
eye.R,1.0,0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,0.0,-0.0,0.0
teeth.B,1.0,0.0,-0.0,0.0
tongue,1.0,0.0,-0.0,-0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,-0.0,-0.0,0.0
shoulder.L,1.0,0.0,0.0,0.0
upper_arm.L,0.6431,0.4351,0.6295,0.0293
forearm.L,0.7597,-0.1699,0.0632,0.6244
hand.L,0.8839,-0.2103,0.3144,0.2749
palm.01.L,0.7528,0.0411,-0.6566,-0.0232
f_index.01.L,0.9934,-0.1099,-0.0334,-0.0026
f_index.02.L,0.9963,-0.0844,0.0148,0.0024
f_index.03.L,0.9928,-0.115,0.0079,0.0332
thumb.01.L,0.9578,0.1299,-0.0121,0.2562
thumb.02.L,0.9978,-0.023,-0.0502,-0.0374
thumb.03.L,0.991,0.1173,-0.0588,-0.0276
palm.02.L,0.7708,0.1478,-0.6189,-0.0321
f_middle.01.L,0.8769,0.4762,-0.0571,0.0325
f_middle.02.L,0.8171,0.5762,0.0197,-0.0066
f_middle.03.L,0.7821,0.6222,-0.002,-0.0333
palm.03.L,0.7661,0.2287,-0.5989,-0.0467
f_ring.01.L,0.9379,0.3447,0.0039,0.0381
f_ring.02.L,0.7542,0.6559,0.0285,-0.0136
f_ring.03.L,0.8648,0.4947,0.0317,0.0793
palm.04.L,0.7777,0.3235,-0.5342,-0.0711
f_pinky.01.L,0.9482,0.2526,0.0929,0.1688
f_pinky.02.L,0.7307,0.6823,0.0105,-0.0173
f_pinky.03.L,0.7164,0.6902,-0.0384,0.0942
shoulder.R,1.0,0.0,-0.0,-0.0
upper_arm.R,0.8067,0.2577,-0.5308,0.0321
forearm.R,0.7339,-0.1682,-0.0667,-0.6547
hand.R,0.9195,0.0208,-0.2202,-0.325
palm.01.R,0.7782,0.0264,0.6114,0.1411
f_index.01.R,0.9937,-0.1067,0.0338,0.0062
f_index.02.R,0.9964,-0.084,-0.0148,-0.0024
f_index.03.R,0.9927,-0.116,-0.0079,-0.0332
thumb.01.R,0.9561,0.1354,0.008,-0.2597
thumb.02.R,0.9977,-0.0226,0.0504,0.0381
thumb.03.R,0.9911,0.1161,0.058,0.0284
palm.02.R,0.7913,0.1313,0.5776,0.152
f_middle.01.R,0.88,0.4704,0.0576,-0.0317
f_middle.02.R,0.8152,0.5788,-0.0196,0.0068
f_middle.03.R,0.7822,0.6222,0.002,0.0333
palm.03.R,0.7876,0.2027,0.558,0.1651
f_ring.01.R,0.9408,0.3367,-0.0047,-0.0387
f_ring.02.R,0.7542,0.6559,-0.0285,0.0136
f_ring.03.R,0.8649,0.4946,-0.0319,-0.0793
palm.04.R,0.7976,0.2755,0.512,0.1608
f_pinky.01.R,0.956,0.2468,-0.0609,-0.1462
f_pinky.02.R,0.7268,0.6865,-0.0106,0.0174
f_pinky.03.R,0.7135,0.6932,0.0389,-0.0938
breast.L,1.0,-0.0,0.0,0.0
breast.R,1.0,-0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,0.0
pelvis.R,1.0,0.0,0.0,0.0
thigh.L,0.002,-0.0025,-0.9844,-0.176
shin.L,0.9953,-0.0898,-0.0366,0.0032
foot.L,0.4573,0.8886,0.0365,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,0.0,0.0
thigh.R,0.0016,-0.0028,0.9844,0.176
shin.R,0.9953,-0.0899,0.0368,-0.0032
foot.R,0.4571,0.8887,-0.0368,0.0029
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
