motion_name,SG ASL Different 2026-7-21
pose_name,SG ASL Different 2026-7-21 P5
export_date,2026-7-21
current_frame,132
frame_budget,24

bone_name,w,x,y,z
bicepfk_L,0.6677,0.7063,0.1067,0.2095
forearmfk_L,0.6952,-0.0454,-0.0477,0.7158
handfk_L,0.8027,0.0528,0.592,-0.0492
bicepfk_R,0.8442,0.5185,-0.1237,0.0567
forearmfk_R,0.5935,-0.0485,0.0413,-0.8023
handfk_R,0.8169,-0.0067,-0.5548,-0.1579
thighfk_L,0.999,-0.0143,-0.0424,0.0012
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0263,0.9991,0.0164
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9999,-0.0104,0.0061,0.0009
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.029,-0.0264,-0.999,-0.0207
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7789,0.4394,0.4127,0.173
thumbfk_02_L,0.9893,0.1047,-0.0302,-0.0967
thumbfk_03_L,0.9913,0.1076,-0.0318,-0.0687
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0235
pinkyfk_01_L,0.7802,0.6085,-0.1317,0.0605
pinkyfk_02_L,0.6033,0.7969,0.0001,-0.0313
pinkyfk_03_L,0.567,0.8148,-0.0819,0.0885
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9998,-0.003,0.0056,0.0205
indexfk_02_L,0.9999,-0.0154,0.0002,-0.0
indexfk_03_L,1.0,-0.0032,0.0002,0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0082,-0.0082
middlefk_01_L,0.6843,0.7274,-0.0389,0.0339
middlefk_02_L,0.5978,0.8014,-0.0204,0.0057
middlefk_03_L,0.6483,0.7599,-0.026,-0.0411
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0223,0.0149
ringfk_01_L,0.7353,0.6744,-0.0664,0.0135
ringfk_02_L,0.5705,0.8212,0.0003,-0.0139
ringfk_03_L,0.7113,0.6983,-0.0408,0.0689
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7709,0.4431,-0.4248,-0.17
thumbfk_02_R,0.9896,0.1039,0.0279,0.0951
thumbfk_03_R,0.9918,0.1017,0.0272,0.0729
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0212
pinkyfk_01_R,0.8178,0.5561,0.1287,-0.0736
pinkyfk_02_R,0.6443,0.7642,0.0014,0.0305
pinkyfk_03_R,0.5903,0.7978,0.0795,-0.0938
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,-0.0,-0.0007,0.0007
indexfk_01_R,1.0,0.0068,-0.0059,0.001
indexfk_02_R,1.0,-0.0027,-0.0002,0.0
indexfk_03_R,1.0,-0.0046,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0075,0.0075
middlefk_01_R,0.7336,0.6765,0.0584,0.0269
middlefk_02_R,0.6785,0.7343,0.0197,-0.0069
middlefk_03_R,0.6939,0.7185,0.0273,0.0395
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0202,-0.0135
ringfk_01_R,0.7808,0.6216,0.0635,0.0043
ringfk_02_R,0.6336,0.7736,-0.0002,0.0142
ringfk_03_R,0.7348,0.6735,0.0385,-0.07
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9952,0.0122,0.0773,-0.058
collar_L,0.9934,0.0254,-0.0183,0.1104
neckfk,0.9998,-0.0189,0.0013,0.0025
headfk,0.9994,-0.0352,0.0036,0.0045
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0006,-0.0075,-0.001
chest_3,0.9997,-0.02,-0.0132,-0.0089
chest_2,0.9999,-0.0008,-0.0101,-0.0003
chest_1,0.9997,-0.0018,-0.0228,-0.0007
hip,0.9998,-0.0011,-0.0181,-0.0014
