motion_name,SG ASL Difficult Alt 2026-7-21
pose_name,SG ASL Difficult Alt 2026-7-21 P4
export_date,2026-7-21
current_frame,69
frame_budget,8

bone_name,w,x,y,z
bicepfk_L,0.7375,0.6291,0.0582,0.2387
forearmfk_L,0.7164,-0.0389,-0.0489,0.6949
handfk_L,0.9788,-0.0405,0.1997,0.0217
bicepfk_R,0.7148,0.6592,-0.1476,-0.181
forearmfk_R,0.5501,-0.0527,0.0368,-0.8326
handfk_R,0.9831,-0.0372,-0.1123,0.1396
thighfk_L,0.9996,-0.014,-0.0253,-0.0009
shinfk_L,0.9996,0.0268,0.0087,0.0043
footfk_L,0.0287,-0.0268,0.999,0.0189
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0139,0.0231,-0.0012
shinfk_R,0.9996,0.0267,-0.0091,-0.0043
footfk_R,0.0288,-0.0263,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8073,0.404,0.4022,0.1525
thumbfk_02_L,0.9894,0.1048,-0.0301,-0.0963
thumbfk_03_L,0.9916,0.1035,-0.028,-0.0724
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0201
pinkyfk_01_L,0.8373,0.5311,-0.1196,0.0505
pinkyfk_02_L,0.7062,0.7074,0.0001,-0.0297
pinkyfk_03_L,0.644,0.7557,-0.0722,0.0944
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9995,0.0,0.0223,-0.0223
indexfk_01_L,0.974,0.2212,-0.0073,-0.0474
indexfk_02_L,0.6334,0.7739,0.0,-0.0
indexfk_03_L,0.8531,0.5218,-0.0005,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0011,-0.0011
middlefk_01_L,0.9937,0.1104,-0.0176,0.0108
middlefk_02_L,0.6567,0.7541,0.0,-0.0
middlefk_03_L,0.8323,0.5543,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0181,0.0121
ringfk_01_L,0.8219,0.5662,-0.0624,-0.0061
ringfk_02_L,0.592,0.806,0.0,0.0001
ringfk_03_L,0.7765,0.6249,-0.0349,0.0727
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8018,0.41,-0.4071,-0.1525
thumbfk_02_R,0.9896,0.104,0.0298,0.0943
thumbfk_03_R,0.9914,0.1057,0.0298,0.0709
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0198
pinkyfk_01_R,0.8405,0.5257,0.1205,-0.0511
pinkyfk_02_R,0.7075,0.7061,-0.0,0.0297
pinkyfk_03_R,0.641,0.7583,0.0728,-0.094
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,0.0,-0.0095,0.0095
indexfk_01_R,0.9945,0.0951,-0.0001,-0.0449
indexfk_02_R,0.7893,0.614,-0.0,0.0
indexfk_03_R,0.9147,0.4042,0.0004,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0009,0.0009
middlefk_01_R,0.9959,0.0895,0.0107,-0.0087
middlefk_02_R,0.6466,0.7628,-0.0,0.0
middlefk_03_R,0.8487,0.5289,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.018,-0.012
ringfk_01_R,0.8245,0.5623,0.0629,0.008
ringfk_02_R,0.5488,0.836,-0.0,-0.0001
ringfk_03_R,0.7762,0.6253,0.035,-0.0727
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9929,0.0111,0.0973,-0.0679
collar_L,0.9958,0.0187,-0.0006,0.0897
neckfk,0.9998,-0.0143,-0.0071,0.0081
headfk,0.9994,-0.0287,-0.0097,0.0176
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0011,-0.0015,-0.0019
chest_3,0.9998,-0.0178,-0.0052,-0.0101
chest_2,1.0,0.0015,-0.0023,-0.0022
chest_1,1.0,0.0033,-0.0052,-0.0053
hip,1.0,-0.0029,-0.0011,0.0011
