motion_name,SG ASL Difficult Alt 2026-7-21 metarig T
pose_name,SG ASL Difficult Alt 2026-7-21 metarig T P3
export_date,2026-7-21
current_frame,61
frame_budget,6

bone_name,w,x,y,z
spine,0.992,-0.1263,-0.0008,0.0003
spine.001,0.9977,0.0667,-0.0052,-0.0044
spine.002,0.9968,0.0784,0.0152,-0.0005
spine.003,0.9994,-0.0228,-0.0229,-0.0097
spine.004,0.9801,-0.1984,-0.0019,-0.0011
spine.005,0.9965,0.0834,-0.0044,0.007
spine.006,0.9977,0.0663,-0.0046,0.0147
face,1.0,-0.0,-0.0,0.0
nose,1.0,0.0,0.0,0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,-0.0,0.0,-0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,-0.0,-0.0,-0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,0.0,0.0
ear.L.003,1.0,0.0,0.0,-0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,0.0,-0.0,-0.0
ear.R.003,1.0,0.0,0.0,-0.0
ear.R.004,1.0,-0.0,0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,0.0
lip.B.R,1.0,-0.0,-0.0,-0.0
lip.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,-0.0
brow.B.L.001,1.0,-0.0,-0.0,0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,0.0,-0.0,0.0
lid.T.L,1.0,0.0,-0.0,-0.0
lid.T.L.001,1.0,-0.0,-0.0,0.0
lid.T.L.002,1.0,0.0,0.0,-0.0
lid.T.L.003,1.0,0.0,0.0,0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,-0.0
lid.B.L.003,1.0,0.0,-0.0,-0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,-0.0
lid.T.R,1.0,-0.0,0.0,0.0
lid.T.R.001,1.0,-0.0,-0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,-0.0
lid.T.R.003,1.0,0.0,0.0,0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,0.0,0.0,0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,-0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,-0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,-0.0,-0.0,0.0
chin.L,1.0,-0.0,0.0,0.0
cheek.B.L,1.0,-0.0,-0.0,-0.0
cheek.B.L.001,1.0,0.0,-0.0,0.0
brow.T.L,1.0,-0.0,0.0,-0.0
brow.T.L.001,1.0,-0.0,0.0,0.0
brow.T.L.002,1.0,0.0,-0.0,-0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,-0.0
temple.R,1.0,-0.0,-0.0,-0.0
jaw.R,1.0,0.0,-0.0,0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,-0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,-0.0
brow.T.R,1.0,0.0,-0.0,0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,-0.0,-0.0
eye.L,1.0,0.0,0.0,-0.0
eye.R,1.0,0.0,0.0,-0.0
cheek.T.L,1.0,-0.0,-0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,0.0,-0.0,-0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,0.0,-0.0,-0.0
teeth.B,1.0,0.0,-0.0,-0.0
tongue,1.0,-0.0,0.0,0.0
tongue.001,1.0,0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,-0.0
shoulder.L,1.0,0.0,-0.0,-0.0
upper_arm.L,0.4343,0.5261,0.7295,-0.0491
forearm.L,0.6693,-0.1599,0.0829,0.7209
hand.L,0.9106,-0.0517,-0.4031,0.0752
palm.01.L,0.9427,-0.0825,-0.3147,-0.0735
f_index.01.L,0.9937,0.0855,-0.0669,0.0281
f_index.02.L,0.6737,0.7389,0.0109,-0.0101
f_index.03.L,0.8993,0.436,0.0238,0.0238
thumb.01.L,0.9627,0.1188,0.0067,0.2431
