motion_name,SG ASL Difficult Another 2026-7-21
pose_name,SG ASL Difficult Another 2026-7-21 P3
export_date,2026-7-21
current_frame,56
frame_budget,17

bone_name,w,x,y,z
bicepfk_L,0.8635,0.49,0.0798,0.0885
forearmfk_L,0.5124,-0.0537,-0.0335,0.8564
handfk_L,0.7898,0.543,-0.2728,-0.0837
bicepfk_R,0.8073,0.5528,-0.193,-0.0741
forearmfk_R,0.5541,-0.0517,0.0355,-0.8301
handfk_R,0.8427,0.5117,0.1634,0.037
thighfk_L,0.9997,-0.012,-0.0235,0.0001
shinfk_L,0.9996,0.0269,0.0088,0.0043
footfk_L,0.029,-0.0262,0.9991,0.0193
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0122,0.025,-0.0002
shinfk_R,0.9996,0.0269,-0.0093,-0.0042
footfk_R,0.0286,-0.0271,-0.999,-0.0191
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7972,0.4134,0.4188,0.1349
thumbfk_02_L,0.981,0.1729,-0.0422,-0.0777
thumbfk_03_L,0.9826,0.1731,-0.0352,-0.0572
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.022
pinkyfk_01_L,0.804,0.5745,-0.1332,0.0756
pinkyfk_02_L,0.7101,0.7035,-0.0012,-0.0277
pinkyfk_03_L,0.6756,0.7284,-0.0679,0.0922
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9951,-0.0804,-0.0321,0.0472
indexfk_02_L,0.6639,0.7479,0.0,0.0
indexfk_03_L,0.8465,0.5324,-0.0005,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0014,-0.0014
middlefk_01_L,0.9894,0.1389,-0.0379,0.0192
middlefk_02_L,0.7207,0.6933,0.0,0.0
middlefk_03_L,0.8348,0.5505,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0184,0.0123
ringfk_01_L,0.8172,0.5731,-0.0591,-0.0107
ringfk_02_L,0.719,0.6949,-0.0001,-0.0109
ringfk_03_L,0.7755,0.6268,-0.0323,0.0685
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8203,0.3917,-0.3914,-0.1432
thumbfk_02_R,0.9791,0.1836,0.0414,0.077
thumbfk_03_R,0.9795,0.1919,0.0366,0.0498
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0224
pinkyfk_01_R,0.8002,0.5845,0.1225,-0.0551
pinkyfk_02_R,0.7016,0.712,0.0008,0.028
pinkyfk_03_R,0.6597,0.7428,0.0694,-0.0905
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,0.0,-0.0105,0.0105
indexfk_01_R,0.9884,0.1071,-0.0178,-0.1061
indexfk_02_R,0.7736,0.6337,-0.0,0.0
indexfk_03_R,0.9085,0.4178,0.0003,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0014,0.0014
middlefk_01_R,0.9896,0.1401,0.0238,-0.0202
middlefk_02_R,0.6417,0.7669,-0.0,0.0
middlefk_03_R,0.8297,0.5582,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0187,-0.0125
ringfk_01_R,0.8113,0.5809,0.0648,0.0048
ringfk_02_R,0.684,0.7294,0.0,0.0109
ringfk_03_R,0.7636,0.6412,0.0339,-0.0679
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9954,0.0597,0.0658,-0.0372
collar_L,0.9944,0.0901,0.0228,0.0499
neckfk,1.0,-0.004,0.0006,0.0002
headfk,1.0,-0.0075,0.0011,0.0
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,-0.001,-0.0
chest_3,0.9998,-0.0192,-0.0048,-0.0075
chest_2,1.0,0.0001,-0.0016,0.0001
chest_1,1.0,0.0011,-0.0036,0.0003
hip,1.0,-0.0008,0.0007,0.0001
