motion_name,SG ASL Difficult Another 2026-7-21 metarig T
pose_name,SG ASL Difficult Another 2026-7-21 metarig T P2
export_date,2026-7-21
current_frame,39
frame_budget,11

bone_name,w,x,y,z
spine,0.992,-0.1259,0.0006,0.0001
spine.001,0.9979,0.065,-0.0005,-0.0002
spine.002,0.9968,0.0775,0.0175,0.0014
spine.003,0.9995,-0.024,-0.021,-0.0078
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.9956,0.0932,0.0001,-0.0005
spine.006,0.9961,0.0877,0.0005,-0.001
face,1.0,-0.0,0.0,-0.0
nose,1.0,0.0,-0.0,0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,-0.0,0.0,0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,-0.0,0.0,-0.0
jaw,1.0,0.0,-0.0,0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,0.0,-0.0
ear.R.002,1.0,0.0,-0.0,-0.0
ear.R.003,1.0,0.0,0.0,0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,-0.0
lip.B.R,1.0,0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,0.0,0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,-0.0,-0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,-0.0,-0.0,0.0
lid.B.L.002,1.0,0.0,-0.0,-0.0
lid.B.L.003,1.0,0.0,-0.0,0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,0.0,0.0,0.0
lid.T.R.001,1.0,-0.0,0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,-0.0
lid.T.R.003,1.0,0.0,0.0,-0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,0.0
lid.B.R.003,1.0,-0.0,0.0,-0.0
forehead.L,1.0,-0.0,0.0,0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,-0.0,0.0,-0.0
temple.L,1.0,-0.0,-0.0,0.0
jaw.L,1.0,-0.0,0.0,0.0
jaw.L.001,1.0,-0.0,0.0,-0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,0.0
brow.T.L,1.0,-0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,-0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,0.0,0.0,-0.0
forehead.R.002,1.0,0.0,0.0,-0.0
temple.R,1.0,-0.0,-0.0,0.0
jaw.R,1.0,0.0,-0.0,0.0
jaw.R.001,1.0,0.0,-0.0,0.0
chin.R,1.0,0.0,-0.0,0.0
cheek.B.R,1.0,0.0,0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,-0.0,0.0
brow.T.R.002,1.0,-0.0,0.0,0.0
brow.T.R.003,1.0,-0.0,-0.0,-0.0
eye.L,1.0,0.0,-0.0,0.0
eye.R,1.0,0.0,-0.0,0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,-0.0,-0.0,0.0
nose.L,1.0,-0.0,0.0,-0.0
nose.L.001,1.0,0.0,0.0,-0.0
cheek.T.R,1.0,-0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,-0.0,0.0,0.0
teeth.B,1.0,-0.0,0.0,0.0
tongue,1.0,-0.0,0.0,0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.5151,0.389,0.7585,-0.0901
forearm.L,0.4902,-0.1403,0.1156,0.8524
hand.L,0.1058,0.6983,-0.7065,0.0446
palm.01.L,0.7776,-0.2797,0.0047,-0.5631
f_index.01.L,0.9825,-0.1333,-0.0365,0.1248
f_index.02.L,0.7047,0.7094,0.0113,-0.0096
f_index.03.L,0.9437,0.329,0.021,0.0263
thumb.01.L,0.9629,0.1108,0.0488,0.241
thumb.02.L,0.9979,0.0363,-0.0449,-0.0302
thumb.03.L,0.9863,0.1562,-0.0417,-0.0319
palm.02.L,0.7718,-0.2409,-0.0156,-0.5882
f_middle.01.L,0.9935,-0.1081,-0.0319,0.0182
f_middle.02.L,0.6399,0.7674,0.0311,-0.0257
f_middle.03.L,0.8493,0.5271,0.028,0.0049
palm.03.L,0.7733,-0.2527,-0.039,-0.5801
f_ring.01.L,0.906,0.4206,-0.0307,0.0361
f_ring.02.L,0.6305,0.7756,0.0287,-0.011
f_ring.03.L,0.8576,0.5069,0.03,0.0811
palm.04.L,0.7292,-0.2248,-0.0805,-0.6413
f_pinky.01.L,0.9316,0.3239,0.109,0.1242
f_pinky.02.L,0.6981,0.7156,0.013,-0.0203
f_pinky.03.L,0.693,0.7137,-0.0421,0.093
shoulder.R,1.0,0.0,0.0,-0.0
upper_arm.R,0.4965,0.3883,-0.7688,0.1075
forearm.R,0.5304,-0.1422,-0.1061,-0.829
hand.R,0.2127,0.7049,0.6723,-0.0767
palm.01.R,0.7915,-0.2428,0.0405,0.5594
f_index.01.R,0.9917,-0.0214,0.01,-0.1268
f_index.02.R,0.8446,0.5352,-0.0132,0.0069
f_index.03.R,0.9573,0.2872,-0.0199,-0.0272
thumb.01.R,0.9454,0.1403,-0.0937,-0.2789
thumb.02.R,0.998,0.0128,0.0521,0.0337
thumb.03.R,0.9884,0.1381,0.0562,0.0305
palm.02.R,0.7906,-0.2033,0.0608,0.5744
f_middle.01.R,0.991,-0.1289,0.0306,-0.0207
f_middle.02.R,0.7156,0.6974,-0.0336,0.0223
f_middle.03.R,0.8937,0.4477,-0.0274,-0.0075
palm.03.R,0.7911,-0.2077,0.0778,0.5701
f_ring.01.R,0.9318,0.3625,0.0167,-0.0125
f_ring.02.R,0.6586,0.7519,-0.0287,0.0099
f_ring.03.R,0.8547,0.5121,-0.0299,-0.0802
palm.04.R,0.7777,-0.1801,0.1029,0.5934
f_pinky.01.R,0.9406,0.3165,-0.0464,-0.114
f_pinky.02.R,0.7148,0.6989,-0.0122,0.0194
f_pinky.03.R,0.7125,0.6939,0.0395,-0.0959
breast.L,1.0,-0.0,0.0,-0.0
breast.R,1.0,-0.0,0.0,-0.0
pelvis.L,1.0,-0.0,0.0,-0.0
pelvis.R,1.0,-0.0,-0.0,0.0
thigh.L,0.0025,-0.0023,-0.9843,-0.1764
shin.L,0.9953,-0.0898,-0.0364,0.0032
foot.L,0.4574,0.8885,0.0368,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,0.0,-0.0
thigh.R,0.0011,-0.0029,0.9843,0.1766
shin.R,0.9953,-0.0898,0.0368,-0.0032
foot.R,0.4571,0.8887,-0.0368,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,0.0,-0.0
