motion_name,SG ASL Dig 2026-7-24 metarig T
pose_name,SG ASL Dig 2026-7-24 metarig T P1
export_date,2026-7-24
current_frame,42
frame_budget,42

bone_name,w,x,y,z
spine,0.992,-0.1261,0.0007,-0.0002
spine.001,0.9972,0.0722,0.0048,0.0161
spine.002,0.9965,0.0805,0.0196,0.0085
spine.003,0.9996,-0.0204,-0.0191,-0.0003
spine.004,0.9804,-0.1968,0.0024,0.005
spine.005,0.9954,0.0954,-0.0065,0.0022
spine.006,0.9957,0.0915,-0.0102,0.0066
face,1.0,0.0,0.0,0.0
nose,1.0,-0.0,-0.0,-0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,-0.0,-0.0,0.0
jaw,1.0,0.0,-0.0,0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,0.0,0.0,-0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,0.0,-0.0,-0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,0.0,0.0,0.0
ear.R,1.0,0.0,-0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,0.0,-0.0,0.0
ear.R.003,1.0,0.0,0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,-0.0,-0.0,0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,-0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
lid.T.L,1.0,0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,0.0,0.0,0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,0.0,-0.0,-0.0
brow.B.R,1.0,-0.0,-0.0,-0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,-0.0,0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,-0.0,-0.0,0.0
lid.T.R.003,1.0,0.0,0.0,-0.0
lid.B.R,1.0,0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,-0.0
forehead.L,1.0,-0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,0.0,0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,0.0,0.0,-0.0
brow.T.L.002,1.0,-0.0,-0.0,-0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,0.0,0.0,0.0
temple.R,1.0,0.0,0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,-0.0,-0.0,-0.0
chin.R,1.0,0.0,-0.0,0.0
cheek.B.R,1.0,-0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,-0.0,0.0
brow.T.R,1.0,-0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,0.0,-0.0,-0.0
cheek.T.L.001,1.0,0.0,0.0,0.0
nose.L,1.0,0.0,-0.0,0.0
nose.L.001,1.0,0.0,0.0,-0.0
cheek.T.R,1.0,-0.0,0.0,0.0
cheek.T.R.001,1.0,-0.0,0.0,0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,0.0,0.0,-0.0
teeth.T,1.0,0.0,-0.0,0.0
teeth.B,1.0,0.0,-0.0,0.0
tongue,1.0,-0.0,-0.0,0.0
tongue.001,1.0,0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.5211,0.2948,0.7834,-0.1665
forearm.L,0.7586,-0.1691,0.0591,0.6264
hand.L,0.7693,0.1596,0.4824,-0.3874
palm.01.L,0.6731,-0.2652,-0.6714,-0.161
f_index.01.L,0.7134,0.6829,0.0033,0.157
f_index.02.L,0.8112,0.5827,-0.0473,-0.0131
f_index.03.L,0.8222,0.5639,0.0543,0.0561
thumb.01.L,0.9622,-0.0747,-0.0626,0.2542
thumb.02.L,0.9802,0.1953,0.0101,0.0292
thumb.03.L,0.9489,0.3121,-0.0173,0.0443
palm.02.L,0.658,-0.2222,-0.7137,-0.091
f_middle.01.L,0.8092,0.5839,0.0083,0.0643
f_middle.02.L,0.7712,0.6366,-0.0017,-0.0049
f_middle.03.L,0.8235,0.564,0.0206,0.0571
palm.03.L,0.6518,-0.1329,-0.7412,-0.0903
f_ring.01.L,0.876,0.4773,0.0577,0.0378
f_ring.02.L,0.7437,0.6678,0.0288,-0.0142
f_ring.03.L,0.8005,0.5935,0.0254,0.0792
palm.04.L,0.659,0.0077,-0.741,-0.1288
f_pinky.01.L,0.8655,0.4638,0.1759,0.0695
f_pinky.02.L,0.6953,0.7185,0.0118,0.0107
f_pinky.03.L,0.8139,0.5738,0.0818,0.0403
shoulder.R,1.0,-0.0,-0.0,0.0
upper_arm.R,0.2554,0.481,-0.83,0.1209
forearm.R,0.7224,-0.163,-0.0692,-0.6685
hand.R,0.4136,-0.0667,0.9035,0.0906
palm.01.R,0.9778,-0.1818,-0.0876,0.0573
f_index.01.R,0.7124,0.6838,-0.0045,-0.1576
f_index.02.R,0.8108,0.5833,0.0476,0.0131
f_index.03.R,0.8212,0.5653,-0.0543,-0.0562
thumb.01.R,0.9627,-0.0735,0.0672,-0.2517
thumb.02.R,0.9801,0.1961,-0.0101,-0.0283
thumb.03.R,0.9484,0.3133,0.0177,-0.045
palm.02.R,0.989,-0.1432,-0.0357,-0.0046
f_middle.01.R,0.8081,0.5854,-0.0084,-0.0645
f_middle.02.R,0.7714,0.6363,0.0018,0.0048
f_middle.03.R,0.8238,0.5637,-0.0206,-0.0572
palm.03.R,0.9902,-0.1382,-0.007,-0.0196
f_ring.01.R,0.8747,0.4796,-0.0582,-0.0378
f_ring.02.R,0.7432,0.6683,-0.0287,0.0143
f_ring.03.R,0.799,0.5955,-0.0252,-0.0791
palm.04.R,0.9876,-0.1569,-0.0082,0.0049
f_pinky.01.R,0.8763,0.4628,-0.1246,-0.0487
f_pinky.02.R,0.6945,0.7193,-0.0118,-0.0108
f_pinky.03.R,0.8134,0.5744,-0.0819,-0.0404
breast.L,1.0,0.0,0.0,-0.0
breast.R,1.0,0.0,0.0,-0.0
pelvis.L,1.0,0.0,-0.0,0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0026,-0.0026,-0.9843,-0.1766
shin.L,0.9953,-0.0898,-0.0366,0.0032
foot.L,0.4572,0.8886,0.0372,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,0.0,0.0
thigh.R,0.001,-0.0026,0.9842,0.1768
shin.R,0.9953,-0.0899,0.0367,-0.0033
foot.R,0.457,0.8887,-0.0371,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
