motion_name,SG ASL Dig Alt 2026-7-22
pose_name,SG ASL Dig Alt 2026-7-22 P3
export_date,2026-7-22
current_frame,71
frame_budget,14

bone_name,w,x,y,z
bicepfk_L,0.6179,0.656,0.0638,0.4288
forearmfk_L,0.6254,-0.0519,-0.0464,0.7772
handfk_L,0.9578,0.0961,0.2678,-0.0401
bicepfk_R,0.9183,0.2429,0.2324,-0.2091
forearmfk_R,0.4119,-0.0603,0.0295,-0.9088
handfk_R,0.8904,-0.3807,0.2475,0.0315
thighfk_L,0.9998,-0.0107,-0.0157,-0.0004
shinfk_L,0.9996,0.0269,0.0069,0.0042
footfk_L,0.0285,-0.0276,0.999,0.019
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0125,0.0328,-0.0007
shinfk_R,0.9996,0.0268,-0.0091,-0.0041
footfk_R,0.0291,-0.0257,-0.9991,-0.0172
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7788,0.3823,0.368,0.3344
thumbfk_02_L,0.9539,0.2932,-0.0606,-0.022
thumbfk_03_L,0.9529,0.2897,-0.0713,0.0545
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0206
pinkyfk_01_L,0.8296,0.5503,-0.0879,-0.0347
pinkyfk_02_L,0.776,0.6307,0.0001,-0.0022
pinkyfk_03_L,0.8409,0.5394,0.034,0.0281
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9964,-0.0,0.0599,-0.0599
indexfk_01_L,0.8254,0.5636,-0.0087,-0.0299
indexfk_02_L,0.7615,0.6471,-0.037,-0.005
indexfk_03_L,0.8315,0.5549,0.0146,0.0237
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0066,-0.0066
middlefk_01_L,0.7868,0.6152,-0.0444,-0.0222
middlefk_02_L,0.6958,0.7179,-0.0237,0.0065
middlefk_03_L,0.8251,0.564,-0.0061,0.0328
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0171,0.0114
ringfk_01_L,0.8412,0.5384,-0.0468,-0.0165
ringfk_02_L,0.7545,0.6563,-0.0001,-0.0083
ringfk_03_L,0.8093,0.5847,-0.0277,0.0485
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8422,0.3447,-0.3627,-0.2009
thumbfk_02_R,0.9459,0.3237,-0.0072,0.0202
thumbfk_03_R,0.9512,0.3085,0.0,-0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0284
pinkyfk_01_R,0.6881,0.7239,0.0475,-0.0164
pinkyfk_02_R,0.672,0.7406,0.0002,0.0008
pinkyfk_03_R,0.7597,0.6464,-0.053,-0.0472
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9925,-0.0,-0.0862,0.0862
indexfk_01_R,0.6505,0.7593,0.0087,-0.0135
indexfk_02_R,0.7581,0.6493,0.0595,0.0106
indexfk_03_R,0.7541,0.6552,-0.0225,-0.0391
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0082,0.0082
middlefk_01_R,0.6851,0.7282,0.004,-0.0168
middlefk_02_R,0.6887,0.724,0.0386,-0.01
middlefk_03_R,0.7906,0.6099,0.0106,-0.0529
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0226,-0.015
ringfk_01_R,0.7299,0.6831,0.0174,-0.0205
ringfk_02_R,0.6918,0.722,-0.0003,0.0135
ringfk_03_R,0.6997,0.709,0.0422,-0.0773
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9954,0.0658,0.069,-0.0066
collar_L,0.993,0.0912,0.0066,0.0754
neckfk,1.0,0.0038,0.0006,0.0008
headfk,1.0,0.0069,0.0012,0.0009
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0002,-0.0015,-0.0002
chest_3,0.9998,-0.0195,-0.0052,-0.0077
chest_2,1.0,-0.0002,-0.0021,-0.0001
chest_1,1.0,-0.0008,-0.0054,-0.0001
hip,1.0,-0.0004,0.0085,0.0007
