motion_name,SG ASL Digest 2026-7-22
pose_name,SG ASL Digest 2026-7-22 P5
export_date,2026-7-22
current_frame,70
frame_budget,9

bone_name,w,x,y,z
bicepfk_L,0.795,0.4675,0.1701,0.3473
forearmfk_L,0.8246,-0.035,-0.0521,0.5623
handfk_L,0.619,-0.2729,-0.7338,0.063
bicepfk_R,0.6868,0.5187,-0.2478,-0.4447
forearmfk_R,0.7652,-0.0383,0.0512,-0.6405
handfk_R,0.7645,-0.2294,-0.5188,0.3063
thighfk_L,0.9991,-0.0128,-0.0396,0.0004
shinfk_L,0.9996,0.0271,0.0082,0.0043
footfk_L,0.0286,-0.0272,0.9991,0.0173
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9999,-0.0096,0.0089,0.0
shinfk_R,0.9996,0.027,-0.01,-0.0041
footfk_R,0.029,-0.0258,-0.999,-0.02
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8164,0.3528,0.3715,0.2665
thumbfk_02_L,0.9491,0.3126,-0.0258,-0.029
thumbfk_03_L,0.9502,0.3073,-0.0398,0.033
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0242
pinkyfk_01_L,0.7699,0.6342,-0.0701,-0.0141
pinkyfk_02_L,0.7292,0.6843,0.0,-0.0014
pinkyfk_03_L,0.8006,0.5964,0.0443,0.038
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9949,-0.0,0.0711,-0.0711
indexfk_01_L,0.7575,0.6527,-0.0005,-0.0074
indexfk_02_L,0.7922,0.6082,-0.0492,-0.0053
indexfk_03_L,0.8089,0.5868,0.0198,0.0312
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0071,-0.0071
middlefk_01_L,0.7597,0.6498,-0.0225,-0.0111
middlefk_02_L,0.7035,0.7099,-0.0315,0.0087
middlefk_03_L,0.8187,0.5726,-0.0076,0.0436
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,-0.0,-0.0193,0.0128
ringfk_01_L,0.8009,0.598,-0.0323,-0.0014
ringfk_02_L,0.7398,0.6728,-0.0002,-0.011
ringfk_03_L,0.7481,0.6595,-0.0361,0.0636
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8261,0.3795,-0.3707,-0.1901
thumbfk_02_R,0.9322,0.3616,0.0063,0.0149
thumbfk_03_R,0.9279,0.3689,0.0326,-0.0442
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0283
pinkyfk_01_R,0.6905,0.7215,0.0509,-0.0087
pinkyfk_02_R,0.6657,0.7462,0.0002,0.0008
pinkyfk_03_R,0.7483,0.6595,-0.0524,-0.0483
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9929,0.0,-0.0842,0.0842
indexfk_01_R,0.6659,0.7459,0.0011,-0.0169
indexfk_02_R,0.7619,0.6448,0.06,0.0097
indexfk_03_R,0.7562,0.6527,-0.0227,-0.0391
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0079,0.0079
middlefk_01_R,0.7019,0.7121,0.0137,-0.006
middlefk_02_R,0.6834,0.7289,0.0396,-0.0093
middlefk_03_R,0.787,0.6145,0.0103,-0.0538
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0226,-0.0151
ringfk_01_R,0.7278,0.6852,0.008,-0.0274
ringfk_02_R,0.69,0.7236,-0.0002,0.0138
ringfk_03_R,0.6566,0.7491,0.0454,-0.0754
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9953,0.0619,0.0732,0.0146
collar_L,0.9927,0.0952,-0.0013,0.074
neckfk,1.0,-0.0032,-0.0008,0.0003
headfk,1.0,-0.0076,-0.0013,0.0009
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0008,0.0001,0.001
chest_3,0.9998,-0.0182,-0.003,-0.0063
chest_2,1.0,0.0011,0.0002,0.001
chest_1,1.0,0.0025,0.0001,0.0035
hip,0.9999,0.0001,-0.0153,-0.0004
