motion_name,SG ASL Dignity 2026-7-23
pose_name,SG ASL Dignity 2026-7-23 P2
export_date,2026-7-23
current_frame,64
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.7962,0.5571,0.11,0.2086
forearmfk_L,0.6936,-0.0453,-0.045,0.7176
handfk_L,0.9662,0.2463,0.0409,-0.0648
bicepfk_R,0.8528,0.4695,-0.1767,-0.1453
forearmfk_R,0.687,-0.0442,0.0435,-0.724
handfk_R,0.7857,0.1323,-0.5233,-0.3022
thighfk_L,0.9996,-0.0114,-0.024,0.0001
shinfk_L,0.9996,0.0274,0.0089,0.0043
footfk_L,0.0289,-0.0264,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0114,0.0246,-0.0003
shinfk_R,0.9996,0.0274,-0.0088,-0.004
footfk_R,0.0289,-0.0263,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.5616,0.0205,0.6871,0.4606
thumbfk_02_L,0.9991,0.0307,-0.0298,-0.0058
thumbfk_03_L,0.9998,0.0128,-0.0109,0.0046
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0105
pinkyfk_01_L,0.9495,0.2902,-0.1186,-0.0105
pinkyfk_02_L,0.9892,0.1467,-0.0014,-0.0071
pinkyfk_03_L,0.9989,0.0402,-0.0013,0.0223
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9998,-0.0,0.0133,-0.0133
indexfk_01_L,0.9906,0.133,0.007,0.0309
indexfk_02_L,0.968,0.2511,0.0034,-0.0001
indexfk_03_L,0.9804,0.1972,-0.0001,-0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0028,-0.0028
middlefk_01_L,0.9598,0.2807,-0.0008,0.0047
middlefk_02_L,0.9683,0.2495,-0.0024,-0.01
middlefk_03_L,0.9979,0.0647,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0083,0.0056
ringfk_01_L,0.9546,0.2767,-0.0879,-0.0672
ringfk_02_L,0.9692,0.2461,0.0001,0.0
ringfk_03_L,0.9974,-0.0693,0.0066,0.0187
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8388,0.1911,-0.5094,-0.0208
thumbfk_02_R,1.0,0.0,0.0,0.0
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0289
pinkyfk_01_R,0.6772,0.7335,0.0569,-0.0081
pinkyfk_02_R,0.6769,0.736,-0.0002,0.0003
pinkyfk_03_R,0.7869,0.613,-0.0551,-0.045
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9929,-0.0,-0.0838,0.0838
indexfk_01_R,0.6688,0.7435,-0.0001,0.0001
indexfk_02_R,0.7071,0.707,0.0,0.0123
indexfk_03_R,0.8049,0.5918,-0.0251,-0.037
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0084,0.0084
middlefk_01_R,0.6663,0.7456,0.0009,0.0011
middlefk_02_R,0.7457,0.666,0.0183,-0.0082
middlefk_03_R,0.7706,0.637,0.0213,0.0072
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0242,-0.0161
ringfk_01_R,0.6925,0.7213,0.0102,-0.0093
ringfk_02_R,0.7071,0.707,-0.0,0.0135
ringfk_03_R,0.7841,0.6143,0.0328,-0.082
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9914,0.0204,0.1238,-0.0373
collar_L,0.9951,0.0799,-0.015,0.0558
neckfk,1.0,-0.0003,-0.0,-0.0005
headfk,1.0,-0.0004,-0.0002,-0.0008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0015,-0.0002,-0.0004
chest_3,0.9998,-0.0178,-0.0034,-0.0081
chest_2,1.0,0.0014,-0.0004,-0.0005
chest_1,1.0,0.0043,-0.0005,-0.0013
hip,1.0,-0.0001,0.0003,0.0001
