motion_name,SG ASL Dilemma Other Alt 2026-7-25
pose_name,SG ASL Dilemma Other Alt 2026-7-25 P1
export_date,2026-7-25
current_frame,31
frame_budget,31

bone_name,w,x,y,z
bicepfk_L,0.8681,0.4813,0.0187,0.12
forearmfk_L,0.6395,-0.0479,-0.0408,0.7662
handfk_L,0.8259,0.4888,-0.241,0.1443
bicepfk_R,0.8589,0.4882,-0.02,-0.1535
forearmfk_R,0.4309,-0.0521,0.0112,-0.9008
handfk_R,0.944,0.2913,0.1517,0.0306
thighfk_L,0.9998,-0.0082,-0.0206,-0.0011
shinfk_L,0.9996,0.0271,0.0088,0.0041
footfk_L,0.0289,-0.026,0.9991,0.0192
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.009,0.028,-0.0016
shinfk_R,0.9996,0.027,-0.009,-0.0043
footfk_R,0.029,-0.0262,-0.9991,-0.0171
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8186,0.4015,0.3619,0.1942
thumbfk_02_L,0.9525,0.2843,-0.0106,-0.1087
thumbfk_03_L,0.9505,0.2847,-0.0512,-0.1134
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0234
pinkyfk_01_L,0.7814,0.6116,-0.1023,0.0706
pinkyfk_02_L,0.6794,0.7334,-0.0001,-0.0234
pinkyfk_03_L,0.7086,0.7002,-0.0556,0.0678
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9998,0.0,0.0126,-0.0126
indexfk_01_L,0.9884,0.1273,0.0152,0.0814
indexfk_02_L,0.7936,0.6085,0.0,0.0
indexfk_03_L,0.9197,0.3927,-0.0003,-0.0
indexfk_04_L,0.9905,-0.0478,-0.1049,-0.0751
middleinte_metacarpal_L,1.0,0.0,0.0015,-0.0015
middlefk_01_L,0.9889,0.1456,-0.0306,-0.0012
middlefk_02_L,0.6665,0.7455,0.0,-0.0
middlefk_03_L,0.8535,0.521,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0189,0.0126
ringfk_01_L,0.8085,0.5858,-0.0557,0.0075
ringfk_02_L,0.6603,0.751,0.0003,-0.0083
ringfk_03_L,0.7588,0.6487,-0.0271,0.0511
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.819,0.3909,-0.3795,-0.1802
thumbfk_02_R,0.9511,0.287,0.0129,0.1136
thumbfk_03_R,0.9436,0.3108,0.0639,0.0947
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0242
pinkyfk_01_R,0.7688,0.622,0.1406,-0.0477
pinkyfk_02_R,0.6761,0.7364,0.0,0.0234
pinkyfk_03_R,0.7116,0.6971,0.0553,-0.0681
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,0.0,-0.0124,0.0124
indexfk_01_R,0.9889,0.1249,-0.0147,-0.0791
indexfk_02_R,0.8123,0.5833,-0.0,-0.0
indexfk_03_R,0.9273,0.3742,0.0003,0.0
indexfk_04_R,0.9905,-0.0478,0.1049,0.0751
middleinte_metacarpal_R,1.0,0.0,-0.0011,0.0011
middlefk_01_R,0.9937,0.1103,0.022,0.0018
middlefk_02_R,0.6729,0.7397,0.0,0.0
middlefk_03_R,0.8525,0.5227,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0184,-0.0123
ringfk_01_R,0.8165,0.5735,0.0669,0.0089
ringfk_02_R,0.6816,0.7317,-0.0001,0.0083
ringfk_03_R,0.7794,0.6239,0.0257,-0.0517
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9944,0.062,0.0836,-0.0158
collar_L,0.9966,0.0671,0.0154,0.0462
neckfk,1.0,-0.006,-0.0033,0.0029
headfk,0.9999,-0.0114,-0.005,0.0065
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0007,0.0009,-0.0006
chest_3,0.9998,-0.0184,-0.002,-0.0082
chest_2,1.0,0.0009,0.0011,-0.0009
chest_1,1.0,0.0022,0.0025,-0.0023
hip,1.0,0.0029,0.0037,0.0015
