motion_name,SG ASL Diploma 2026-7-26
pose_name,SG ASL Diploma 2026-7-26 P1
export_date,2026-7-26
current_frame,21
frame_budget,21

bone_name,w,x,y,z
bicepfk_L,0.7571,0.5884,0.1911,0.2099
forearmfk_L,0.6688,-0.0433,-0.0477,0.7406
handfk_L,0.7336,-0.2338,0.6066,-0.1982
bicepfk_R,0.7192,0.6152,-0.2524,-0.2015
forearmfk_R,0.6725,-0.0425,0.0491,-0.7373
handfk_R,0.5551,-0.412,-0.6665,0.2792
thighfk_L,0.9996,-0.0118,-0.0242,0.0
shinfk_L,0.9996,0.0268,0.0091,0.0042
footfk_L,0.0183,-0.0477,0.9987,0.0062
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0119,0.0243,-0.0003
shinfk_R,0.9996,0.0268,-0.009,-0.0042
footfk_R,0.0184,-0.0474,-0.9987,-0.006
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8754,0.4121,0.2477,0.0499
thumbfk_02_L,0.9883,0.1101,-0.032,-0.1003
thumbfk_03_L,0.9905,0.1112,-0.032,-0.0743
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0194
pinkyfk_01_L,0.8353,0.5024,-0.1618,0.154
pinkyfk_02_L,0.6869,0.7261,-0.0003,-0.0306
pinkyfk_03_L,0.623,0.7727,-0.0742,0.0964
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9983,-0.0501,-0.0092,-0.0271
indexfk_02_L,1.0,0.0005,0.0,-0.0
indexfk_03_L,1.0,-0.0014,0.0002,0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0065,-0.0065
middlefk_01_L,0.7861,0.5995,-0.0993,0.1134
middlefk_02_L,0.7275,0.6858,-0.0189,0.0084
middlefk_03_L,0.7252,0.6868,-0.0294,-0.0381
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0178,0.0119
ringfk_01_L,0.8208,0.5481,-0.1147,0.1128
ringfk_02_L,0.6869,0.7266,0.0,-0.0139
ringfk_03_L,0.7609,0.6435,-0.036,0.075
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8514,0.4304,-0.293,-0.0637
thumbfk_02_R,0.9883,0.1101,0.032,0.1003
thumbfk_03_R,0.9905,0.1112,0.032,0.0743
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0199
pinkyfk_01_R,0.8322,0.5146,0.1603,-0.1298
pinkyfk_02_R,0.6869,0.7261,0.0003,0.0306
pinkyfk_03_R,0.623,0.7727,0.0742,-0.0964
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.999,-0.0406,0.0021,0.0196
indexfk_02_R,1.0,0.0005,-0.0,0.0
indexfk_03_R,1.0,-0.0014,-0.0002,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0066,0.0066
middlefk_01_R,0.784,0.606,0.0992,-0.0909
middlefk_02_R,0.7275,0.6858,0.0189,-0.0084
middlefk_03_R,0.7252,0.6868,0.0294,0.0381
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0179,-0.0119
ringfk_01_R,0.8218,0.5513,0.1097,-0.0932
ringfk_02_R,0.6869,0.7266,-0.0,0.0139
ringfk_03_R,0.7609,0.6435,0.036,-0.075
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.997,0.0571,0.0506,-0.0157
collar_L,0.9982,0.0541,-0.019,0.0151
neckfk,1.0,0.0,0.0,0.0
headfk,1.0,0.0001,-0.0003,-0.0
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.019,-0.0033,-0.0075
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0015,-0.0002,-0.0
hip,1.0,-0.0006,0.0001,0.0001
