motion_name,SG ASL Direct 2026-7-28
pose_name,SG ASL Direct 2026-7-28 P1
export_date,2026-7-28
current_frame,33
frame_budget,33

bone_name,w,x,y,z
bicepfk_L,0.72,0.6011,0.3118,0.1521
forearmfk_L,0.8729,-0.0299,-0.0544,0.4839
handfk_L,0.9089,0.2443,0.3296,-0.075
bicepfk_R,0.6672,0.6298,-0.096,-0.3861
forearmfk_R,0.3866,-0.0548,0.0332,-0.92
handfk_R,0.924,0.0089,-0.3728,-0.0847
thighfk_L,0.9997,-0.0109,-0.0213,0.0002
shinfk_L,0.9996,0.027,0.0097,0.0041
footfk_L,0.0295,-0.0247,0.9991,0.0193
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0116,0.0272,-0.0002
shinfk_R,0.9996,0.027,-0.0076,-0.0043
footfk_R,0.0286,-0.0273,-0.999,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.858,0.2336,-0.4561,-0.0348
thumbfk_02_R,0.9847,0.1165,0.104,0.0776
thumbfk_03_R,0.8951,0.3845,0.09,0.2071
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.001
pinkyfk_01_R,0.9987,-0.03,-0.0029,0.042
pinkyfk_02_R,0.9997,0.0174,-0.0105,0.0098
pinkyfk_03_R,0.9993,0.0165,-0.0025,-0.0329
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9474,-0.0639,-0.3048,0.074
indexfk_02_R,0.9998,0.0164,-0.0116,0.002
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9932,-0.0914,0.053,0.0496
middlefk_02_R,0.9996,0.0191,0.0182,-0.0056
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9962,-0.071,-0.0461,0.0224
ringfk_02_R,0.9994,0.0315,-0.0052,0.0136
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9923,0.0771,0.0967,0.0005
collar_L,0.9987,0.0353,0.0077,0.0357
neckfk,1.0,0.0002,-0.0005,0.0017
headfk,1.0,-0.0011,-0.0,0.0036
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0037,-0.0076
chest_2,1.0,-0.0001,-0.0004,-0.0002
chest_1,1.0,0.0001,-0.001,-0.0004
hip,1.0,0.0001,0.0029,0.0
