motion_name,SG ASL Direct Other 2026-7-27
pose_name,SG ASL Direct Other 2026-7-27 P4
export_date,2026-7-27
current_frame,124
frame_budget,26

bone_name,w,x,y,z
bicepfk_L,0.7903,0.4871,-0.0672,0.3656
forearmfk_L,0.803,-0.0379,-0.051,0.5926
handfk_L,0.9694,-0.2233,0.087,-0.054
bicepfk_R,0.7887,0.5141,-0.3126,-0.1262
forearmfk_R,0.6047,-0.0487,0.0386,-0.7941
handfk_R,0.9772,-0.2119,0.0113,0.0029
thighfk_L,0.9996,-0.0115,-0.0272,0.0001
shinfk_L,0.9996,0.0272,0.0072,0.0044
footfk_L,0.0286,-0.0273,0.9991,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0109,0.0213,-0.0003
shinfk_R,0.9996,0.0268,-0.0096,-0.004
footfk_R,0.0291,-0.0257,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7659,0.4194,0.4333,0.2229
thumbfk_02_L,0.9887,0.1102,-0.0312,-0.0971
thumbfk_03_L,0.9798,0.1656,-0.0164,-0.1112
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0254
pinkyfk_01_L,0.7459,0.6531,-0.1138,0.0645
pinkyfk_02_L,0.7686,0.6391,0.0022,-0.0285
pinkyfk_03_L,0.6539,0.7475,-0.0714,0.0926
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0015,-0.0015
indexfk_01_L,0.9998,0.0154,-0.0035,-0.0079
indexfk_02_L,0.8138,0.5812,0.0004,-0.0002
indexfk_03_L,0.816,0.578,0.0005,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0075,-0.0075
middlefk_01_L,0.734,0.6761,-0.059,-0.0249
middlefk_02_L,0.7503,0.6608,-0.0178,0.0087
middlefk_03_L,0.7465,0.6638,-0.029,-0.0357
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0215,0.0144
ringfk_01_L,0.7527,0.655,-0.0666,-0.003
ringfk_02_L,0.713,0.701,-0.0002,-0.0127
ringfk_03_L,0.7799,0.6207,-0.034,0.0723
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7663,0.4184,-0.4341,-0.2221
thumbfk_02_R,0.9887,0.1102,0.0312,0.0971
thumbfk_03_R,0.9798,0.1656,0.0164,0.1112
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0253
pinkyfk_01_R,0.747,0.6518,0.1145,-0.0639
pinkyfk_02_R,0.7686,0.6391,-0.0022,0.0285
pinkyfk_03_R,0.6539,0.7475,0.0714,-0.0926
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0014,0.0014
indexfk_01_R,0.9999,0.0137,0.0036,0.0087
indexfk_02_R,0.8138,0.5812,-0.0004,0.0002
indexfk_03_R,0.816,0.578,-0.0005,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0074,0.0074
middlefk_01_R,0.7351,0.6748,0.0599,0.0251
middlefk_02_R,0.7503,0.6608,0.0178,-0.0087
middlefk_03_R,0.7465,0.6638,0.029,0.0357
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0215,-0.0143
ringfk_01_R,0.7537,0.6537,0.0674,0.0033
ringfk_02_R,0.713,0.701,0.0002,0.0127
ringfk_03_R,0.7799,0.6207,0.034,-0.0723
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.996,0.0772,0.0428,0.0157
collar_L,0.9948,0.0969,-0.0131,0.0279
neckfk,0.9998,0.0057,0.0189,-0.0061
headfk,0.9993,0.01,0.0319,-0.0185
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0,-0.0064,0.0014
chest_3,0.9997,-0.0194,-0.0119,-0.0058
chest_2,1.0,-0.0002,-0.0082,0.0025
chest_1,0.9998,-0.0003,-0.0189,0.0061
hip,1.0,0.0002,-0.0029,0.0
