motion_name,SG ASL Direction Alt 2026-7-27
pose_name,SG ASL Direction Alt 2026-7-27 P5
export_date,2026-7-27
current_frame,136
frame_budget,22

bone_name,w,x,y,z
bicepfk_L,0.7852,0.5788,0.0704,0.2086
forearmfk_L,0.7518,-0.0401,-0.0478,0.6565
handfk_L,0.9571,-0.282,0.019,-0.0639
bicepfk_R,0.7986,0.5844,-0.1437,-0.0032
forearmfk_R,0.707,-0.0437,0.0451,-0.7044
handfk_R,0.895,0.4206,0.087,-0.1207
thighfk_L,0.9998,-0.015,-0.0163,-0.0012
shinfk_L,0.9996,0.0269,0.0089,0.0042
footfk_L,0.0289,-0.0266,0.999,0.0204
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9993,-0.0168,0.0322,-0.0013
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0177
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7661,0.4181,0.4342,0.2233
thumbfk_02_L,0.9887,0.1102,-0.0312,-0.0971
thumbfk_03_L,0.9798,0.1656,-0.0164,-0.1112
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0253
pinkyfk_01_L,0.7466,0.6522,-0.1138,0.066
pinkyfk_02_L,0.7686,0.6391,0.0022,-0.0285
pinkyfk_03_L,0.6539,0.7475,-0.0714,0.0926
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0014,-0.0014
indexfk_01_L,0.9999,0.0141,-0.0035,-0.0077
indexfk_02_L,0.8138,0.5812,0.0004,-0.0002
indexfk_03_L,0.816,0.578,0.0005,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0074,-0.0074
middlefk_01_L,0.7348,0.6752,-0.0592,-0.0245
middlefk_02_L,0.7503,0.6608,-0.0178,0.0087
middlefk_03_L,0.7465,0.6638,-0.029,-0.0357
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0215,0.0143
ringfk_01_L,0.7535,0.6541,-0.0667,-0.0026
ringfk_02_L,0.713,0.701,-0.0002,-0.0127
ringfk_03_L,0.7799,0.6207,-0.034,0.0723
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7662,0.4178,-0.4341,-0.2236
thumbfk_02_R,0.9887,0.1102,0.0312,0.0971
thumbfk_03_R,0.9798,0.1656,0.0164,0.1112
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0253
pinkyfk_01_R,0.7468,0.6521,0.1138,-0.0649
pinkyfk_02_R,0.7686,0.6391,-0.0022,0.0285
pinkyfk_03_R,0.6539,0.7475,0.0714,-0.0926
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0014,0.0014
indexfk_01_R,0.9999,0.0137,0.0036,0.0075
indexfk_02_R,0.8138,0.5812,-0.0004,0.0002
indexfk_03_R,0.816,0.578,-0.0005,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0074,0.0074
middlefk_01_R,0.7351,0.6749,0.0592,0.0242
middlefk_02_R,0.7503,0.6608,0.0178,-0.0087
middlefk_03_R,0.7465,0.6638,0.029,0.0357
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0215,-0.0143
ringfk_01_R,0.7537,0.6538,0.0667,0.0024
ringfk_02_R,0.713,0.701,0.0002,0.0127
ringfk_03_R,0.7799,0.6207,0.034,-0.0723
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9965,-0.0022,0.0716,-0.043
collar_L,0.998,0.0266,-0.0096,0.0573
neckfk,0.9998,-0.0146,-0.013,0.0034
headfk,0.9993,-0.0271,-0.0222,0.0115
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0024,0.0007,-0.0011
chest_3,0.9998,-0.016,-0.0022,-0.0089
chest_2,1.0,0.0033,0.0008,-0.0015
chest_1,1.0,0.0074,0.0018,-0.0036
hip,1.0,-0.005,0.008,0.0014
